index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Clearance value of the compound was determined in plasma of rat,none,none,plasma clearance,rat plasma,none,LC-MS/MS,rat,po or iv,none,none,True
1,Stability in rat hepatocytes assessed as intrinsic clearance at 0.5 uM measured after 60 mins by LC/MS/MS analysis,0.5 uM,after 60 mins,NADPH,rat hepatocytes,none,LC/MS/MS,rat,none,none,none,True
2,Metabolic stability in rat liver microsomes scaled assessed as intrinsic clearance by LC-MS/MS analysis,scaled,none,intrinsic clearance,rat liver microsomes,none,LC-MS/MS,rat,none,none,none,True
3,"Clearance in Sprague-Dawley rat at 2 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",2 mg/kg,up to 24 hrs,NADPH,rat plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,True
4,"Total plasma clearance in Wistar Han rat at 2 mg/kg, iv by LC-MS/MS analysis",2 mg/kg,none,iv,rat plasma,none,LC-MS/MS,Wistar Han rat,iv,none,none,True
0,Intrinsic clearance in mouse liver microsomes at 1 ug/ml measured up to 60 mins in presence of NADPH by LC-MS/MS analysis,1 ug/ml,up to 60 mins,NADPH,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
1,Intrinsic clearance in human microsomes at 0.5 uM,0.5 uM,none,NADPH,human microsomes,none,none,human,none,microsomes,none,True
2,Metabolic stability in human liver assessed as intrinsic clearance at 100 uM incubated for 60 mins under shaking condition in presence of NADPH by LC-MS/MS analysis,100 uM,60 mins,NADPH,human liver,shaking condition,LC-MS/MS,human,none,shaking condition,none,True
3,Intrinsic liver clearance in Sprague-Dawley rat liver microsomes at 10 uM measured up to 60 mins in presence of NADPH regenerating system by HPLC analysis,10 uM,up to 60 mins,NADPH regenerating system,rat liver microsomes,none,HPLC,Sprague-Dawley rat,iv,liver microsomes,none,True
4,Intrinsic clearance in mouse microsome by LC-MS/MS analysis,none,none,NADPH,mouse microsomes,none,LC-MS/MS,mouse,none,microsomes,none,True
0,Intrinsic clearance in male rat hepatocytes,none,none,hepatocytes,rat hepatocytes,none,none,rat,none,hepatocytes,none,True
1,"Clearance in fasted BALB/c mouse at 20 mg/kg, iv administered up to 600 mins by HPLC-MS/MS analysis",20 mg/kg,up to 600 mins,iv dosed,BALB/c mouse plasma,fasted,HPLC-MS/MS,BALB/c mouse,iv,plasma,none,True
2,Intrinsic clearance in mouse liver microsomes at 1 uM preincubated for 10 mins followed by NADPH addition measured for 30 to 60 mins by LC-MS/MS analysis,1 uM,30 to 60 mins,NADPH,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
3,Clearance in rat hepatic microsomes at 2 uM measured up to 60 mins in presence of NADPH generating system by LC-MS/MS analysis,2 uM,up to 60 mins,NADPH generating system,rat hepatic microsomes,none,LC-MS/MS,rat,none,none,none,True
4,Intrinsic clearance in human liver microsomes at 3 uM incubated up to 60 mins by LC-MS analysis,3 uM,up to 60 mins,NADPH,human liver microsomes,none,LC-MS,human,none,liver microsomes,none,True
0,Intrinsic clearance in rat liver microsomes at 3 uM incubated up to 60 mins by LC-MS analysis,3 uM,up to 60 mins,NADPH,rat liver microsomes,none,LC-MS,rat,none,liver microsomes,none,True
1,Intrinsic clearance in human liver microsomes at 10 uM preincubated for 10 mins followed by NADPH addition and measured up to 60 mins by LC/MS/MS analysis,10 uM,up to 60 mins,NADPH,human liver microsomes,none,LC/MS/MS,human,none,liver microsomes,none,True
2,Metabolic stability in human hepatocyte assessed as intrinsic clearance,none,intrinsic clearance,metabolic stability,human hepatocytes,none,none,human,none,hepatocytes,none,True
3,"Clearance in Sprague-Dawley rat at 5 mg/kg, po measured up to 24 hrs by LC/MS/MS analysis",5 mg/kg,up to 24 hrs,po,rat plasma,none,LC/MS/MS,Sprague-Dawley rat,po,plasma,none,True
4,Intrinsic clearance in liver by measuring in intrinsic clearance in human liver microsomes in presence of NADPH by LC-MS/MS analysis,none,none,NADPH,human liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
