index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in rat liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition and measured upto 60 mins by LC-MS analysis,1 uM,up to 60 mins,NADPH,rat liver microsomes,none,LC-MS,rat,none,liver microsomes,none,True
1,Metabolic stability in rat liver microsomes assessed as apparent intrinsic clearance at 10 uM preincubated for 10 mins followed by NADPH addition and measured after 30 mins,10 uM,after 30 mins,NADPH,rat liver microsomes,none,none,rat,none,liver microsomes,none,True
2,Intrinsic clearance in human liver microsomes at 1 uM measured up to 30 mins in presence of NADPH by LC/MS analysis,1 uM,up to 30 mins,NADPH,human liver microsomes,none,LC/MS,human,none,liver microsomes,none,True
3,"Clearance in CD1 mouse at 0.4 mg/kg, iv administered as cassette dose measured upto 24 hrs by LC-MS/MS analysis",0.4 mg/kg,up to 24 hrs,none,CD1 mouse,none,LC-MS/MS,CD1 mouse,iv,none,none,False
4,Intrinsic clearance in human liver microsomes at 10 uM incubated for 1 hr in presence of NADPH by LC-MS/MS analysis,10 uM,1 hr,NADPH,human liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
5,Plasma clearance in iv dosed mouse,none,none,none,mouse plasma,none,none,mouse,iv,none,none,False
6,Clearance in human liver microsomes assessed as drug turnover level at 1 uM incubated for 30 mins in presence of NADPH,1 uM,30 mins,NADPH,human liver microsomes,none,none,human,none,liver microsomes,none,True
7,In vitro intrinsic clearance against rat hepatocytes,none,none,none,rat hepatocytes,none,none,rat,none,none,none,False
8,"Clearance in rat at 1 mg/kg, iv or 5 mg/kg, po by LC-MS/MS analysis","1 mg/kg iv, 5 mg/kg po",none,none,rat,none,LC-MS/MS,rat,"iv, po",none,none,True
9,Clearance in human,none,none,none,human,none,none,human,none,none,none,False
10,"Clearance in BALB/c mouse at 1 mg/kg, iv measured upto 24 hrs by LC-MS/MS analysis",1 mg/kg,up to 24 hrs,none,BALB/c mouse,none,LC-MS/MS,BALB/c mouse,iv,none,none,False
11,"Plasma clearance in mouse at 1 mg/kg, iv",1 mg/kg,none,none,mouse,none,none,mouse,iv,none,none,False
12,Clearance in BALB/c mouse plasma at 10 mg/kg administered via oral gavage by LC/MS analysis,10 mg/kg,none,none,BALB/c mouse plasma,none,LC/MS,BALB/c mouse,po,plasma,none,False
13,Intrinsic clearance in rat liver microsomes up to 60 mins by HPLC-LC/MS analysis relative to control,none,up to 60 mins,control,rat liver microsomes,none,HPLC-LC/MS,rat,none,liver microsomes,none,True
14,Intrinsic clearance in Wistar Han rat cryopreserved pooled hepatocytes at 0.5 uM measured up to 60 mins by LC-MS/MS analysis,0.5 uM,up to 60 mins,none,Wistar Han rat hepatocytes,none,LC-MS/MS,Wistar Han rat,iv,hepatocytes,none,True
15,Intrinsic clearance in mouse liver microsomes assessed per mg protein at 1 uM in presence of NADPH regenerating system by LC/MS analysis,1 uM,none,NADPH regenerating system,mouse liver microsomes,none,LC/MS,mouse,none,liver microsomes,per mg protein,True
16,Metabolic stability in human liver microsomes assessed as intrinsic clearance measured upto 30 mins in presence of NADPH by LC/MS/MS analysis,1 uM,up to 30 mins,NADPH,human liver microsomes,none,LC/MS/MS,human,none,liver microsomes,none,True
17,Apparent intrinsic clearance in human liver microsomes at 1 uM incubated for 60 mins in presence of NADP+ by LC-MS/MS analysis,1 uM,60 mins,NADP+,human liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
18,Unbound intrinsic clearance in rat microsomes,none,none,none,rat microsomes,none,none,rat,none,microsomes,unbound,True
19,Intrinsic clearance in rat liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 30 mins by LC-MS/MS analysis,1 uM,up to 30 mins,NADPH,rat liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,none,True
