index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in mouse liver microsomes at 0.5 uM after 30 mins in presence of NADPH by LC-MS/MS analysis,0.5 uM,30 mins,NADPH,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
1,"Clearance in rat at 1 mg/kg, po or 0.5 mg/kg, iv","1 mg/kg po, 0.5 mg/kg iv",none,none,rat,none,none,rat,"po, iv",none,none,False
2,Metabolic stability of the compound in rat liver microsomes assessed as clearance at 10 uM incubated for 10 mins in presence of NADPH by UPLC-MS analysis,10 uM,10 mins,NADPH,rat liver microsomes,none,UPLC-MS,rat,none,liver microsomes,none,True
3,Microsomal stability in rat liver microsomes assessed as intrinsic clearance at 4 uM incubated for 30 mins in presence of NADPH by LCMS/MS analysis,4 uM,30 mins,NADPH,rat liver microsomes,none,LCMS/MS,rat,none,liver microsomes,none,True
4,"Unbound clearance in rat at 1 mg/kg, iv",1 mg/kg,none,none,rat,none,LC-MS/MS,rat,iv,none,none,False
5,Intrinsic clearance in rat liver microsomes at 1 uM in presence of NADP measured after 30 mins under shaking condition by LC-MS/MS analysis,1 uM,30 mins,NADP,rat liver microsomes,shaking condition,LC-MS/MS,rat,none,liver microsomes,none,True
6,Microsomal stability in human liver microsomes assessed as intrinsic clearance at 1 uM in presence of NADPH/phosphate buffer by LC-MS/MS analysis,1 uM,none,NADPH/phosphate buffer,human liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
7,Metabolic stability of the compound in human liver microsomes assessed as clearance at 10 uM incubated for 10 mins in presence of NADPH by UPLC-MS analysis,10 uM,10 mins,NADPH,human liver microsomes,none,UPLC-MS,human,none,liver microsomes,none,True
8,Intrinsic clearance in rat plasma at 0.1 mg/kg administered as iv casette dose by LC/MS/MS analysis,0.1 mg/kg,none,none,rat plasma,none,LC/MS/MS,rat,iv,none,none,False
9,Intrinsic clearance in human liver measured from intrinsic clearance in human liver microsomes,none,none,none,human liver,none,none,human,none,liver microsomes,none,True
10,Intrinsic clearance in mouse intestinal S9 fraction at 10 uM up to 60 min in presence of NADPH by LC-MS/MS analysis,10 uM,up to 60 min,NADPH,mouse intestinal S9 fraction,none,LC-MS/MS,mouse,none,intestinal S9 fraction,none,True
11,Intrinsic clearance in mouse microsomes at 1 uM measured after 1 hr in presence of NADPH generating system by LC-MS analysis,1 uM,1 hr,NADPH generating system,mouse microsomes,none,LC-MS,mouse,none,microsomes,none,True
12,"Clearance in Sprague-Dawley rat plasma at 1 mg/kg, iv by LC-MS/MS analysis",1 mg/kg,none,none,Sprague-Dawley rat plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,plasma,none,False
13,Intrinsic clearance in human liver microsomes by HPLC/MS analysis,none,none,none,human liver microsomes,none,HPLC/MS,human,none,liver microsomes,none,True
14,Metabolic stability in human liver microsomes assessed as microsomal intrinsic clearance in presence of NADPH cofactor under shaking condition for 10 mins measured after 5 to 60 mins by LC-MS/MS analysis,none,5 to 60 mins,NADPH,human liver microsomes,shaking condition,LC-MS/MS,human,none,liver microsomes,none,True
15,"Unbound clearance in Wistar Han rat at 1 mg/kg, iv measured upto 7 hrs by LC-MS/MS analysis",1 mg/kg,up to 7 hrs,none,Wistar Han rat,none,LC-MS/MS,Wistar Han rat,iv,none,unbound,False
16,Clearance in mouse hepatic microsomes at 10 uM preincubated for 5 mins followed by NADPH addition measured over 60 mins by HPLC-MS/MS analysis,10 uM,60 mins,NADPH,mouse hepatic microsomes,none,HPLC-MS/MS,mouse,none,hepatic microsomes,none,True
17,"Blood clearance in male Wistar Han rat at 1 mg/kg, iv measured up to 7 hrs by LC-MS/MS analysis",1 mg/kg,up to 7 hrs,none,male Wistar Han rat,none,LC-MS/MS,male Wistar Han rat,iv,none,none,False
18,Clearance in mouse liver microsomes incubated upto 45 mins in presence of NADPH by LC-MS/MS analysis,none,up to 45 mins,NADPH,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
19,Clearance upon i.v. administration at the dose of 2 mg/kg in rat,2 mg/kg,none,none,rat,none,none,rat,iv,none,none,False
