index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Metabolic clearance in rat hepatic microsomes after 20 mins by HPLC-UV analysis,none,after 20 mins,none,hepatic microsomes,none,HPLC-UV,rat,none,liver microsomes,none,False
1,Intrinsic clearance in rat hepatocytes per 10^6 cells,none,none,none,hepatocytes,none,none,rat,none,none,per 10^6 cells,False
2,Intrinsic clearance in CD1 mouse liver microsomes assessed per mg protein at 1 uM preincubated for 10 mins followed NADPH/UDP-glucuronic acid addition and measured after 30 mins by LC-MS/MS analysis,1 uM,after 30 mins,NADPH/UDP-glucuronic acid,liver microsomes,none,LC-MS/MS,CD-1 mouse,none,liver microsomes,per mg protein,True
3,"Unbound clearance in Sprague-Dawley rat at 1 mg/kg, iv measured up to 24 hrs by HPLC-LCMS analysis",1 mg/kg,up to 24 hrs,unbound,none,none,HPLC-LCMS,Sprague-Dawley rat,iv,hepatocytes,none,False
4,Metabolic stability in human liver microsomes assessed as clearance at 1 uM incubated for 1 hr and measured by HPLC/MS/MS analysis,1 uM,for 1 hr,NADPH,liver microsomes,none,HPLC/MS/MS,human,none,liver microsomes,per mg protein,True
0,Intrinsic clearance in rat liver microsomes at 1 uM preincubated for 10 mins followed by NADPH addition and measured 60 mins by LC-MS/MS analysis,1 uM,60 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,iv,liver microsomes,per mg protein,True
1,Intrinsic clearance in human hepatocytes at 0.3 uM incubated for 90 mins by LC/MS/MS analysis,0.3 uM,for 90 mins,NADPH,hepatocytes,none,LC/MS/MS,human,none,none,per mg protein,True
2,Intrinsic clearance in mouse liver microsome assessed per mg of protein,none,none,NADPH,liver microsome,none,none,mouse,none,liver microsomes,per mg protein,True
3,Intrinsic clearance in human liver microsomes assessed per mg protein at 1 uM in presence of NADPH regenerating system by LC/MS analysis,1 uM,none,NADPH regenerating system,liver microsomes,none,LC/MS,human,none,hepatic microsomes,per mg protein,False
4,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance at 1 uM in the presence of NADPH regenerating system by LC/MS/MS analysis,1 uM,none,NADPH regenerating system,liver microsomes,none,LC/MS/MS,mouse,none,liver microsomes,per mg protein,True
0,Intrinsic clearance in mouse liver microsome,none,none,NADPH,liver microsome,none,none,mouse,none,liver microsome,per mg protein,False
1,Metabolic stability in rat hepatocytes assessed as clearance at 1 uM incubated for 1.5 hrs and measured by HPLC/MS/MS analysis,1 uM,for 1.5 hrs,NADPH,hepatocytes,none,HPLC/MS/MS,rat,none,hepatocytes,per mg protein,True
2,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 1 uM in the presence of NADPH regenerating system by LC/MS/MS analysis,1 uM,none,NADPH regenerating system,liver microsomes,none,LC/MS/MS,human,none,liver microsomes,per mg protein,True
3,Metabolic stability in rat liver microsomes assessed as unbound intrinsic clearance at 0.5 uM measured up to 30 mins in the presence of NADPH by LC-MS/MS analysis,0.5 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,per mg protein,True
4,Intrinsic clearance in CD-1 mouse hepatocytes at 1 uM after 10 mins by LC-MS/MS analysis,1 uM,after 10 mins,NADPH,hepatocytes,none,LC-MS/MS,CD-1 mouse,none,hepatocytes,per mg protein,True
0,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance per microgram of protein,none,none,NADPH,liver microsomes,none,none,mouse,none,liver microsomes,per microgram of protein,False
1,Intrinsic clearance in rat liver microsomes in presence of NADP/G6P/G6P dehydrogenase/MgCl2 by LC/MS analysis,none,none,NADP/G6P/G6P dehydrogenase/MgCl2,liver microsomes,none,LC/MS,rat,none,liver microsomes,none,True
2,"Clearance in mouse at 10 mg/kg, po",10 mg/kg,none,none,none,none,none,mouse,po,none,none,False
3,"Clearance in Sprague-Dawley rat at 5 mg/kg, po or 0.5 mg/kg, iv measured up to 24 hrs by HPLC-MS/MS analysis","5 mg/kg, po or 0.5 mg/kg, iv",up to 24 hrs,none,none,none,HPLC-MS/MS,Sprague-Dawley rat,po or iv,none,none,False
4,Clearance in mouse liver microsomes at 10 uM preincubated with alamethicin for 5 mins followed by compound addition further incubated for 15 mins and measured up to 30 mins in presence of NADPH by LC-MS/MS analysis,10 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,with alamethicin,True
