index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in human hepatocytes measured up to 60 mins by LC/MS/MS analysis,none,up to 60 mins,none,hepatocytes,none,LC/MS/MS,human,none,none,none,True
1,Intrinsic clearance in human liver microsomes at 1 uM measured up to 120 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 120 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,assessed per mg protein,True
2,Intrinsic clearance in human liver microsomes at 1 uM measured up to 30 mins by LC/MS analysis,1 uM,up to 30 mins,NADPH,liver microsomes,none,LC/MS,human,none,liver microsomes,none,True
3,Intrinsic clearance in rat liver microsomes at 1 uM incubated for 30 mins in presence of NADPH by LC-MS/MS analysis,1 uM,30 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,iv,liver microsomes,none,True
4,"Clearance in Sprague-Dawley rat plasma at 1 mg/kg, iv measured up to 8 hrs by LC-MS/MS analysis",1 mg/kg,up to 8 hrs,none,plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,True
0,Intrinsic clearance in human microsome assessed as rate of metabolism,none,none,none,microsome,none,none,human,none,none,rate of metabolism,False
1,Unbound intrinsic clearance in mouse liver microsomes,unbound,none,none,liver microsomes,none,none,mouse,none,none,none,True
2,Intrinsic clearance in Wistar Han rat liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by LC-MS/MS analysis,0.5 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,Wistar Han rat,iv,liver microsomes,per mg protein,True
3,Intrinsic clearance in mouse liver microsomes at 5 uM after 60 mins by LC/MS/MS analysis,5 uM,after 60 mins,NADPH,liver microsomes,none,LC/MS/MS,mouse,none,liver microsomes,none,True
4,"Metabolic stability in Sprague-Dawley rat assessed as clearance at 1 mg/kg, iv",1 mg/kg,none,none,none,none,none,Sprague-Dawley rat,iv,none,none,False
0,Intrinsic clearance in mouse liver microsomes at 1 uM measured after 60 mins in presence of NADPH by LC/MS/MS analysis,1 uM,after 60 mins,NADPH,liver microsomes,none,LC/MS/MS,mouse,none,liver microsomes,none,True
1,Intrinsic clearance in rat hepatocytes measured up to 60 mins by LC/MS/MS analysis,none,up to 60 mins,NADPH,hepatocytes,none,LC/MS/MS,rat,none,none,assessed per mg protein,True
2,Metabolic stability in rat liver microsome assessed as intrinsic clearance at 0.1 uM in presence of NADPH incubated up to 60 mins by LC-MS/MS analysis,0.1 uM,up to 60 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,none,False
3,Clearance in human hepatocytes at 1 uM measured up to 3 hrs by LC-MS/MS analysis,1 uM,up to 3 hrs,NADPH,hepatocytes,none,LC-MS/MS,human,none,none,none,True
4,"Clearance in Sprague-Dawley rat at 0.5 mg/kg, iv or 1 mg/kg, po","0.5 mg/kg, iv or 1 mg/kg, po",none,none,none,none,none,Sprague-Dawley rat,iv or po,none,none,True
0,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv measured after 24 hrs by HPLC-MS/MS analysis",1 mg/kg,after 24 hrs,none,none,none,HPLC-MS/MS,Sprague-Dawley rat,iv,none,none,False
1,Stability of compound in human liver microsome assessed as intrinsic clearance by HPLC analysis,none,none,none,liver microsome,none,HPLC,human,none,liver microsomes,none,True
2,"Clearance in cannulated Sprague-Dawley rat plasma at 5 mg/kg, iv administered as 10 mins infusion measured up to 24 hrs post dose by LC/MS/MS analysis",5 mg/kg,up to 24 hrs post dose,none,plasma,none,LC/MS/MS,Sprague-Dawley rat,iv,none,none,True
3,"Clearance in Wistar Han rat at 1 mg/kg, iv administered as 1 hr infusion or 3 mg/kg, po administered via gavage by LC-MS/MS analysis","1 mg/kg, iv or 3 mg/kg, po",administered as 1 hr infusion,none,none,none,LC-MS/MS,Wistar Han rat,iv or po,none,none,True
4,Intrinsic clearance in rat liver microsomes at 1 uM measured up to 45 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,iv,liver microsomes,none,True
