index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 1 uM measured up to 60 mins by HPLC-MS/MS analysis,1 uM,up to 60 mins,NADPH,liver microsomes,none,HPLC-MS/MS,human,iv or po,liver microsomes,none,True
1,Metabolic stability in human liver microsomes assessed as intrinsic clearance preincubated for 10 mins followed by NADPH addition for 2 hrs and measured up to 60 mins by high performance liquid chromatography-tandem mass spectrometry,1 uM,for 10 mins followed by addition for 2 hrs,NADPH,liver microsomes,none,high performance liquid chromatography-tandem mass spectrometry,human,none,liver microsomes,none,True
2,"Unbound clearance in Sprague-Dawley rat at 0.5 mg/kg, iv by LC-MS method",0.5 mg/kg,none,unbound,plasma,none,LC-MS,Sprague-Dawley rat,iv,none,none,True
3,Metabolic stability in human liver assessed as intrinsic clearance preincubated for 10 mins followed by NADPH addition for 2 hrs and measured up to 60 mins by high performance liquid chromatography-tandem mass spectrometry,1 uM,for 10 mins followed by addition for 2 hrs,NADPH,liver,none,high performance liquid chromatography-tandem mass spectrometry,human,none,liver microsomes,none,False
4,Intrinsic clearance in mouse liver microsomes at 1 uM in presence of NADPH incubated for 15 mins by LC/MS/MS method,1 uM,15 mins,NADPH,liver microsomes,none,LC/MS/MS,mouse,none,liver microsomes,per mg of protein,True
0,"Clearance in BALB/c mouse at 1 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",1 mg/kg,up to 24 hrs,none,plasma,none,LC-MS/MS,BALB/c mouse,iv,liver microsomes,none,True
1,Intrinsic clearance in human liver microsomes at 1 uM measured after 40 mins in presence of NADPH by LC-MS/MS analysis,1 uM,after 40 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,Intrinsic clearance in mouse liver microsomes assessed as per mg of protein at 3 uM measured up to 60 mins,3 uM,up to 60 mins,per mg of protein,liver microsomes,none,none,mouse,none,liver microsomes,assessed per mg of protein,True
3,Metabolic stability of the compound in mouse liver microsomes assessed as clearance at 10 uM incubated for 10 mins in presence of NADPH by UPLC-MS analysis,10 uM,for 10 mins,NADPH,liver microsomes,none,UPLC-MS,mouse,none,liver microsomes,none,True
4,"In vivo total clearance in Sprague-Dawley rat at 0.5 mg/kg, iv administered as single dose after 2 to 360 mins by LC/MS/MS analysis",0.5 mg/kg,2 to 360 mins,none,plasma,none,LC/MS/MS,Sprague-Dawley rat,iv,none,none,True
0,Clearance in rat hepatic microsomes at 10 uM preincubated for 5 mins followed by NADPH addition measured over 60 mins by HPLC-MS/MS analysis,10 uM,over 60 mins,NADPH,hepatic microsomes,none,HPLC-MS/MS,rat,iv,liver microsomes,none,True
1,Clearance in human hepatocytes at 1 uM measured after 1 hr by LC/MS analysis relative to hepatic blood flow,1 uM,after 1 hr,relative to hepatic blood flow,hepatocytes,none,LC/MS,human,none,hepatocytes,none,True
2,Intrinsic clearance in pooled human liver microsomes at 1 uM measured up to 60 mins in the presence of NADPH by LC-MS/MS analysis,1 uM,up to 60 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
3,"Unbound clearance in Sprague-Dawley rat at 0.1 mg/kg, iv administered as single dose and measured up to 48 hrs",0.1 mg/kg,up to 48 hrs,unbound,plasma,none,none,Sprague-Dawley rat,iv,none,none,False
4,"Clearance in Sprague-Dawley rat at 0.1 mg/kg, iv administered as single dose and measured up to 48 hrs",0.1 mg/kg,up to 48 hrs,none,plasma,none,none,Sprague-Dawley rat,iv,none,none,False
0,"Clearance in C57/BL6 mouse plasma at 2 mg/kg, po or 0.5 mg/kg,iv by LC-MS-MS analysis","2 mg/kg, po or 0.5 mg/kg,iv",none,none,mouse plasma,none,LC-MS-MS,C57/BL6 mouse,po or iv,none,none,True
1,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 10 uM in presence of NADPH by HPLC-MS/MS analysis,10 uM,none,NADPH,liver microsomes,none,HPLC-MS/MS,human,none,liver microsomes,none,True
2,"Clearance in BALB/c mouse at 5 mg/kg, iv by LC/MS/MS analysis",5 mg/kg,none,none,plasma,none,LC/MS/MS,BALB/c mouse,iv,none,none,True
3,Clearance in human hepatic microsomes at 10 uM preincubated for 5 mins followed by NADPH addition measured over 60 mins by HPLC-MS/MS analysis,10 uM,over 60 mins,NADPH,hepatic microsomes,none,HPLC-MS/MS,human,none,liver microsomes,none,True
4,Clearance observed in rat (20 mg/kg iv),20 mg/kg,none,none,plasma,none,none,rat,iv,liver microsomes,none,True
