index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in rat microsomes at 1 uM,1 uM,none,none,rat microsomes,none,none,rat,none,microsomes,none,True
1,Intrinsic clearance in CD1 mouse liver microsomes at 0.5 uM in presence of NADPH incubated up to 30 mins by UPLC-MS/MS analysis,0.5 uM,up to 30 mins,NADPH,liver microsomes,none,UPLC-MS/MS,CD1 mouse,none,liver microsomes,none,True
2,Clearance in rat liver microsomes at 0.5 uM incubated up to 30 mins in presence of NADPH by LC-MS/MS method,0.5 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,none,True
3,Compound was tested for its plasma clearance rate in Sprague Dawley rats,none,none,none,none,none,none,Sprague Dawley rats,none,liver microsomes,none,False
4,Intrinsic clearance in human microsomes assessed per mg protein,none,none,none,human microsomes,none,none,human,none,liver microsomes,per mg protein,True
0,"Clearance in Han-wistar rat at 1.5 umol/kg, iv",1.5 umol/kg,none,none,none,none,none,Han-wistar rat,iv,none,none,False
1,Clearance in mouse liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by HPLC-MS/MS analysis,0.5 uM,up to 45 mins,NADPH,liver microsomes,none,HPLC-MS/MS,mouse,none,liver microsomes,none,True
2,Hepatic clearance in human liver microsomes,none,none,none,human liver microsomes,none,none,human,none,liver microsomes,none,False
3,Clearance in rat liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by HPLC-MS/MS analysis,0.5 uM,up to 45 mins,NADPH,liver microsomes,none,HPLC-MS/MS,rat,none,liver microsomes,none,True
4,Clearance in human liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by HPLC-MS/MS analysis,0.5 uM,up to 45 mins,NADPH,liver microsomes,none,HPLC-MS/MS,human,none,liver microsomes,none,True
0,Clearance in human liver microsomes at 1 uM measured after 2 to 60 mins in presence of glucose-6-phosphate by LC-MS/MS analysis,1 uM,2 to 60 mins,glucose-6-phosphate,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
1,Metabolic clearance in mouse liver microsomes at 1 umol/L by HPLC analysis,1 umol/L,none,none,liver microsomes,none,HPLC,mouse,none,liver microsomes,none,True
2,"Unbound clearance in male Wistar Han rat at 0.05 mg/kg, iv",0.05 mg/kg,none,none,none,none,none,male Wistar Han rat,iv,none,none,False
3,Intrinsic clearance in rat liver microsomes at 10 uM in presence of NADPH measured after 60 mins by LC-MS method,10 uM,after 60 mins,NADPH,liver microsomes,none,LC-MS,rat,none,liver microsomes,none,True
4,Clearance in mouse microsomes assessed per mg of protein,none,none,none,mouse microsomes,none,none,mouse,none,microsomes,assessed per mg of protein,True
0,"Clearance in BALB/c mouse at 0.5 mg/kg, iv measured up to 24 hrs",0.5 mg/kg,up to 24 hrs,none,none,none,none,BALB/c mouse,iv,none,none,False
1,Metabolic stability in mouse microsome assessed as intrinsic clearance,none,none,none,mouse microsome,none,none,mouse,none,liver microsomes,none,True
2,Plasma clearance in mouse,none,none,none,none,none,none,mouse,none,none,none,False
3,Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH measured up to 30 mins by LC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
4,Intrinsic clearance in rat liver microsomes at 1 uM in presence of NADPH by LC-MS/MS analysis,1 uM,none,NADPH,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,none,True
