index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,"Intrinsic clearance in Wistar Han rat at 0.05 mg/kg, iv or 1 mg/kg, po","0.05 mg/kg iv, 1 mg/kg po",none,none,Wistar Han rat,none,none,Wistar Han rat,"iv, po",none,none,False
1,Total clearance in rat,none,none,none,rat,none,none,rat,none,none,none,False
2,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",1 mg/kg,up to 24 hrs,none,Sprague-Dawley rat,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,True
3,Unbound clearance in human microsomes,none,none,none,human microsomes,none,none,human,none,microsomes,unbound,False
4,Intrinsic clearance in mouse liver microsomes in presence of NADPH regeneration system,none,none,NADPH regeneration system,mouse liver microsomes,none,none,mouse,none,liver microsomes,none,True
5,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 10 uM by LC-MS/MS analysis,10 uM,none,NADPH,human liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
6,Intrinsic clearance in human liver microsomes at 3 uM up to 45 mins in presence of NADPH by LC-MS/MS analysis,3 uM,up to 45 mins,NADPH,human liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
7,Clearance in mouse liver microsomes at 0.625 uM preincubated for 5 mins followed by NADPH addition and measured after 60 mins by LC-MS/MS analysis,0.625 uM,after 60 mins,NADPH,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
8,Intrinsic clearance in human liver microsomes at 1 uM measured upto 60 mins by LC-MS/MS-11 analysis,1 uM,up to 60 mins,none,human liver microsomes,none,LC-MS/MS-11,human,none,liver microsomes,none,True
9,"Unbound clearance in male Sprague-Dawley rat at 0.5 mg/kg, iv",0.5 mg/kg,none,none,male Sprague-Dawley rat,none,LC-MS/MS,male Sprague-Dawley rat,iv,none,none,False
10,"Clearance in Han Wistar rat at 2 micromol/kg, po and 1 umol/kg, iv","2 micromol/kg po, 1 umol/kg iv",none,none,Han Wistar rat,none,none,Han Wistar rat,"po, iv",none,none,False
11,"Clearance in Balb/C mouse plasma at 10 mg/kg, po by LC-MS analysis",10 mg/kg,none,none,Balb/C mouse plasma,none,LC-MS,Balb/C mouse,po,none,none,False
12,Intrinsic clearance in mouse liver microsomes at 3 uM up to 45 mins in presence of NADPH by LC-MS/MS analysis,3 uM,up to 45 mins,NADPH,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
13,Clearance in human liver S9 fraction assessed as measuring per mg protein by LCMS/MS analysis,none,none,none,human liver S9 fraction,none,LCMS/MS,human,none,liver S9 fraction,per mg protein,True
14,Intrinsic clearance in human liver microsomes preincubated for 10 mins followed by NADPH regenerating system addition and measured up to 30 mins by LC/MS-MS analysis,none,up to 30 mins,NADPH regenerating system,human liver microsomes,none,LC/MS-MS,human,none,liver microsomes,none,True
15,In vivo intrinsic biliary clearance in iv dosed Sprague-Dawley rat by LC-MS/MS analysis,none,none,none,Sprague-Dawley rat,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,False
16,Intrinsic clearance in human liver microsomes in presence of NADPH regeneration system,none,none,NADPH regeneration system,human liver microsomes,none,none,human,none,liver microsomes,none,True
17,"Clearance in Sprague-Dawley rat at 10 mg/kg, po measured upto 24 hrs by LC-MS/MS analysis",10 mg/kg,up to 24 hrs,none,Sprague-Dawley rat,none,LC-MS/MS,Sprague-Dawley rat,po,none,none,False
18,Intrinsic clearance in rat liver microsomes in presence of NADPH regeneration system,none,none,NADPH regeneration system,rat liver microsomes,none,none,rat,none,liver microsomes,none,True
19,Intrinsic clearance in mouse liver microsomes measured upto 40 mins by LC-MS/MS analysis,none,up to 40 mins,none,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
