index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,"Clearance in rat at 5 mg/kg, po or 1 mg/kg, iv",none,none,po or iv,rat,none,none,rat,po or iv,none,none,True
1,"Observed clearance in ICR (CD-1) mouse at 1 mg/kg, iv measured up to 24 hrs",1 mg/kg,measured up to 24 hrs,iv,mouse,none,LC-MS/MS,ICR (CD-1) mouse,iv,none,per mg of protein,True
2,Metabolic stability in mouse hepatocytes assessed as intrinsic clearance at 1 uM incubated for 90 mins by LC/MS/MS analysis,1 uM,90 mins,NADPH,mouse hepatocytes,none,LC/MS/MS,mouse,none,liver microsomes,none,True
3,Metabolic stability in rat liver microsomes assessed as apparent clearance at 1 uM measured up to 120 mins in presence of NADPH by HPLC-MS/MS analysis,1 uM,up to 120 mins,NADPH,rat liver microsomes,none,HPLC-MS/MS,rat,none,liver microsomes,per mg of protein,True
4,Unbound intrinsic glucuronidation clearance in human kidney microsomes at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of UDP-glucuronosyltransferase,1 uM,30 to 60 mins,UDP-glucuronosyltransferase,human kidney microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
0,"Clearance in Sprague-Dawley rat at 5 mg/kg, iv by LC-MS/MS analysis",5 mg/kg,none,iv,rat,none,LC-MS/MS,Sprague-Dawley rat,iv,plasma,none,True
1,"Blood clearance in Wistar rat at 0.1 to 0.5 mg/kg, iv administered as bolus dose measured up to 24 hrs by HPLC-MS-MS analysis",0.1 to 0.5 mg/kg,up to 24 hrs,iv,rat plasma,none,HPLC-MS-MS,Wistar rat,iv,plasma,none,True
2,"Clearance in rat at 2 mg/kg, iv by LC-MS/MS analysis",2 mg/kg,none,iv,rat,none,LC-MS/MS,rat,none,none,none,True
3,Intrinsic clearance in rat hepatocytes at 1 uM by HPLC-MS/MS analysis,1 uM,none,none,rat hepatocytes,none,HPLC-MS/MS,rat,none,none,none,True
4,"Clearance in rat at 0.2 mg/kg, iv",0.2 mg/kg,none,iv,rat,none,none,rat,iv,none,none,True
0,"Clearance in rat at 2 mg/kg, iv using 10% DMAC/0% Solutol HS15/80% saline formulation",2 mg/kg,none,iv,rat,none,none,none,none,none,none,True
1,"Unbound clearance in Sprague-Dawley rat at 1 mg/kg, iv or po measured after 0.033 to 24 hrs by LC/MS/MS analysis",1 mg/kg,0.033 to 24 hrs,iv or po,rat plasma,none,LC/MS/MS,Sprague-Dawley rat,none,plasma,none,True
2,Intrinsic clearance in mouse liver microsomes at 1 uM in presence of NADPH generating system by LC-MS/MS analysis,1 uM,none,NADPH generating system,mouse liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
3,Intrinsic clearance in human liver microsomes at 2 uL after 20 mins by LC/MS/MS analysis,2 uL,after 20 mins,none,human liver microsomes,none,LC/MS/MS,human,none,liver microsomes,none,True
4,Metabolic stability in rat liver microsomes assessed as intrinsic clearance,none,assessed,none,rat liver microsomes,none,none,rat,none,liver microsomes,none,True
0,Intrinsic clearance in Sprague-Dawley rat liver microsomes at 0.2 to 1 mM after 2 mins in presence of NADPH by HPLC analysis,0.2 to 1 mM,after 2 mins,NADPH,rat liver microsomes,none,HPLC,Sprague-Dawley rat,iv,liver microsomes,none,True
1,"Clearance in Wistar rat at 1 mg/kg, iv or 2 mg/kg, po","1 mg/kg, iv or 2 mg/kg, po",none,iv or po,rat plasma,none,LC-MS/MS,Wistar rat,none,plasma,none,True
2,Metabolic stability in male rat liver microsomes assessed as intrinsic clearance measured after 90 mins by HPLC/MS/MS analysis,none,after 90 mins,none,rat liver microsomes,none,HPLC/MS/MS,male rat,none,liver microsomes,none,True
3,Intrinsic clearance in human liver microsomes at 10 mM preincubated for 10 mins followed by NADPH addition and measured after 5 to 60 mins by LC-MS analysis,10 mM,5 to 60 mins,NADPH,human liver microsomes,none,LC-MS,human,none,liver microsomes,none,True
4,Intrinsic clearance in rat hepatic microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured after 3 to 45 mins by LC-MS/MS method,1 uM,3 to 45 mins,NADPH,rat hepatic microsomes,none,LC-MS/MS,rat,none,liver microsomes,per mg of protein,True
