index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH incubated for 30 mins by LC/MS method,1 uM,for 30 mins,NADPH,liver microsomes,none,LC/MS,human,none,liver microsomes,none,True
1,Intrinsic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,CD-1 mouse,none,liver microsomes,none,True
2,Hepatic clearance in Sprague-Dawley rat liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,Sprague-Dawley rat,iv,liver microsomes,none,True
3,Hepatic clearance in human liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,Sprague-Dawley rat,30 mins infusion,liver microsomes,none,True
4,Hepatic clearance in mouse liver microsomes,none,none,NADPH,liver microsomes,none,none,mouse,none,liver microsomes,assessed per mg protein,True
0,Intrinsic clearance in mouse liver microsomes assessed per mg protein at 0.1 uM preincubated for 10 mins followed by NADPH addition and measured up to 60 mins by UPLC-MS/MS analysis,0.1 uM,up to 60 mins,NADPH,liver microsomes,none,UPLC-MS/MS,mouse,none,liver microsomes,assessed per mg protein,True
1,Clearance in iv dosed rat administered as cassette dose,none,none,none,none,none,none,rat,iv,none,none,False
2,Stability in human liver microsomes assesses as intrinsic clearance at 10 uM measured up to 120 mins by LC-MS/MS analysis,10 uM,up to 120 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
3,Metabolic stability in rat microsomes assessed as clearance per mg of protein,none,none,none,microsomes,none,none,rat,none,liver microsomes,per mg of protein,True
4,Metabolic stability in human microsomes assessed as clearance per mg of protein,none,none,none,microsomes,none,none,human,none,liver microsomes,per mg of protein,True
0,Intrinsic clearance in rat liver microsomes assessed per mg protein at 0.1 uM preincubated for 10 mins followed by NADPH addition and measured up to 60 mins by UPLC-MS/MS analysis,0.1 uM,up to 60 mins,NADPH,liver microsomes,none,UPLC-MS/MS,rat,none,liver microsomes,per mg protein,True
1,Intrinsic clearance in pooled human liver microsomes at 0.5 uM measured up to 45 mins in presence of NADPH by LC-MS/MS analysis,0.5 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,"Unbound clearance in CD-1 mouse at 1 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",1 mg/kg,up to 24 hrs,none,none,none,LC-MS/MS,CD-1 mouse,iv,none,unbound fraction,False
3,"Clearance in rat at 10 mg/kg, po",10 mg/kg,none,none,none,none,none,rat,po,none,none,False
4,Metabolic stability in human liver microsomes assessed as clearance at 1 uM by LC/MS/MS analysis,1 uM,none,NADPH,liver microsomes,none,LC/MS/MS,human,none,liver microsomes,none,True
0,Metabolic stability in mouse hepatocytes assessed as intrinsic clearance,none,none,none,hepatocytes,none,none,mouse,none,liver microsomes,none,True
1,"Clearance in C57BL/6J mouse at 2 mg/kg, iv measured after 0.08 to 24 hrs",2 mg/kg,0.08 to 24 hrs,none,none,none,none,C57BL/6J mouse,iv,none,none,False
2,Clearance in human liver microsomes in presence of NADPH,none,none,NADPH,liver microsomes,none,none,human,none,liver microsomes,none,True
3,Intrinsic clearance in human liver microsomes at 1 uM measured up to 30 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
4,"Plasma clearance in Sprague-Dawley rat at 1 mg/kg, iv measured up to 8 hrs by LC-MS/MS analysis",1 mg/kg,up to 8 hrs,none,none,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,False
