index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,In vitro clearance in human liver microsomes,none,none,none,liver microsomes,none,none,human,in vitro,liver microsomes,none,True
1,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv by LC/MS/MS analysis",1 mg/kg,none,none,plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,True
2,Intrinsic clearance in mouse cryopreserved hepatocytes at 1 uM incubated from 10 to 180 mins under shaking condition by LC-MS/MS analysis,1 uM,10 to 180 mins,NADPH,cryopreserved hepatocytes,shaking condition,LC-MS/MS,mouse,none,liver microsomes,per mg protein,True
3,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance at 1 uM measured up to 30 mins by LC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,unbound intrinsic clearance,True
4,"Clearance in rat at 0.25 mg/kg, iv measured for 24 hrs",0.25 mg/kg,for 24 hrs,none,plasma,none,none,rat,iv,none,none,True
0,"Blood clearance in CD1 mouse at 1 mg/kg, iv administered as bolus dose measured up to 7 hrs by UPLC/MS/MS spectrometry analysis",1 mg/kg,up to 7 hrs,none,plasma,none,UPLC/MS/MS,CD1 mouse,iv,none,none,True
1,Clearance in mouse hepatic microsomes by LC-MS/MS analysis,none,none,NADPH,hepatic microsomes,none,LC-MS/MS,mouse,none,liver microsomes,per mg of protein,True
2,In vivo apparent biliary clearance in iv dosed Sprague-Dawley rat by LC-MS/MS analysis,none,none,NADPH,biliary,none,LC-MS/MS,Sprague-Dawley rat,none,liver microsomes,none,True
3,"Clearance in Wistar Han rat at 1 mg/kg, iv or 2 mg/kg, po","1 mg/kg, iv or 2 mg/kg, po",none,none,plasma,none,none,Wistar Han rat,iv or po,none,none,True
4,Clearance in human liver microsomes at 1 uM in presence of NADPH generating system measured for 10 to 90 mins by LC-MS/MS analysis,1 uM,10 to 90 mins,NADPH generating system,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,per mg of protein,True
0,"Clearance in C57BL/6 mouse at 1 mg/kg, iv administered as bolus dose measured after 0.083 to 24 hrs by LC-MS/MS analysis",1 mg/kg,0.083 to 24 hrs,NADPH,plasma,none,LC-MS/MS,C57BL/6 mouse,iv,none,none,True
1,"Clearance in Wistar rat at 0.5 mg/kg, iv by LC-MS/MS analysis",0.5 mg/kg,none,NADPH,plasma,none,LC-MS/MS,Wistar rat,iv,none,none,True
2,"Clearance in rat at 2 mg/kg, po or 1 mg/kg, iv","2 mg/kg, po or 1 mg/kg, iv",none,none,none,none,none,rat,none,none,none,False
3,"Plasma clearance in C57BL/6J mouse at 3 mg/kg, iv administered as single dose by LC-MS/MS analysis",3 mg/kg,single dose,none,plasma,none,LC-MS/MS,C57BL/6J mouse,iv,none,none,True
4,Intrinsic clearance in human liver microsomes at 1 uM up to 45 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,per mg protein,True
0,Intrinsic clearance in mouse microsomes at 1 uM in presence of NADPH,1 uM,none,NADPH,mouse microsomes,none,none,mouse,none,liver microsomes,per mg protein,True
1,Intrinsic clearance in human microsomes at 1 uM in presence of NADPH,1 uM,none,NADPH,human microsomes,none,none,human,none,liver microsomes,none,True
2,Intrinsic clearance in mouse microsomes at 1 uM,1 uM,none,none,mouse microsomes,none,none,mouse,none,liver microsomes,none,True
3,Metabolic stability in human liver microsomes assessed as intrinsic clearance measured after 90 mins by HPLC/MS/MS analysis,none,after 90 mins,NADPH,liver microsomes,none,HPLC/MS/MS,human,none,liver microsomes,none,False
4,Metabolic stability in rat liver microsomes assessed as intrinsic clearance using pH 7.4 phosphate buffer incubated for 45 mins by LC-MS/MS analysis,none,for 45 mins,pH 7.4 phosphate buffer,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,per mg of protein,True
