index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 1 uM measured upto 60 mins in presence of NADPH generating system by UPLC-MS/MS method,1 uM,up to 60 mins,NADPH generating system,liver microsomes,none,UPLC-MS/MS,human,none,liver microsomes,none,True
1,Microsomal stability in ICR/CD-1 mouse liver microsomes assessed as intrinsic clearance at 2 uM after 5 mins in presence of NADPH regenerating system by LC-MS/MS analysis,2 uM,after 5 mins,NADPH regenerating system,liver microsomes,none,LC-MS/MS,ICR/CD-1 mouse,none,liver microsomes,none,True
2,"Clearance in mouse at 3 mg/kg, iv",3 mg/kg,none,none,none,none,LC-MS/MS,mouse,iv,none,none,False
3,Intrinsic clearance in human liver microsomes at 1 uM after 30 mins in presence of NADPH by LC-MS/MS analysis,1 uM,after 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
4,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance at 1 uM measured upto 40 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 40 mins,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
0,Clearance in iv dosed rat by LC/MS/MS analysis,none,none,none,none,none,LC/MS/MS,rat,iv,none,none,False
1,Clearance in human hepatocytes at 1 uM after 1 to 3 hrs by LC-MS/MS method,1 uM,1 to 3 hrs,none,hepatocytes,none,LC-MS/MS,human,none,none,none,True
2,Intrinsic clearance in CD-1 mouse liver microsomes at 0.5 uM after 30 mins in presence of NADPH by UPLC-MS/MS analysis,0.5 uM,after 30 mins,NADPH,liver microsomes,none,UPLC-MS/MS,CD-1 mouse,none,liver microsomes,none,True
3,Unbound intrinsic clearance in human microsomes,none,none,none,microsomes,none,none,human,none,none,none,False
4,"Clearance in CD-1 mouse at 3 mg/kg, iv",3 mg/kg,none,none,none,none,LC-MS/MS,CD-1 mouse,iv,none,none,False
0,Metabolic stability in mouse liver microsomes at 10 mM in presence of NADPH assessed as intrinsic clearance,10 mM,none,NADPH,liver microsomes,none,none,mouse,none,liver microsomes,none,True
1,Clearance in mouse hepatocytes,none,none,none,hepatocytes,none,none,mouse,none,none,none,False
2,Intrinsic clearance in mouse liver microsomes by LC/MS/MS analysis,none,none,none,liver microsomes,none,LC/MS/MS,mouse,none,liver microsomes,none,True
3,Metabolic stability in human liver microsomes at 10 mM in presence of NADPH assessed as intrinsic clearance,10 mM,none,NADPH,liver microsomes,none,none,human,none,liver microsomes,none,True
4,"Clearance in Sprague-Dawley rat at 2 mg/kg, iv",2 mg/kg,none,none,none,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,False
0,Intrinsic clearance in human liver cytosol at 0.5 uM measured after 15 mins in presence of NADPH by spectrometric method,0.5 uM,after 15 mins,NADPH,liver cytosol,none,spectrometric method,human,none,none,none,False
1,"Total clearance in Sprague-Dawley rat at 0.5 mg/kg, iv dosed via cassette dosing",0.5 mg/kg,none,none,none,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,False
2,Clearance in human liver microsomes at 0.5 uM incubated up to 30 mins in presence of NADPH by LC-MS/MS method,0.5 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
3,Metabolic stability in rat hepatic microsomes by LC/MS/MS analysis,none,none,none,hepatic microsomes,none,LC/MS/MS,rat,none,none,none,True
4,Intrinsic clearance in rat liver microsomes in presence of NADPH generating system,none,none,NADPH generating system,liver microsomes,none,none,rat,none,liver microsomes,none,True
