index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Hepatic clearance in rat,none,none,none,liver microsomes,none,none,rat,hepatic,none,none,True
1,Intrinsic clearance in human liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition and measured after 45 mins by LC/MS/MS analysis,1 uM,after 45 mins,NADPH,liver microsomes,none,LC/MS/MS,human,none,liver microsomes,none,True
2,Clearance in human microsomes assessed per mg of protein at 0.5 uM,0.5 uM,none,none,human microsomes,none,assessed,human,none,per mg of protein,per mg of protein,True
3,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 0.2 mg/ml incubated for 60 mins by UPLC/MS-MS analysis,0.2 mg/ml,for 60 mins,NADPH,liver microsomes,none,UPLC/MS-MS,human,none,liver microsomes,unbound,True
4,Intrinsic clearance in human liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition and measured up to 60 mins by LC-MS analysis,1 uM,up to 60 mins,NADPH,liver microsomes,none,LC-MS,human,none,liver microsomes,none,True
0,Intrinsic clearance in rat liver microsomes at 1 uM after 1 to 40 mins in presence of NADPH by LC-MS/MS analysis,1 uM,1 to 40 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,iv,liver microsomes,per protein,True
1,"Unbound clearance in Wistar Han rat at 1 mg/kg, iv administered as 1 hr infusion or 3 mg/kg, po administered via gavage by LC-MS/MS analysis",1 mg/kg,1 hr infusion or administered via gavage,unbound,plasma,none,LC-MS/MS,Wistar Han rat,iv or po,none,none,True
2,"Clearance in CD1 mouse at 1 mg/kg, iv",1 mg/kg,none,none,none,none,none,CD1 mouse,iv,none,none,True
3,"Intrinsic clearance in rat at 0.05 mg/kg, iv administered as cassette dose or 2 mg/kg, po administered as single dose","0.05 mg/kg, iv or 2 mg/kg, po",none,iv or po,rat,none,administered as cassette dose or single dose,rat,iv or po,as cassette dose or single dose,none,True
4,Metabolic stability in human liver microsomes assessed as apparent clearance at 0.5 uM measured up to 40 mins in presence of NADPH by LCMS/MS analysis,0.5 uM,up to 40 mins,NADPH,liver microsomes,none,LCMS/MS,human,incubated,liver microsomes,none,True
0,Clearance in human hepatocytes at 1 uM measured up to 250 mins by UHPLC-HRMS analysis,1 uM,up to 250 mins,none,hepatocytes,none,UHPLC-HRMS,human,none,none,none,True
1,Intrinsic clearance in mouse liver microsomes at 1 uM measured up to 15 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 15 mins,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,assessed per protein,True
2,"Plasma clearance in Wistar Han rat at 3 mg/kg, iv administered as 15 mins infusion by LC-MS/MS analysis",3 mg/kg,15 mins infusion,none,plasma,none,LC-MS/MS,Wistar Han rat,iv,none,none,True
3,"Unbound plasma clearance in Wistar Han rat at 3 mg/kg, iv administered as 15 mins infusion by LC-MS/MS analysis",3 mg/kg,15 mins infusion,unbound,plasma,none,LC-MS/MS,Wistar Han rat,iv,none,none,True
4,Clearance in mouse microsomes measured per 0.5 mg of protein at 1 uM,1 uM,none,none,mouse microsomes,none,measured,mouse,none,per 0.5 mg of protein,0.5 mg of protein,True
0,Intrinsic clearance in mouse liver microsomes at 0.5 uM up to 60 mins in presence of NADPH generating system by LC-MS/MS analysis,0.5 uM,up to 60 mins,NADPH generating system,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
1,Clearance in human liver microsomes at 1 uM measured after 30 mins in presence of NADPH by LC-MS/MS analysis,1 uM,after 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,"Clearance in Sprague-Dawley rat at 5 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",5 mg/kg,up to 24 hrs,none,plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,True
3,Intrinsic clearance in rat liver microsomes at 10 uM incubated for 1 hr in presence of NADPH by LC-MS/MS analysis,10 uM,for 1 hr,NADPH,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,none,True
4,Metabolic stability in CD-1 mouse liver microsomes assessed as intrinsic clearance at 1 uM measured up to 30 mins by LC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,CD-1 mouse,none,liver microsomes,none,True
