index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH by LC-MS/MS analysis,1 uM,up to 15 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
1,Metabolic stability in human microsomes assessed as intrinsic clearance per mg of protein at 2 uM,2 uM,none,NADPH,microsomes,none,LC/MS-MS,human,none,none,per mg of protein,True
2,"Clearance in rat at 3 mg/kg, iv",3 mg/kg,none,none,none,none,none,rat,iv,none,none,False
3,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv administered as 30 mins infusion by LC/MS/MS analysis",1 mg/kg,30 mins infusion,none,none,none,LC/MS/MS,Sprague-Dawley rat,iv,none,none,False
4,Intrinsic clearance in mouse liver microsomes assessed per mg of protein up to 90 mins,none,up to 90 mins,NADPH,liver microsomes,none,LC-MS,mouse,none,liver microsomes,per mg of protein,True
0,Clearance in mouse liver microsomes in presence of NADPH,none,none,NADPH,liver microsomes,none,none,mouse,none,liver microsomes,none,True
1,"Clearance adjusted for unbound fraction in Sprague-Dawley rat at 1 mg/kg, iv administered as 30 mins infusion by LC/MS/MS analysis",1 mg/kg,30 mins infusion,none,none,none,LC/MS/MS,Sprague-Dawley rat,iv,none,adjusted for unbound fraction,False
2,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv measured for 24 hrs by LC-MS/MS analysis",1 mg/kg,for 24 hrs,none,none,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,False
3,Metabolic stability in human liver microsomes assessed as intrinsic clearance measured up to 60 mins in presence of NADPH by HPLC-MS analysis,none,up to 60 mins,NADPH,liver microsomes,none,HPLC-MS,human,none,liver microsomes,none,True
4,Intrinsic clearance in mouse liver microsomes at 5 uM by LC-MS/MS analysis,5 uM,none,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
0,Clearance in human hepatocytes at 1 uM up to 60 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 60 mins,NADPH,hepatocytes,none,LC-MS/MS,human,none,none,none,True
1,DNDI: in vitro intrinsic clearance in human liver microsomes at a concentration of 1uM,1uM,none,NADPH,liver microsomes,none,LC-MS/MS,human,none,none,none,True
2,Intrinsic clearance in Wistar rat liver microsomes at 2.5 uM,2.5 uM,none,NADPH,liver microsomes,none,none,Wistar rat,none,none,none,True
3,Plasma clearance upon i.v. dose of 1 mg/kg in rats,1 mg/kg,none,none,none,none,none,rats,iv,none,none,False
4,Clearance in CD-1 mouse liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,1 uM,after 20 mins,NADPH,liver microsomes,none,LC-MS/MS,CD-1 mouse,none,liver microsomes,assessed per mg of protein,True
0,Unbound intrinsic clearance in rat liver microsomes,none,none,none,liver microsomes,none,none,rat,none,none,none,True
1,Intrinsic clearance in human liver microsomes at 1 uM by LC-MS/MS analysis,1 uM,none,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,"Clearance in CD1 mouse at 1 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",1 mg/kg,up to 24 hrs,none,none,none,LC-MS/MS,CD1 mouse,iv,none,none,False
3,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 5 uM preincubated with NADPH for 5 mins followed by compound addition and measured after 60 mins by UHPLC/UV/MS/MS analysis,5 uM,after 60 mins,NADPH,liver microsomes,none,UHPLC/UV/MS/MS,human,none,liver microsomes,per mg of protein,True
4,Intrinsic clearance in rat hepatocytes at 0.3 uM incubated for 90 mins by LC/MS/MS analysis,0.3 uM,for 90 mins,none,hepatocytes,none,LC/MS/MS,rat,none,none,none,True
