index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Clearance in human liver microsomes at 1 uM in presence of NADPH measured for 15 to 30 min by LC-MS/MS analysis,1 uM,15 to 30 min,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
1,Metabolic stability in human liver microsome assessed as intrinsic clearance by LC-MS/MS analysis,none,none,intrinsic clearance,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,"Clearance in Sprague-Dawley rat plasma at 2.5 mg/kg, po measured after 24 hrs by LC-MS/MS analysis",2.5 mg/kg,after 24 hrs,none,rat plasma,none,LC-MS/MS,Sprague-Dawley rat,po,plasma,none,True
3,"Clearance in rat at 1 mg/kg, iv measured after 24 hrs",1 mg/kg,after 24 hrs,none,rat plasma,none,LC-MS,rat,iv,plasma,none,True
4,"Clearance in Sprague-Dawley rat brain at 2.5 mg/kg, po measured after 24 hrs by LC-MS/MS analysis",2.5 mg/kg,after 24 hrs,none,rat brain,none,LC-MS/MS,Sprague-Dawley rat,po,brain,none,True
0,"Blood clearance in male Wistar Han rat at 1 mg/kg, iv and 3 mg/kg, po measured up to 7 hrs by LC-MS/MS analysis","1 mg/kg, iv or 3 mg/kg, po",up to 7 hrs,none,rat plasma,none,LC-MS/MS,Wistar Han rat,iv or po,plasma,none,True
1,Unbound intrinsic glucuronidation clearance in human intestinal microsomes at 1 uM after 30 to 60 mins by LC-MS/MS analysis in presence of UDP-glucuronosyltransferase,1 uM,30 to 60 mins,UDP-glucuronosyltransferase,intestinal microsomes,none,LC-MS/MS,human,none,microsomes,none,True
2,"Clearance in Sprague-Dawley rat at 2 mg/kg, iv measured up to 24 hrs by LC-MS-MS analysis",2 mg/kg,up to 24 hrs,NADPH,rat plasma,none,LC-MS-MS,Sprague-Dawley rat,iv,plasma,none,True
3,"Clearance in mdx mouse at 1 mg/kg, iv",1 mg/kg,none,none,mdx mouse,none,none,ICR mouse,iv,none,none,True
4,Unbound clearance in Wistar Han rat by LC-MS/MS analysis,unbound,none,none,rat plasma,none,LC-MS/MS,Wistar Han rat,iv,none,none,True
0,"Clearance in Sprague-Dawley rat at 3 mg/kg, iv by LC-MS/MS analysis",3 mg/kg,none,none,rat plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,plasma,none,True
1,Intrinsic clearance in human liver microsomes at 1 uM preincubated for 10 mins and measured up to 60 mins by LC-MS/MS analysis,1 uM,up to 60 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,Clearance in Wistar rat plasma,none,none,none,rat plasma,none,none,Wistar rat,po,plasma,none,True
3,"Clearance in Sprague-Dawley rat at 0.25 to 0.5 mg/kg, iv measured up to 24 hrs by LC-MS/MS analysis",0.25 to 0.5 mg/kg,up to 24 hrs,none,rat plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,plasma,none,True
4,Metabolic stability in rat liver microsomes assessed as intrinsic clearance at 10 uM preincubated for 10 mins followed by NADPH addition and measured after 30 to 60 mins by UPLC/MS analysis,10 uM,30 to 60 mins,NADPH,liver microsomes,none,UPLC/MS,rat,po or iv,liver microsomes,none,True
0,Intrinsic clearance in mouse liver microsomes at 1 uM preincubated for 10 mins and measured up to 60 mins by LC-MS/MS analysis,1 uM,up to 60 mins,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
1,Intrinsic clearance in rat hepatocytes after 60 mins by LC-MS/MS analysis,none,after 60 mins,none,hepatocytes,none,LC-MS/MS,rat,iv,hepatocytes,none,True
2,Clearance in human hepatocytes at 1 uM incubated up to 60 mins by LC-MS/MS method,1 uM,up to 60 mins,NADPH,hepatocytes,none,LC-MS/MS,human,none,hepatocytes,none,True
3,Intrinsic clearance in human liver microsomes in presence of NADPH,none,measured,NADPH,liver microsomes,none,none,human,none,liver microsomes,none,True
4,"Clearance in Sprague-Dawley rat at 2 mg/kg, iv measured for 24 hrs by LC-MS/MS analysis",2 mg/kg,for 24 hrs,NADPH,rat plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,plasma,none,True
