index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Intrinsic clearance in mouse liver microsomes at 1 uM in presence of NADP measured after 30 mins under shaking condition by LC-MS/MS analysis,1 uM,30 mins,NADP,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
1,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 1 uM measured up to 30 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,Intrinsic clearance in rat liver microsomes measured upto 30 mins in presence of NADPH by LC-MS/MS analysis,none,up to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,none,none,none,True
3,Intrinsic clearance in mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured after 5 to 30 mins by LC-MS/MS analysis,1 uM,5 to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
4,Clearance in mouse microsomes,none,none,none,microsomes,none,none,mouse,none,liver microsomes,none,True
0,DNDI: in vitro intrinsic clearance in human liver microsomes at a concentration of 10uM,10uM,none,none,liver microsomes,none,none,human,none,liver microsomes,none,False
1,Metabolic stability in human microsomes assessed as clearance,none,none,NADPH,microsomes,none,none,human,none,none,none,False
2,Microsomal stability in mouse liver microsomes assessed as intrinsic clearance at 1 uM preincubated for 5 mins followed by NADPH regenerating system addition measured after 30 mins by LC-MS/MS analysis,1 uM,30 mins,NADPH regenerating system,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
3,Intrinsic clearance in human liver microsomes at 1 uM in presence of NADPH regenerating system incubated up to 45 mins by LC/MS-MS analysis,1 uM,up to 45 mins,NADPH regenerating system,liver microsomes,none,LC/MS-MS,human,none,liver microsomes,none,True
4,Microsomal stability in mouse liver microsomes assessed as clearance,none,none,NADPH,liver microsomes,none,none,mouse,none,liver microsomes,none,True
0,Intrinsic clearance in rat hepatic microsomes,none,none,NADPH,hepatic microsomes,none,none,rat,none,none,none,True
1,Intrinsic clearance for reactive metabolites formation per mg of protein based on cytochrome P450 (unknown origin) inactivation rate by TDI assay,none,none,none,none,none,TDI assay,none,none,none,none,False
2,"Total clearance in rat at 1 mg/kg, po administered as cassette dose",1 mg/kg,none,none,none,none,none,rat,po,none,none,False
3,"Clearance in BALB/c mouse at 1 mg/kg, iv or 10 mg/kg, po","1 mg/kg, iv or 10 mg/kg, po",none,none,none,none,LC-MS/MS,BALB/c mouse,iv or po,none,none,False
4,Microsomal stability in mouse liver microsomes assessed as intrinsic clearance,none,none,NADPH,liver microsomes,none,none,mouse,none,liver microsomes,none,True
0,Metabolic stability in mouse liver microsomes assessed as intrinsic clearance by LC-MS/MS analysis,none,none,NADPH,liver microsomes,none,LC-MS/MS,mouse,none,liver microsomes,none,True
1,"Clearance in mouse at 2 mg/kg, iv",2 mg/kg,none,none,none,none,LC-MS/MS,mouse,iv,none,none,False
2,Metabolic stability in human liver assessed as intrinsic clearance,none,none,NADPH,liver,none,none,human,none,none,none,False
3,"Plasma clearance in Wistar Han rat at 0.5 mg/kg, iv or 1 mg/kg, po","0.5 mg/kg, iv or 1 mg/kg, po",none,none,none,none,none,Wistar Han rat,iv or po,none,none,False
4,"Clearance in Sprague-Dawley rat at 2 mg/kg, po or 1 mg/kg, iv administered as cassette dose measured after 24 hrs relative to hepatic blood flow","2 mg/kg, po or 1 mg/kg, iv",after 24 hrs,none,none,none,none,Sprague-Dawley rat,po or iv,none,none,False
