index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Microsomal stability in rat liver microsome assessed as clearance at 1.0 uM preincubated for 5 mins followed by NADPH addition measured up to 60 mins by LC-MS/MS analysis,1.0 uM,up to 60 mins,NADPH,rat microsomes,none,LC/MS,rat,none,liver microsomes,none,True
1,Clearance in Sprague-Dawley rat hepatocytes at 1 uM measured up to 3 hrs by LC-MS/MS analysis,1 uM,up to 3 hrs,NADPH,hepatocytes,none,LC-MS/MS,Sprague-Dawley rat,none,hepatocytes,none,True
2,Clearance in Sprague-Dawley rat liver microsomes at 1 uM and measured up to 45 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,Sprague-Dawley rat,iv,liver microsomes,none,True
3,Metabolic stability in rat microsomes assessed as intrinsic clearance per mg protein,none,none,none,rat microsomes,none,LC-MS/MS,Sprague-Dawley rat,iv,liver microsomes,none,True
4,Intrinsic clearance in Sprague-Dawley rat liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,rat,none,liver microsomes,none,True
0,Intrinsic clearance in human liver microsomes assessed per mg protein at 0.1 uM preincubated for 10 mins followed by NADPH addition and measured up to 60 mins by UPLC-MS/MS analysis,0.1 uM,up to 60 mins,NADPH,human microsomes,none,UPLC-MS/MS,human,none,liver microsomes,per mg protein,True
1,Intrinsic clearance in human liver microsomes incubated for 30 mins in presence of NADPH by LC-MS/MS analysis,1 uM,for 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,per mg protein,True
2,Intrinsic clearance in mouse liver microsomes in presence of NADPH-regenerating system incubated over 60 mins,none,over 60 mins,NADPH-regenerating system,liver microsomes,none,none,mouse,none,liver microsomes,per mg protein,True
3,"Clearance in rat at 0.5 mg/kg, iv or 1 mg/kg, po","0.5 mg/kg, iv or 1 mg/kg, po",none,none,none,none,none,rat,none,none,none,False
4,Hepatic clearance in CD-1 mouse liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 45 mins by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,CD-1 mouse,iv,liver microsomes,none,True
0,Metabolic stability in rat liver microsomes assessed as intrinsic clearance incubated for 20 to 60 mins in presence of metabolic phase 1 cofactors by HPLC-LC/MS analysis,none,20 to 60 mins,metabolic phase 1 cofactors,rat liver microsomes,none,HPLC-LC/MS,rat,none,liver microsomes,none,True
1,Clearance in human liver microsomes at 1 uM and measured up to 45 mins in presence of NADPH by LC-MS/MS analysis,1 uM,up to 45 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
2,Intrinsic clearance in human liver microsome in presence of NADPH-regenerating system incubated over 60 mins by LC-MS analysis,none,over 60 mins,NADPH-regenerating system,liver microsome,none,LC-MS,human,none,liver microsomes,none,True
3,Unbound clearance in rat microsomes,none,none,none,rat microsomes,none,none,rat,none,microsomes,none,True
4,Metabolic stability in human liver microsomes assessed as intrinsic clearance at 1 uM incubated for 60 mins by LC-MS/MS analysis,1 uM,for 60 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
0,Intrinsic clearance in rat liver microsomes at 1 uM measured after 15 to 30 mins in presence of NADPH generating system by LC/MS/MS analysis,1 uM,15 to 30 mins,NADPH generating system,liver microsomes,none,LC/MS/MS,rat,none,liver microsomes,per mg protein,True
1,Intrinsic clearance in human hepatocytes at 1 uM after 10 mins by LC-MS/MS analysis,1 uM,after 10 mins,NADPH,hepatocytes,none,LC-MS/MS,human,none,hepatocytes,none,True
2,Intrinsic clearance in human liver microsomes assessed per mg protein at 1 uM preincubated for 10 mins followed NADPH/UDP-glucuronic acid addition and measured after 30 mins by LC-MS/MS analysis,1 uM,after 30 mins,NADPH/UDP-glucuronic acid,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,per mg protein,True
3,"Clearance in CD1 mouse at 2 mg/kg, iv",2 mg/kg,none,none,none,none,none,CD1 mouse,iv,none,none,False
4,Intrinsic clearance in human liver microsomes at 10 uM after 15 to 30 mins by LC-MS/MS analysis,10 uM,15 to 30 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,none,True
