index,original sentence,Compound Concentration,Incubation Time,Presence of NADPH/NADP,Enzyme Source,Temperature Range,Analytical Technique,Species,Route of Administration,Type of Microsomes,Protein Amount or Microsomal Protein Concentration,Liver_microsomes_clearance experiment
0,Clearance in human liver microsomes at 10 times MAGL IC50 incubated for 60 mins by mass spectrometry,10 times MAGL IC50,for 60 mins,none,liver microsomes,none,mass spectrometry,human,none,none,none,False
1,Metabolic stability in human liver microsomes assessed as intrinsic clearance using pH 7.4 phosphate buffer incubated for 45 mins by LC-MS/MS analysis,none,for 45 mins,none,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,assessed per mg of protein,True
2,Clearance in human hepatic microsomes at 1 umol/L incubated for 20 mins in presence of NADPH generating system by HPLC-UV analysis,1 umol/L,for 20 mins,NADPH generating system,hepatic microsomes,none,HPLC-UV,human,none,liver microsomes,none,False
3,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv administered as single dose by LC-MS/MS analysis",1 mg/kg,none,none,plasma,none,LC-MS/MS,Sprague-Dawley rat,iv,none,none,True
4,Intrinsic clearance in human liver microsomes measured up to 40 mins by LC-MS/MS analysis,1 uM,up to 40 mins,NADPH,liver microsomes,none,LC-MS/MS,human,none,liver microsomes,assessed per mg protein,True
0,"Clearance in mouse at 5 mg/kg, iv",5 mg/kg,none,none,none,none,none,mouse,iv,none,none,False
1,Stability in human liver microsomes assessed as intrinsic clearance,none,none,none,liver microsomes,none,none,human,none,liver microsomes,none,True
2,"Clearance in Crl:CD (SD) rat at 1 mg/kg, iv or 3 mg/kg, po measured up to 24 hrs by LC-MS/MS analysis","1 mg/kg, iv or 3 mg/kg, po",up to 24 hrs,none,plasma,none,LC-MS/MS,Crl:CD (SD) rat,iv or po,none,per mg of protein,True
3,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv administered as 30 mins infusion by HPLC-MS/MS analysis",1 mg/kg,30 mins infusion,NADPH,plasma,none,HPLC-MS/MS,Sprague-Dawley rat,iv,none,none,True
4,"Clearance in Sprague-Dawley rat at 2 mg/kg, iv administered as single dose",2 mg/kg,single dose,none,none,none,none,Sprague-Dawley rat,iv,none,none,True
0,Clearance in rat microsomes assessed per mg of protein at 0.5 uM,0.5 uM,none,none,rat microsomes,none,none,rat,none,none,assessed per mg of protein,True
1,"Total plasma clearance in Wistar Han rat at 0.1 mg/kg, iv by LC-MS/MS analysis",0.1 mg/kg,none,none,plasma,none,LC-MS/MS,Wistar Han rat,iv,none,none,True
2,"Unbound clearance in Wistar Han rats at 0.05 mg/kg, iv",0.05 mg/kg,none,unbound,none,none,none,Wistar Han rats,iv,none,none,True
3,"Clearance in mouse at 0.5 mg/kg, iv",0.5 mg/kg,none,none,none,none,none,mouse,iv,none,none,True
4,"Intrinsic clearance in Wistar Han rat at 0.1 mg/kg, iv by LC-MS/MS analysis",0.1 mg/kg,none,none,liver microsomes,none,LC-MS/MS,Wistar Han rat,iv,none,none,True
0,Intrinsic clearance in po dosed CD rat measured after 120 mins by LC-MS/MS analysis,po dosed,after 120 mins,none,none,none,LC-MS/MS,CD rat,po,none,none,True
1,Clearance in CD-1 mouse liver microsomes at 1 uM up to 60 mins by LC-MS/MS analysis,1 uM,up to 60 mins,NADPH,liver microsomes,none,LC-MS/MS,CD-1 mouse,iv,liver microsomes,assessed per mg protein,True
2,Plasma clearance activity against Sprague-Dawley Rat at 0.5 mg/kg after intravenous administration; (Number of rats = 3),0.5 mg/kg,after intravenous administration,none,plasma,none,LC-MS/MS,Sprague-Dawley Rat,iv,none,none,True
3,"Clearance in Sprague-Dawley rat at 1 mg/kg, iv relative to hepatic blood flow",1 mg/kg,relative to hepatic blood flow,none,none,none,none,Sprague-Dawley rat,iv,none,none,True
4,Clearance was measured in mice,none,none,none,none,none,none,mice,none,none,per mg of protein,True
