index,original sentence,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
181,Protein binding in CD-1 mouse plasma,CD-1 Mouse Plasma,,,,,True
182,Plasma protein binding beagle dog plasma at 5 uM incubated for 4 hrs,Beagle Dog Plasma,5 uM,4 hrs,LC-MS/MS,,True
183,Protein binding in 10% fetal bovine serum at 1 uM after 4 hrs in presence of cell culture medium by rapid equilibrium dialysis based LC-MS/MS analysis,Fetal Bovine Serum,1 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
184,Protein binding in dog plasma at 10 uM after 5 hrs by equilibrium dialysis based LC-MS/MS analysis,Dog Plasma,10 uM,5 hrs,LC-MS/MS,Equilibrium Dialysis,True
185,Protein binding in human serum at 37 degC after 1 hr by RP-HPLC analysis,Human Serum,,1 hr,RP-HPLC,,True
186,Protein binding in human plasma at 100 ug/ml incubated for 4 hrs under shaking condition by LC-MS/MS based equilibrium dialysis method,Human Plasma,100 ug/ml,4 hrs,LC-MS/MS,Equilibrium Dialysis,True
187,Plasma protein binding in rat assessed as unbound fraction at 2 uM by rapid equilibrium dialysis analysis,Rat Plasma,2 uM,4 hrs,Rapid Equilibrium Dialysis,,True
188,Protein binding in Swiss Webster mouse plasma at 2 uM after 8 hrs by microdialysis based liquid chromatography/tandem mass spectrometric analysis,Swiss Webster Mouse Plasma,2 uM,8 hrs,Liquid Chromatography/Tandem Mass Spectrometric,,True
189,Protein binding in CSF of Sprague-Dawley rat at 2 uM by equilibrium dialysis,Sprague-Dawley Rat CSF,2 uM,,Equilibrium Dialysis,Equilibrium Dialysis,False
190,Binding affinity to human serum albumin/alpha-1 acidglycoprotein after 6 mins by HPLC method,Human Serum Albumin/Alpha-1 Acidglycoprotein,,6 mins,HPLC,,False
191,Plasma protein binding in rat incubated for 5 hrs by LC-MS analysis,Rat Plasma,,5 hrs,LC-MS,,True
192,Protein binding in mouse plasma at 5 uM incubated for 6 hrs by red equilibrium dialysis based LC-MS/MS analysis,Mouse Plasma,5 uM,6 hrs,LC-MS/MS,Red Equilibrium Dialysis,True
193,Protein binding in plasma (unknown origin) at 5 uM by LC-MS/MS analysis,,5 uM,,LC-MS/MS,,True
194,Protein binding in human serum by equilibrium dialysis,Human Serum,,,Equilibrium Dialysis,Equilibrium Dialysis,True
195,Protein binding in mouse plasma at 5 uM incubated for 6 hrs by LC-MS/MS analysis,Mouse Plasma,5 uM,6 hrs,LC-MS/MS,,True
196,Protein binding in mouse plasma assessed as bound fraction at 10 uM and measured for 5 hrs by by LC-MS/MS based dialysis analysis,Mouse Plasma,10 uM,5 hrs,LC-MS/MS,,True
197,Protein binding in CD-1 mouse brain homogenate at 2 uM after 4 hrs by LC-MS/MS-based equilibrium dialysis method,CD-1 Mouse Brain Homogenate,2 uM,4 hrs,LC-MS/MS,Equilibrium Dialysis,False
198,Plasma protein binding in iv dosed CD-1 mouse measured up to 24 hrs by LC-MS/MS analysis,CD-1 Mouse Plasma,,up to 24 hrs,LC-MS/MS,,True
199,Plasma protein binding in rat by LC-MS/MS analysis,Rat Plasma,,,LC-MS/MS,,True
200,Plasma protein binding in human incubated for 5 hrs by LC-MS analysis,Human Plasma,,5 hrs,LC-MS,,True
