index,original sentence,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
641,Protein binding in Sprague-Dawley rat plasma at 5 uM by LC-MS/MS method based rapid equilibrium dialysis,Sprague-Dawley Rat Plasma,5 uM,,LC-MS/MS,Rapid Equilibrium Dialysis,True
642,"Protein binding in Sprague-Dawley rat plasma at 2.6 mg/kg, iv administered as infusion for 10 mins by LC-MS analysis",Sprague-Dawley Rat Plasma,2.6 mg/kg,after 10 mins,LC-MS,,True
643,Protein binding in plasma (unknown origin) relative to control,Unknown Origin Plasma,,,,,True
644,"Protein binding in Sprague-Dawley rat plasma at 1.6 mg/kg, iv administered as infusion for 10 mins by LC-MS analysis",Sprague-Dawley Rat Plasma,1.6 mg/kg,after 10 mins,LC-MS,,True
645,"Protein binding in Sprague-Dawley rat plasma at 2 mg/kg, iv administered as infusion for 10 mins by LC-MS analysis",Sprague-Dawley Rat Plasma,2 mg/kg,after 10 mins,LC-MS,,True
646,Protein binding in dog plasma measured after 2 to 6 hrs by rapid equilibrium dialysis,Dog Plasma,,2 to 6 hrs,,Rapid Equilibrium Dialysis,True
647,Protein binding human serum at 1 uM after 60 to 120 mins by HPLC-MS/MS analysis,Human Serum,1 uM,60 to 120 mins,HPLC-MS/MS,,True
648,Protein binding in cynomolgus monkey plasma at 5 uM incubated for 6 hrs by red equilibrium dialysis based LC-MS/MS analysis,Cynomolgus Monkey Plasma,5 uM,6 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
649,"Protein binding in male Balb/c mouse at 15 mg/kg, ip",Male Balb/c Mouse,15 mg/kg,,,,True
650,"Protein binding in Swiss mouse plasma at 10 mg/kg, po administered as single dose via gavage measured over 24 hrs by LC-MS analysis",Swiss Mouse Plasma,10 mg/kg,,LC-MS,,True
651,Protein binding in mouse plasma by rapid equilibrium dialysis,Mouse Plasma,,,,Rapid Equilibrium Dialysis,True
652,"Protein binding in CD1 mouse plasma at 1 mg/kg, po administered as bolus dose",CD1 Mouse Plasma,1 mg/kg,,,,False
653,Protein binding in beagle dog plasma at 0.3 ug/ml after 8 hrs by equilibrium dialysis method,Beagle Dog Plasma,0.3 ug/ml,8 hrs,Equilibrium Dialysis,,False
654,"Protein binding in human at 0.32 g, po",Human,0.32 g,,,,False
655,Protein binding in beagle dog plasma,Beagle Dog Plasma,,,,,False
656,Protein binding in mouse plasma assessed as bound fraction at 10 uM after 6 hrs by LC-MS/MS analysis,Mouse Plasma,10 uM,6 hrs,LC-MS/MS,Equilibrium Dialysis,True
657,Plasma protein binding in dog at 5 uM after 5 hrs by LC-MS/MS based equilibrium dialysis method,Dog Plasma,5 uM,5 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,False
658,Protein binding in dog plasma at 5 uM,Dog Plasma,5 uM,,,,True
659,"Plasma protein binding in athymic nude mouse at 0.3 to 30 mg/kg, po",Athymic Nude Mouse,0.3 to 30 mg/kg,,,,False
660,Protein binding in mouse plasma at 1 uM after 6 hrs by equilibrium dialysis,Mouse Plasma,1 uM,6 hrs,Equilibrium Dialysis,Equilibrium Dialysis,False
