index,original sentence,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
261,Protein binding in ICR mouse plasma at 2 uM after 6 hrs by LC-MS/MS analysis,ICR Mouse Plasma,2 uM,6 hrs,LC-MS/MS,,True
262,Protein binding in cynomolgus monkey plasma at 10 uM after 5 hrs by equilibrium dialysis based LC-MS/MS analysis,Cynomolgus Monkey Plasma,10 uM,5 hrs,LC-MS/MS,Equilibrium Dialysis,True
263,Plasma protein binding in dog assessed as bound fraction,Dog Plasma,,,,,True
264,Protein binding in Sprague-Dawley rat plasma at 1 uM after 4 hrs by LC-MS/MS-based rapid equilibrium dialysis method,Sprague-Dawley Rat Plasma,1 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
265,Protein binding in mouse plasma at 5 uM after 4 hrs by LC-MS/MS based equilibrium dialysis method,Mouse Plasma,5 uM,4 hrs,LC-MS/MS,Equilibrium Dialysis,True
266,Protein binding in rat plasma at 20 uM after 5 hrs by LC/MS/MS analysis,Rat Plasma,20 uM,5 hrs,LC/MS/MS,,True
267,Protein binding in human plasma at 20 uM after 5 hrs by LC/MS/MS analysis,Human Plasma,20 uM,5 hrs,LC/MS/MS,,True
268,Plasma protein binding (unknown origin),,,,,,True
269,Plasma protein binding in rat at 1 uM by LC-MS/MS analysis,Rat Plasma,1 uM,,LC-MS/MS,,True
270,"Protein binding in Wistar Han rat at 1 mg/kg, iv measured upto 24 hrs by LC-MS/MS analysis",Wistar Han Rat Plasma,1 mg/kg,up to 24 hrs,LC-MS/MS,,True
271,Protein binding in rat plasma by LC-MS analysis based ultracentrifugation assay,Rat Plasma,,,LC-MS,Ultracentrifugation,True
272,Protein binding in CD-1 mouse plasma assessed as bound fraction by rapid equilibrium dialysis method,CD-1 Mouse Plasma,,,Rapid Equilibrium Dialysis,Rapid Equilibrium Dialysis,True
273,Plasma protein binding in rat at 1 uM incubated for 5 hrs by LC-MS analysis,Rat Plasma,1 uM,5 hrs,LC-MS,,True
274,Protein binding in cynomolgus monkey plasma at 1 mg/kg administered as iv infusion for 30 mins and measured after 24 hrs by ESI-LC/MS/MS analysis,Cynomolgus Monkey Plasma,1 mg/kg,after 24 hrs,ESI-LC/MS/MS,,True
275,Plasma protein binding in cynomolgus monkey,Cynomolgus Monkey Plasma,,,,,True
276,Protein binding in rabbit plasma after 20 mins by ultra-filtration method,Rabbit Plasma,,20 mins,Ultra-filtration,,True
277,Protein binding in dog plasma at 10 uM after 4 hrs by LC-MS/MS analysis,Dog Plasma,10 uM,4 hrs,LC-MS/MS,,True
278,Protein binding in mouse plasma at 2 uM incubated for 4 hrs by LC-MS/MS analysis,Mouse Plasma,2 uM,4 hrs,LC-MS/MS,,True
279,"Protein binding in BALB/c mouse plasma at 1 mg/kg, iv or 5 mg/kg, po measured after 6 hrs post-dose by ESI-LCMS/MS and UPLC analysis",BALB/c Mouse Plasma,,after 6 hrs,UPLC,,True
280,Protein binding in human plasma at 10 uM after 4 hrs by LC-MS/MS analysis,Human Plasma,10 uM,4 hrs,LC-MS/MS,Equilibrium Dialysis,True
