index,original sentence,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
601,Protein binding in human plasma at 0.2 to 20 uM,Human Plasma,0.2 to 20 uM,,LC/MS/MS,,True
602,Protein binding in dog plasma at 1 ug/ml after 4 hrs by rapid equilibrium dialysis and LC-MS/MS analysis,Dog Plasma,1 ug/ml,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
603,Protein binding in monkey plasma at 5 uM incubated for 4 hrs by LC-MS/MS analysis,Monkey Plasma,5 uM,4 hrs,LC-MS/MS,,True
604,Protein binding in plasma (unknown origin) at 20 ug/ml by Toribara dialysis,Unknown,20 ug/ml,,Toribara Dialysis,Toribara Dialysis,True
605,Protein binding in rat plasma at 1 uM after 6 hrs by equilibrium dialysis,Rat Plasma,1 uM,6 hrs,Equilibrium Dialysis,Equilibrium Dialysis,True
606,Protein binding in monkey plasma at 5 uM measured after 5 hrs by LC-MS based equilibrium dialysis,Monkey Plasma,5 uM,5 hrs,LC-MS,Equilibrium Dialysis,True
607,Protein binding in serum (unknown origin),Unknown,,,,,True
608,Binding affinity to rat hemoglobin assessed as protein bound compound level at 1 uM,Rat Hemoglobin,1 uM,,,,False
609,Binding affinity to human hemoglobin assessed as protein bound compound level at 20 uM,Human Hemoglobin,20 uM,,,,False
610,Protein binding in Sprague-Dawley rat plasma at 0.3 ug/ml after 8 hrs by equilibrium dialysis method,Sprague-Dawley Rat Plasma,0.3 ug/ml,8 hrs,Equilibrium Dialysis,Equilibrium Dialysis,True
611,"Protein binding in Sprague-Dawley rat plasma at 1.9 mg/kg, iv administered as infusion for 10 mins by LC-MS analysis",Sprague-Dawley Rat Plasma,1.9 mg/kg,after 10 mins,LC-MS,,False
612,Protein binding in plasma by equilibrium dialysis assay,Unknown,,,Equilibrium Dialysis,Equilibrium Dialysis,True
613,Protein binding in human plasma by LC-MS/MS-based equilibrium dialysis method,Human Plasma,,,LC-MS/MS,Equilibrium Dialysis,True
614,Protein binding in human liver at 1 uM,Human Liver,1 uM,,LC-MS/MS,,False
615,"Protein binding in Sprague-Dawley rat plasma at 1.1 mg/kg, iv administered as infusion for 10 mins by LC-MS analysis",Sprague-Dawley Rat Plasma,1.1 mg/kg,after 10 mins,LC-MS,,False
616,Protein binding in DBA1/J mouse plasma,DBA1/J Mouse Plasma,,,,,True
617,Protein binding in cynomolgus monkey serum at 10 uM after 1 hr by LC-MS/MS analysis,Cynomolgus Monkey Serum,10 uM,1 hr,LC-MS/MS,,True
618,Protein binding in rat brain at 2 uM after 6 hrs by LC-MS analysis,Rat Brain,2 uM,6 hrs,LC-MS,,False
619,Protein binding in 10% FBS in Trypanosoma brucei culture medium at 10 uM after 6 hrs by equilibrium dialysis and LC-MS analysis,FBS in Culture Medium,10 uM,6 hrs,LC-MS,Equilibrium Dialysis,True
620,Plasma protein binding in human at 10 uM after 5 hrs by LC-MS/MS analysis,Human Plasma,10 uM,5 hrs,LC-MS/MS,Equilibrium Dialysis,True
