index,original sentence,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
141,Protein binding in human plasma at 10 uM incubated for 60 mins by LC-ESI-MS/MS analysis,Human Plasma,10 uM,60 mins,LC-ESI-MS/MS,,True
142,Plasma protein binding in mouse assessed as bound fraction,Mouse Plasma,,,,,True
143,Protein binding in rat plasma at 1 uM measured after 4 hrs by LC-MS/MS analysis,Rat Plasma,1 uM,4 hrs,LC-MS/MS,,True
144,Protein binding in CD1 mouse plasma at 10 uM incubated for 6 hrs by LC-MS/MS analysis and equilibrium dialysis,CD1 Mouse Plasma,10 uM,6 hrs,LC-MS/MS,Equilibrium Dialysis,True
145,Protein binding in rat serum,Rat Serum,,,,,True
146,Protein binding in mouse plasma assessed as bound fraction by LC-MS analysis based ultracentrifugation assay,Mouse Plasma,,,LC-MS,Ultracentrifugation,True
147,DNDI: Protein binding in rat plasma,Rat Plasma,,,,,True
148,Protein binding in human plasma at 10 uM incubated for 1 hr by LC-MS/MS analysis,Human Plasma,10 uM,1 hr,LC-MS/MS,,True
149,Protein binding in rat plasma at 5 uM measured after 5 hrs by LC-MS based equilibrium dialysis,Rat Plasma,5 uM,5 hrs,LC-MS,Equilibrium Dialysis,True
150,Protein binding in mouse plasma at 1 ug/ml incubated for 4 hrs by LC-MS analysis,Mouse Plasma,1 ug/ml,4 hrs,LC-MS,,True
151,Plasma protein binding in human by ultracentrifugation,Human Plasma,,,Ultracentrifugation,Ultracentrifugation,True
152,Plasma protein binding in mouse at 5 uM measured after 16 hrs by LC-MS/MS based rapid equilibrium dialysis analysis,Mouse Plasma,5 uM,16 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
153,Protein binding in mouse serum,Mouse Serum,,,,,True
154,Protein binding in C57BL/6 mouse plasma,C57BL/6 Mouse Plasma,,,,,True
155,Protein binding in plasma (unknown origin) at 5 uM measured after 6 hrs by LC-MS based equilibrium dialysis analysis,,5 uM,6 hrs,LC-MS,Equilibrium Dialysis,True
156,Protein binding in mouse plasma at 5 uM after 4 hrs by equilibrium dialysis assay,Mouse Plasma,5 uM,4 hrs,Equilibrium Dialysis,Equilibrium Dialysis,True
157,Protein binding in human plasma after 5 hrs by equilibrium dialysis method,Human Plasma,,5 hrs,Equilibrium Dialysis,Equilibrium Dialysis,True
158,Protein binding in mouse plasma at 5 uM incubated for 4 hrs by LC-MS/MS analysis,Mouse Plasma,5 uM,4 hrs,LC-MS/MS,,True
159,Protein binding in plasma (unknown origin) at 5 uM after 4 hrs,,5 uM,4 hrs,,,True
160,Protein binding in human plasma at 10 uM measured after 4 hrs by rapid equilibrium dialysis,Human Plasma,10 uM,4 hrs,Rapid Equilibrium Dialysis,Rapid Equilibrium Dialysis,True
