index,original sentence,Species/Origin of Plasma or Serum,Concentration of Tested Compound,Duration of Incubation,Analytical Detection Method,Equilibrium Dialysis for Protein Binding Assessment,Plasma_Protein_Binding
241,Protein binding in human liver microsomes by LC-MS analysis based ultracentrifugation assay,Human Liver Microsomes,,,LC-MS,,False
242,Plasma protein binding in mouse incubated for 5 hrs by LC-MS analysis,Mouse Plasma,,5 hrs,LC-MS,,True
243,Plasma protein binding in mouse relative to control,Mouse Plasma,,,,,True
244,Plasma protein binding in cynomolgus monkey relative to control,Cynomolgus Monkey Plasma,,,,,True
245,Protein binding in rhesus monkey plasma,Rhesus Monkey Plasma,,,,,True
246,Plasma protein binding in mouse by LC-MS/MS analysis,Mouse Plasma,,,LC-MS/MS,,True
247,Protein binding in human plasma at 5 uM after 4 hrs by LC-MS/MS based equilibrium dialysis method,Human Plasma,5 uM,4 hrs,LC-MS/MS,Equilibrium Dialysis,True
248,Plasma protein binding in human plasma at 10 uM incubated for 6 hrs by LC-MS/MS based equilibrium dialysis method,Human Plasma,10 uM,6 hrs,LC-MS/MS,Equilibrium Dialysis,True
249,Protein binding in mouse plasma at 10 uM after 6 hrs by UPLC-MS/MS based equilibrium dialysis method,Mouse Plasma,10 uM,6 hrs,UPLC-MS/MS,Equilibrium Dialysis,True
250,DNDI: Protein binding in human liver microsomes,Human Liver Microsomes,,,,,False
251,DNDI: Protein binding 10% serum RPMI,Serum RPMI,,,,,False
252,Protein binding in human plasma at 2 uM after 6 hrs by LC-MS/MS analysis,Human Plasma,2 uM,6 hrs,LC-MS/MS,,True
253,Protein binding in rat plasma at 10 uM after 6 hrs by UPLC-MS/MS based equilibrium dialysis method,Rat Plasma,10 uM,6 hrs,UPLC-MS/MS,Equilibrium Dialysis,True
254,Protein binding in human plasma at 5 uM incubated for 16 hrs under shaking condition by LC/MS/MS based rapid equilibrium dialysis method,Human Plasma,5 uM,16 hrs,LC/MS/MS,Rapid Equilibrium Dialysis,True
255,Protein binding in CD-1 mouse plasma at 1 uM incubated for 6 hrs by LCMS analysis,CD-1 Mouse Plasma,1 uM,6 hrs,LCMS,,True
256,Protein binding in Sprague-Dawley rat plasma at 1 mg/kg administered as iv infusion for 30 mins and measured after 24 hrs by ESI-LC/MS/MS analysis,Sprague-Dawley Rat Plasma,1 mg/kg,measured after 24 hrs,ESI-LC/MS/MS,,True
257,Plasma protein binding in monkey at 10 uM,Monkey Plasma,10 uM,,,,True
258,Plasma protein binding in dog at 1 uM by LC-MS/MS analysis,Dog Plasma,1 uM,,LC-MS/MS,,True
259,Protein binding in human plasma at 1 uM after 4 hrs by LC-MS/MS-based rapid equilibrium dialysis method,Human Plasma,1 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
260,Protein binding in ICR/CD1 mouse plasma at 1 uM after 4 hrs by LC-MS/MS-based rapid equilibrium dialysis method,ICR/CD1 Mouse Plasma,1 uM,4 hrs,LC-MS/MS,Rapid Equilibrium Dialysis,True
