index,original sentence,pH,Analytical Method,Solvent System,Equilibration Technique,Incubation Time,Shaking Condition,LogD experiment
1,"Lipophilicity, log D of the compound at pH 7.4",7.4,,,,,,True
2,"Lipophilicity, log D of the compound",,,,,,,True
3,Partition coefficient (logD7.4),7.4,,,,,,True
4,"Lipophilicity, log D at pH 7.4",7.4,,,,,,True
5,"Distribution coefficient, log D of the compound",,,,,,,True
6,SUPPLEMENTARY: Lipophilicity (log D) Determination by high-throughput shake-flask,,high-throughput shake-flask,,,,,True
7,"Lipophilicity, log D of the compound at pH 7.4 by HPLC analysis",7.4,HPLC,,,,,True
8,"Lipophilicity, log D of the compound at pH 7.4 by chromatographic method",7.4,chromatography,,,,,True
9,Partition coefficient (logD6.5),6.5,,,,,,True
10,"Lipophilicity, log D of compound at pH 7.4",7.4,,,,,,True
11,"Lipophilicity, logD of the compound at pH 7.4",7.4,,,,,,True
12,"Distribution coefficient, log D of the compound at pH 7.4",7.4,,,,,,True
13,"Lipophilicity, log D of the compound at pH 7.4 by shake flask method",7.4,shake flask,,,,,True
14,"Lipophilicity, logD of compound at pH 7.4",7.4,,,,,,True
15,"Lipophilicity, logD of compound",,,,,,,True
16,"Partition coefficient, log D at pH 7.4",7.4,,,,,,True
17,"Partition coefficient, log D of the compound at pH 7.4 by HPLC analysis",7.4,HPLC,,,,,True
18,"Distribution coefficient, log D at pH 7.4",7.4,,,,,,True
19,"Distribution coefficient, logD of compound at pH 7.4",7.4,,,,,,True
20,Partition coefficient (logD),,,,,,,True
