index,original sentence,pH,Analytical Method,Solvent System,Equilibration Technique,Incubation Time,Shaking Condition,LogD experiment
1,"Lipophilicity, log D of the compound by shake-flask method",,shake-flask,,,,shake flask,True
2,"Lipophilicity, log D by CHI method",,CHI,,,,,True
3,Partition coefficient (logD) (chloroform-buffer),,,chloroform-buffer,,,,True
4,"1-Octanol-phosphate buffered saline distribution coefficient, log D of the compound at pH 7.4 after 30 mins by shake flask method",7.4,shake flask,1-octanol-phosphate buffered saline,,30 mins,shake flask,True
5,"Octanol-sodium phosphate buffer partition coefficient, log D of the compound at 10 mM at pH 7.4 by shake-flask method",7.4,shake flask,octanol-sodium phosphate buffer,,,shake flask,True
6,"1-octanol/PBS distribution co-efficient, log D of the compound at pH 7.4 by LC-MS/MS method",7.4,LC-MS/MS,1-octanol/PBS,,,,True
7,"Octanol-water partition coefficient, log D of the compound by RP-HPLC analysis at pH 7.4",7.4,RP-HPLC,octanol-water,,,,True
8,"1-octanol/aqueous buffer partition coefficient, log D of the compound at pH 7.4 by UV-vis/HPLC method",7.4,UV-vis/HPLC,1-octanol/aqueous buffer,,,,True
9,"Lipophilicity, log D of the compound at pH 7.4 by HPLC-MS analysis",7.4,HPLC-MS,,,,,True
10,Distribution coefficient between octanol and phosphate buffer at pH6.0,6.0,,octanol and phosphate buffer,,,,True
11,"Octanol/buffer partition coefficient, log D of the compound at pH 7.4 by shake-flask method",7.4,shake flask,octanol/buffer,,,shake flask,True
12,Chromatographic hydrophobicity index at pH 7.4 by fast gradient HPLC,7.4,fast gradient HPLC,,,,,True
13,"Distribution coefficient, log D at pH 7.8",7.8,,,,,,True
14,"1-octanol/D2O distribution coefficient, log D of the compound at pH 7.4 by 1H NMR spectroscopic analysis",7.4,1H NMR spectroscopy,1-octanol/D2O,,,,True
15,"Lipophilicity, log D of the compound at pH 7.4 by LC-MS based shake flask method",7.4,LC-MS,,,,shake flask,True
16,"n-octanol-KCl distribution coefficient, log D of the compound at pH 7.4",7.4,,n-octanol-KCl,,,,True
17,"1-octanol/buffer distribution co-efficient, log D of compound at pH 7.4 at 298 K after 24 hrs by shake flask method",7.4,shake flask,1-octanol/buffer,,24 hrs,shake flask,True
18,"Lipophilicity, logD of the compound in 1-octanol and phosphate buffer at pH 7.4 at 25 uM incubated for 2 hrs under shaking condition by LC-MS/MS analysis",7.4,LC-MS/MS,1-octanol and phosphate buffer,,2 hrs,shaking,True
19,"Partition coefficient, logD of the compound at pH 7.4 by HPLC analysis",7.4,HPLC,,,,,True
20,Partition coefficient between 1-octanol and water containing phosphate buffer at pH 7.4,7.4,,1-octanol and water containing phosphate buffer,,,,True
