index,original sentence,pH,Analytical Method,Solvent System,Equilibration Technique,Incubation Time,Shaking Condition,LogD experiment
1,"Lipophilicity, log D of compound at pH 7.4 by chromatographic method",7.4,chromatography,,,,,True
2,"Lipophilicity, log D of the compound by chromatographic analysis",,chromatography,,,,,True
3,"Octanol-buffer partition coefficient, log D of the compound at pH 7.4 after 30 mins by shake-flask method",7.4,shake flask,octanol-buffer,,30 mins,,True
4,"Lipophilicity, log D of the compound by HPLC method",,HPLC,,,,,True
5,"Lipophilicity, logD of the compound at pH 7.3 by HPLC analysis",7.3,HPLC,,,,,True
6,"Lipophilicity, log D of the compound at pH 7.4 by HPLC method",7.4,HPLC,,,,,True
7,"Distribution coefficient, logD of the compound at pH 7.4 by chromatography",7.4,chromatography,,,,,True
8,"Lipophilicity, log D of the compound by RP-HPLC analysis",,RP-HPLC,,,,,True
9,Partition coefficient (logD7.0),7.0,,,,,,True
10,"Lipophilicity, log D of the compound at pH 7.4 by shake-flask method",7.4,shake flask,,,,,True
11,"Lipophilicity, logD of compound at pH 7.4 by HPLC-MS analysis",7.4,HPLC-MS,,,,,True
12,"Chromatographic hydrophobicity index, log D of the compound at pH 7.4 by reverse-phase HPLC analysis",7.4,reverse-phase HPLC,,,,,True
13,"Lipophilicity, log D of compound by chromatographic method",,chromatography,,,,,True
14,"Distribution coefficient, log D of compound at pH 7.4",7.4,,,,,,True
15,"Distribution coefficient, log D of the compound at pH 7.4 by chromatographic method",7.4,chromatography,,,,,True
16,"Lipophilicity, log D of the compound at pH 7.4 by UPLC analysis",7.4,UPLC,,,,,True
17,"Chromatographic hydrophobicity index, log D of the compound at pH 7.4 by HPLC method",7.4,HPLC,,,,,True
18,"Partition coefficient, log D by HPLC",,HPLC,,,,,True
19,Partition coefficient (logD2.0),2.0,,,,,,True
20,"Octanol-phosphate buffer distribution coefficient, log D of the compound at pH 7.4 by shake flask method",7.4,shake flask,octanol-phosphate buffer,,,,True
