index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Activity at GR expressed in CHO cells assessed as decrease in dexamethasone-stimulated alkaline phosphatase production by GRAF assay,,,,,CHO cells,False
2,Mutagenicity in Salmonella typhimurium TA97 at 5 to 500 ug/plate in presence of s9 mix by Ames test,5 to 500 ug/plate,,,presence of s9 mix,Salmonella typhimurium TA97,True
3,Inhibition of microfilament assembly,,,,,,False
4,Genotoxicity in CHO cells assessed as chromosomal aberrations at 50 ppm after 60 mins in dark followed by 5 W/m'2 UV irradiation for 30 mins,50 ppm,,after 60 mins in dark followed by UV irradiation for 30 mins,,CHO cells,False
5,"Antifungal activity against Cunninghamella bertholletiae UTHSC 03-2241 infected in neutropenic OF1 mouse assessed as decreased fungal load in lung at 0.8 mg/kg, iv qd administered 1 day post infection measured after 4 to 5 days relative to untreated control","0.8 mg/kg, iv qd",,administered 1 day post infection measured after 4 to 5 days,,Cunninghamella bertholletiae UTHSC 03-2241 infected in neutropenic OF1 mouse,False
6,Mutagenicity in Salmonella typhimurium TA100 by Ames test,,,,,Salmonella typhimurium TA100,True
7,"Antifungal activity against Cunninghamella bertholletiae UTHSC 05-2275 infected in neutropenic OF1 mouse assessed as increase in mouse survival rate at 80 mg/kg, po qd administered 1 day after infection for 7 days relative to untreated control","80 mg/kg, po qd",,administered 1 day after infection for 7 days,,Cunninghamella bertholletiae UTHSC 05-2275 infected in neutropenic OF1 mouse,False
8,Genotoxicity in Salmonella typhimurium WP2 uvrA (pKM 101) by Ames test,,,,,Salmonella typhimurium WP2 uvrA (pKM 101),True
9,Induction of membrane damage in DOPC/DOPG large unilamellar vesicles model at <10 uM after 1 hr by leakage fluorescence assay,<10 uM,,after 1 hr,,DOPC/DOPG large unilamellar vesicles model,False
10,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 100000 ng/plate after 48 hrs by Ames assay,100000 ng/plate,,after 48 hrs,,Salmonella Typhimurium TA98,True
11,"Antifungal activity against Cunninghamella bertholletiae UTHSC 03-2241 infected in neutropenic OF1 mouse assessed as decreased fungal load in brain at 0.8 mg/kg, iv qd administered 1 day post infection measured after 4 to 5 days relative to untreated control","0.8 mg/kg, iv qd",,administered 1 day post infection measured after 4 to 5 days,,Cunninghamella bertholletiae UTHSC 03-2241 infected in neutropenic OF1 mouse,False
12,Mutagenicity in Salmonella typhimurium TA98 in absence of rat liver S9 fraction at 0.3 to 60 uM by AMES test,0.3 to 60 uM,,,absence of rat liver S9 fraction,Salmonella typhimurium TA98,True
13,Binding affinity to POPC large unilamellar vesicle at 200 uM by circular dichroism analysis,200 uM,,,,POPC large unilamellar vesicle,False
14,"Antiarthritic activity in type 2 collagen-induced Lewis rat arthritis model assessed as reduction in ankle diameter at 10 to 60 mg/kg, po administered every 12 hrs for 16 days measured on day 9 of compound dosing to day 17 of post last dose relative to vehicle-treated control","10 to 60 mg/kg, po",,every 12 hrs for 16 days measured from day 9 to day 17 post last dose,,type 2 collagen-induced Lewis rat arthritis model,False
15,Genotoxicity in Salmonella typhimurium TA100 in absence of S9 fraction by Mini-Ames test,,,,,Salmonella typhimurium TA100,True
16,Antibacterial activity against Salmonella Typhimurium TA98 at 3000 ug/plate by Ames microbial mutagenesis assay,3000 ug/plate,,,,Salmonella Typhimurium TA98,True
17,Activation of glulcocorticoid receptor (unknown origin) expressed in human U2OS cells at 1 uM in presence of 0.1 uM dexamethasone incubated for 24 hrs by luciferase reporter gene assay,1 uM in presence of 0.1 uM dexamethasone,,incubated for 24 hrs,,human U2OS cells,False
18,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertant colonies at 156 ng/plate after 48 hrs by Ames assay,156 ng/plate,,after 48 hrs,,Salmonella Typhimurium TA98,True
19,Binding affinity to bacterial inner membrane mimic DOPE/DOPG (3:1) large unilamellar vesicles assessed as calcein leakage measured after 30 mins fluorescence based assay,,,measured after 30 mins,presence of Ca2+ ions,bacterial inner membrane mimic DOPE/DOPG (3:1) large unilamellar vesicles,False
20,Antiviral activity against HCV genotype 3a infected in homozygous cDNA-uPA chimeric SCID mouse bearing humanized hepatocytes assessed as reduction in HCV RNA level in serum administered through oral gavage once daily for 7 days by RT-PCR method,,,administered once daily for 7 days,,HCV genotype 3a infected in homozygous cDNA-uPA chimeric SCID mouse bearing humanized hepatocytes,False
