index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Genotoxicity in Salmonella typhimurium TA98 at 5000 ug/plate by Ames test in presence of S9 fraction,5000 ug/plate,,,presence of S9 fraction,Salmonella typhimurium TA98,True
2,Mutagenicity in Salmonella typhimurium TA98 at 0.5 to 500 ug/plate in absence of S9 fraction after 72 hrs by Ames test,0.5 to 500 ug/plate,,after 72 hrs,absence of S9 fraction,Salmonella typhimurium TA98,True
3,Mutagenicity in Salmonella typhimurium TA98 at 0.5 to 500 ug/plate after 72 hrs in presence of S9 fraction by Ames test,0.5 to 500 ug/plate,,after 72 hrs,presence of S9 fraction,Salmonella typhimurium TA98,True
4,Mutagenicity in Salmonella typhimurium TA1537 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,Salmonella typhimurium TA1537,True
5,Mutagenicity in Salmonella typhimurium TA1535 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,Salmonella typhimurium TA1535,True
6,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA1535NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,absence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA1535NR,True
7,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA100NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,absence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA100NR,True
8,Genotoxicity in Salmonella typhimurium TA1537 at 1.5 to 50000 ug/plate in presence of rat liver S9 fraction by Ames test,1.5 to 50000 ug/plate,,,presence of rat liver S9 fraction,Salmonella typhimurium TA1537,True
9,Potentiation of fluconazole-induced antifungal activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in fungal hyphae growth in Spider medium at 100 uM incubated for 1 hr in presence of fluconazole by microscopic analysis,100 uM,,incubated for 1 hr,presence of fluconazole,Candida albicans SC5314,False
10,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA98NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,absence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA98NR,True
11,Mutagenicity in Salmonella typhimurium in presence of S9 fraction by Ames test,,,,presence of S9 fraction,Salmonella typhimurium,True
12,Mutagenicity in Salmonella typhimurium TA98 up to 100 uM in presence of rat liver S9 fraction by Ames 2 assay,up to 100 uM,,,presence of rat liver S9 fraction,Salmonella typhimurium TA98,True
13,Binding affinity to phosphatidylcholine/cholesterol large unilamellar vesicle assessed as induction of calcein leakage at 2 to 32 uM after 15 mins by spectrofluorophotometric method,2 to 32 uM,,after 15 mins,,phosphatidylcholine/cholesterol large unilamellar vesicle,False
14,Antibiofilm activity against Actinomyces naeslundii ATCC 49340 assessed as prevention of homogenous biofilm formation up to 96 ug/mL after 24 hrs by crystal violet staining based assay,up to 96 ug/mL,,after 24 hrs,,Actinomyces naeslundii ATCC 49340,False
15,Antifungal activity against azole-resistant Candida albicans 030410 assessed as inhibition of fungal filamentation by measuring reduction in yeast-hypha transition at 32 ug/ml by microscopic analysis,32 ug/ml,,incubated for 1 hr,,azole-resistant Candida albicans 030410,False
16,Mutagenicity in Salmonella typhimurium TA100 at 0.5 to 500 ug/plate in absence of S9 fraction after 72 hrs by Ames test,0.5 to 500 ug/plate,,after 72 hrs,absence of S9 fraction,Salmonella typhimurium TA100,True
17,Mutagenicity in Salmonella typhimurium TA102 at 0.5 to 500 ug/plate after 72 hrs in presence of S9 fraction by Ames test,0.5 to 500 ug/plate,,after 72 hrs,presence of S9 fraction,Salmonella typhimurium TA102,True
18,Genotoxicity in human TK6 cells in presence of rat liver S9 fraction by micronucleus test,,,,presence of rat liver S9 fraction,human TK6 cells,False
19,"Toxicity in Sprague-Dawley rat model of complete freund's adjuvant-induced arthritis assessed as effect on behavioral parameters at 30 mg/kg, po measured for 24 hrs by Irwin test",30 mg/kg,,measured for 24 hrs,,Sprague-Dawley rat,False
20,Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous 5-dehydro episterol level at 10 uM after 96 hrs by gas-liquid chromatography,10 uM,,after 96 hrs,,Leishmania mexicana amazonensis promastigotes,False
