index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in Salmonella typhimurium TA100 at 5 to 230 uM measured after 90 mins in presence of rat liver S9 fraction by Ames test,5 to 230 uM,,after 90 mins,presence of rat liver S9 fraction,Salmonella typhimurium TA100,True
2,Genotoxicity in human HepG2/C3A cells assessed as genomic DNA fragmentation at 1 to 3 uM after 24 hrs by comet assay,1 to 3 uM,,after 24 hrs,,human HepG2/C3A cells,False
3,Induction of pore formation in zwitterionic DOPC/cholesterol large unilamellar vesicles assessed as calcein release at 0.39 to 50 uM measured for 60 mins by fluorescence based assay,0.39 to 50 uM,,measured for 60 mins,,zwitterionic DOPC/cholesterol large unilamellar vesicles,False
4,Genotoxicity in Escherichia coli WP2 uvrA at 5000 lg/plate in absence of liver S9 fraction by Ames test,5000 lg/plate,,,absence of liver S9 fraction,Escherichia coli WP2 uvrA,True
5,Antimicrofilament activity in human HCT116 cells assessed as additional loss of microfilament at 1 uM by rhodamine-phalloidin staining,1 uM,,,,human HCT116 cells,False
6,Genotoxicity in human PBL assessed as induction of micronuclei formation,,,,,human PBL,False
7,Inhibition of IDO1 in human HeLa cells assessed as reduction in endogenous IDO1 level at 1 uM incubated for 24 hrs by Western blot analysis,1 uM,,for 24 hrs,,human HeLa cells,True
8,Mutagenicity in Salmonella typhimurium TA97 measured after 20 mins in absence of S9 fraction by microsome assay,,,after 20 mins,absence of S9 fraction,Salmonella typhimurium TA97,False
9,Dopaminergic activity in Sprague-Dawley rat assessed as hyperactivity behavior administered into nucleus caudate-putamen measured up to 25 ug from 30 to 45 mins to persisted up to 5 to 6 hrs,up to 25 ug,,from 30 to 45 mins up to 5 to 6 hrs,,Sprague-Dawley rat,False
10,Antiviral activity against HCV infected in human Huh7.5 cells carrying HCV subgenomic replicons assessed as inhibition of viral replication at 1.4 uM,1.4 uM,,,,human Huh7.5 cells,False
11,Mutagenicity in Salmonella typhimurium TA102 measured after 20 mins in presence of S9 fraction by microsome assay,,,after 20 mins,presence of S9 fraction,Salmonella typhimurium TA102,False
12,"Antinociceptive activity in carrageenan-induced inflammatory pain Sprague-Dawley rat model assessed as increase in mechanical withdrawal threshold at 50 mg/kg, ip by von-frey filament assay",50 mg/kg,,,,carrageenan-induced inflammatory pain Sprague-Dawley rat model,False
13,Mutagenicity in Salmonella typhimurium TA98 at 30 to 5000 ug incubated for 48 hrs in presence of liver S9 fraction by AMES test,30 to 5000 ug,,,presence of liver S9 fraction,Salmonella typhimurium TA98,True
14,Genotoxicity in human bronchial epithelial cells assessed as increase of micronucleated cells at 50 ug/mL after 24 hrs by acridine orange staining-based fluorescence microscopic analysis,50 ug/mL,,after 24 hrs,,human bronchial epithelial cells,False
15,"Vasorelaxant activity in C57 mouse thoracic aortic rings containing endothelium assessed as reduction in phenylephrine-induced contractions at 3 to 300 uM pretreated with nitric oxide synthase inhibitor, L-NAME and measured for 16 mins by myograph method",3 to 300 uM,,measured for 16 mins,,C57 mouse thoracic aortic rings,False
16,Binding affinity to FKBP51 (unknown origin) assessed as increase in [3H]-dexamethasone binding to glucocorticoid receptor,,,,,FKBP51,False
17,Antibacterial activity against Bacillus subtilis assessed as diameter of inhibition zone after 24 hrs by disk diffusion method,,,after 24 hrs,,Bacillus subtilis,False
18,Enhancement of norepinephrine-induced lipolysis in cell-free system consisting endogenous lipid droplets from Wistar rat fat cells assessed as free fatty acid release per mL of packed fat cells after 1 hr in presence of hormone-sensitive lipase,,,after 1 hr,,Pleuronectes americanus NHE1 TM4 mutant,False
19,Effect on growth parameter in disease-susceptible Cenchrus americanus cultivar 7042S assessed as increase in productive tillers at 20 mM applied to seeds prior to sowing measured after 60 days relative to control,20 mM,,after 60 days,,Cenchrus americanus cultivar 7042S,False
20,Antifungal activity against Cunninghamella ICBG752 at 100 ug measured after 21 days by ISP-2 agar based assay,100 ug,,after 21 days,,Cunninghamella ICBG752,False
