index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Genotoxicity in human K562 cells assessed as increase in DNA damage at cytotoxic IC50 incubated for 72 hrs by comet assay,cytotoxic IC50,,incubated for 72 hrs,absence of S9 fraction,human K562 cells,True
2,Induction of membrane morphological changes in methicillin-resistant Staphylococcus aureus ATCC 4330 assessed as visible cell filaments at 4X MIC after 2 hrs by scanning electron microscopy,4X MIC,,after 2 hrs,absence of S9 fraction,methicillin-resistant Staphylococcus aureus ATCC 4330,True
3,Mutagenicity in Salmonella typhimurium T98 in presence of S9 fraction by ames test,,,,,Salmonella typhimurium T98,True
4,"Toxicity in Sprague-Dawley rat model of complete freund's adjuvant-induced arthritis assessed as effect on neurological parameters at 30 mg/kg, po measured for 24 hrs by Irwin test",30 mg/kg,,measured for 24 hrs,presence of S9 fraction,Sprague-Dawley rat,True
5,Mutagenicity in Salmonella typhimurium TA1535 at 30 to 5000 ug in presence of S9 metabolic activation system for 48 hrs by ames test,30 to 5000 ug,,for 48 hrs,presence of liver S9 fraction,Salmonella typhimurium TA1535,True
6,Potentiation of fluconazole-induced antifungal activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in fungal hyphae growth in YEPD containing 10% serum medium at 100 uM incubated for 1 hr in presence of fluconazole by microscopic analysis,100 uM,,incubated for 1 hr,absence of liver S9 fraction,Candida albicans SC5314,False
7,Antifungal activity against Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112 assessed as diameter of inhibition zone up to 100 ug/disk after 48 to 72 hrs by paper disk assay,up to 100 ug/disk,,after 48 to 72 hrs,presence of rat liver S9 fraction,Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112,False
8,Genotoxicity in Escherichia coli PQ35 at 500 uM after overnight incubation by SOS chromotest,500 uM,,after overnight incubation,absence of rat liver S9 fraction,Escherichia coli PQ35,False
9,Antiviral activity against HCV 1b infected in Huh-5-2 cells assessed as inhibition of subgenomic replication,,,,presence of rat liver S9 fraction,,False
10,Mutagenicity in Salmonella typhimurium TA98 at 500 uM by Ames test,500 uM,,,presence of S9 fraction,Salmonella typhimurium TA98,True
11,"Antiosteoporotic activity in glucocorticoid-induced Wistar rat osteoporosis model assessed as increase in trabecula connectivity at 30 mg/kg/day, po administered six times a week for 3 months by toluidine blue staining-based light microscopic analysis relative to dexamethasone",30 mg/kg/day,,administered six times a week for 3 months,presence of rat liver S9 fraction,glucocorticoid-induced Wistar rat osteoporosis model,True
12,Genotoxicity in mouse lymphoma cell,,,,presence of rat liver S9 fraction,,False
13,"Antiosteoporotic activity in glucocorticoid-induced Wistar rat osteoporosis model assessed as increase in trabecula area at 30 mg/kg/day, po administered six times a week for 3 months by toluidine blue staining-based light microscopic analysis relative to dexamethasone",30 mg/kg/day,,administered six times a week for 3 months,presence of liver S9 fraction,glucocorticoid-induced Wistar rat osteoporosis model,True
14,Mutagenicity in Salmonella typhimurium TA1536 by Ames test,,,,presence of rat liver S9 fraction,Salmonella typhimurium TA1536,True
15,Mutagenicity in Salmonella typhimurium TA1537 by Ames test in presence of S9 fraction,,,,,Salmonella typhimurium TA1537,True
16,Mutagenicity in Salmonella typhimurium TA1535 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,incubated at 37 degC for 3 days,,Salmonella typhimurium TA1535,False
17,Mutagenicity in Salmonella typhimurium TA100 in presence of S9 fraction by mini-Ames test,,,,,Salmonella typhimurium TA100,True
18,Mutagenicity in Salmonella typhimurium TA102 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,incubated at 37 degC for 3 days,,Salmonella typhimurium TA102,False
19,Mutagenicity in Salmonella typhimurium TA102 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,incubated at 37 degC for 3 days,,Salmonella typhimurium TA102,False
20,Mutagenicity in Salmonella typhimurium TA100 at 30 to 5000 ug in presence of S9 metabolic activation system for 48 hrs by ames test,30 to 5000 ug,,for 48 hrs,,Salmonella typhimurium TA100,False
