index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertant colonies at 100000 ng/plate after 48 hrs by Ames assay,100000 ng/plate,,after 48 hrs,,Salmonella Typhimurium Genox T104(recN2-4),True
2,Mutagenic activity in Salmonella typhimurium TA98 at 3.1 to 250 ug/plate by Ames test,3.1 to 250 ug/plate,,,presence of S9 fraction,Salmonella typhimurium TA100,True
3,Genotoxicity in Salmonella typhimurium TA1537 after 96 hrs in absence of rat liver S9 fraction by spectrophotometric method,,,after 96 hrs,,Salmonella typhimurium TA1537,False
4,Disruption of large POPS unilamellar vesicle membrane assessed as release of carboxyfluorescein measured after 1 min by fluorescence based method,,,measured after 1 min,,large POPS unilamellar vesicles,False
5,Effect on actin cytoskeleton in rat kangaroo PtK2 cells assessed as thickening in microfilament at 0.3 uM after 24 hrs by immunofluorescence analysis relative to untreated control,0.3 uM,,after 24 hrs,,rat kangaroo PtK2 cells,False
6,Disruption of large POPC:DOPG unilamellar vesicle membrane assessed as release of carboxyfluorescein measured after 1 min by fluorescence based method,,,measured after 1 min,,large POPC:DOPG unilamellar vesicles,False
7,Mutagenic activity in Salmonella typhimurium assessed as fold increase in colony forming units by Bioluminescent Ames assay relative to control,,,,,Salmonella typhimurium,True
8,Agonist activity at muscarinic acetylcholine receptor in guinea pig ileum assessed as longitudinal muscle contraction measured every 20 mins in presence of 100 uM competitive nicotinic antagonist hexamethonium chloride,100 uM,,measured every 20 mins,presence of the antagonist hexamethonium chloride,muscarinic acetylcholine receptor in guinea pig ileum,False
9,Mutagenic activity in Salmonella typhimurium TA98 at 1667 ug/plate in presence of liver S9 fraction,1667 ug/plate,,,presence of S9 fraction,Salmonella typhimurium TA98,True
10,Mutagenic activity in Salmonella Typhimurium TA100 by Ames test in absence of S9 fraction,,,,absence of S9 fraction,Salmonella Typhimurium TA100,True
11,Mutagenic activity in Salmonella typhimurium TA100 at 1667 ug/plate in absence of liver S9 fraction,1667 ug/plate,,,absence of S9 fraction,Salmonella typhimurium TA100,True
12,Inhibition of Amphiuma tridactylum NHE1 mutant containing TM10-12 domain of Pleuronectes americanus expressed in chinese hamster AP1 cells assessed as intracellular pHi recovery by ammonium chloride prepulse protocol,,,,,negatively charged DOPE/DOPG large unilamellar vesicles,False
13,Genotoxicity in Salmonella typhimurium by Ames assay in presence of rat liver metabolic activation system,,,,presence of rat liver metabolic activation system,,False
14,Genotoxicity in human HL60 cells assessed as DNA strand breaks at 5 uM after 24 hrs by comet assay,5 uM,,after 24 hrs,,Cynodon dactylon,False
15,"Antinociceptive activity in Sprague-Dawley rat chronic constriction model assessed as reduction in Von Frey filament-induced mechanical allodynia in contralateral hind paw at 8 umol/kg, po",8 umol/kg,,,,Escherichia coli WP2 uvrA,True
16,Mutagenicity in Salmonella typhimurium TA98 assessed as increase in number of revertant colonies by Ames test in presence of S9 fraction,,,,presence of S9 fraction,HEK293 cells expressing human glucocorticoid receptor,False
17,"Antifungal activity against Cunninghamella bertholletiae FMR-9598 infected in neutropenic OF1 mouse assessed as decreased fungal load in kidney at 0.8 mg/kg, iv qd administered 1 day post infection measured after 4 to 5 days relative to untreated control",0.8 mg/kg,,measured after 4 to 5 days,,Plasmodium falciparum NF54 mature stage-5 gametocytes,False
18,Stabilization of TTR V30M mutant (unknown origin) expressed in Escherichia coli assessed as formation of TTR tetramer band formation after 4 mins by SDS-PAGE analysis based glutaraldehyde cross-linking assay,,,after 4 mins,,mouse J774A1 cells,False
19,Genotoxicity in Salmonella typhimurium in absence of S9 fraction by Ames test,,,,,Cunninghamella bertholletiae FMR-9598,True
20,Genotoxicity in Salmonella typhimurium TA98 at 0.6 to 100 uM after 96 hrs by photometry analysis,0.6 to 100 uM,,after 96 hrs,presence of S9 fraction,Salmonella Typhimurium TA1535 carrying pSK1002,True
