index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in Escherichia coli assessed as induction of reverse mutation by Ames test,,,,,Escherichia coli,True
2,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction of hyphae formation in Lee medium at 1.3 uM incubated for 3 to 5 days by stereomicroscopic analysis,1.3 uM,,3 to 5 days,,Candida albicans SC5314,False
3,Antimutagenic activity against aflatoxin B1-induced Salmonella typhimurium TA98 mutagenesis preincubated at 0.01 to 10 umol/plate for 25 mins by Ames test in presence of S9 liver homogenate relative to control,0.01 to 10 umol/plate,,for 25 mins,presence of S9 liver homogenate,Salmonella typhimurium TA98,True
4,Mutagenic activity in Salmonella typhimurium TA1535 at 10 to 100 uM by ames test,10 to 100 uM,,,,Salmonella typhimurium TA1535,True
5,Mutagenicity in Salmonella typhimurium TA7001/7002/7003/7004/7005/7006 up to 100 uM by Ames 2 assay,up to 100 uM,,,,Salmonella typhimurium TA7001/7002/7003/7004/7005/7006,True
6,Antifungal activity against Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112 assessed as diameter of inhibition zone at 100 ug/disk after 48 to 72 hrs by paper disk assay,100 ug/disk,,after 48 to 72 hrs,,Cryptococcus neoformans (Sanfelice) Vuillemin ATCC 90112,False
7,Permeability across Escherichia coli large unilamellar vesicles assessed as calcein entrapped leakage from phosphatidylglycerol/phosphatidylcholine at pH 8.4,,,,,,
8,Genotoxicity in Salmonella typhi by Ames test,,,,,Salmonella typhi,True
9,Genotoxicity in Salmonella typhimurium TA98 up to 500 ug/plate in presence of mouse liver S9 fraction by Ames test,up to 500 ug/plate,,,presence of mouse liver S9 fraction,Salmonella typhimurium TA98,True
10,Mutagenicity in Salmonella typhimurium assessed as induction of reverse mutation by Ames test,,,,,Salmonella typhimurium,True
11,Inhibition of human SPHK1 expressed in human U937 cells assessed as inhibition of endogenous sphingosine-1-phosphate levels at 5 uM after 2 hrs by ELISA,5 uM,,after 2 hrs,,human U937 cells,False
12,Genotoxicity in Salmonella typhi in presence of liver S9 fraction,,,,,Salmonella typhi,True
13,Genotoxicity in Salmonella typhi in absence of liver S9 fraction,,,,,Salmonella typhi,True
14,"Antitrypanosomal activity against Trypanosoma cruzi Tulahuen 6 infected in Swiss mouse assessed as mouse survival at 20 mg/kg, po qd administered on day 8 post-infection measured on same day by microscopic analysis",20 mg/kg,,,,Trypanosoma cruzi Tulahuen 6,False
15,Antiviral activity against HCV genotype 1b infected in HuH7 cells assessed as inhibition of viral replication after 48 hrs by RT-PCR analysis,,,after 48 hrs,,HuH7 cells,False
16,Binding affinity DPPC multilamellar vesicles assessed as chemical shift at 1:5 compound/lipid ratio at 303 K by nuclear magnetic resonance analysis,1:5 compound/lipid ratio,303 K,,,DPPC multilamellar vesicles,False
17,Mutagenicity in Salmonella typhimurium TA1535 at 30 to 5000 ug incubated for 48 hrs in presence of liver S9 fraction by AMES test,30 to 5000 ug,,incubated for 48 hrs,presence of liver S9 fraction,Salmonella typhimurium TA1535,True
18,Permeability across Escherichia coli large unilamellar vesicles assessed as calcein entrapped leakage from phosphatidylglycerol/phosphatidylcholine at pH 7.4,,,,,,
19,Genotoxicity in Escherichia coli by SOS/umu test,,,,,Escherichia coli,False
20,Dopaminergic activity in Sprague-Dawley rat assessed as stereotypic behavior administered into caudate-putamen measured up to 25 ug from 5 to 15 mins to persisted up to 5 to 6 hrs,up to 25 ug,,from 5 to 15 mins up to 5 to 6 hrs,,Salmonella typhimurium TA98,False
