index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertant colonies at 25000 ng/plate after 48 hrs by Ames assay,25000 ng/plate,,after 48 hrs,,Salmonella Typhimurium TA100,True
2,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of Trp-P-1-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,,,,,Salmonella Typhimurium TA1535 carrying pSK1002,False
3,Mutagenic activity in Salmonella Typhimurium WP2uvrApKM101 by Ames test in presence of S9 fraction,,,,presence of S9 fraction,Salmonella Typhimurium WP2uvrApKM101,True
4,Mutagenicity in Salmonella typhimurium TA1537 after 96 hrs in absence of rat liver S9 fraction by Ames test,,,after 96 hrs,absence of rat liver S9 fraction,Salmonella typhimurium TA1537,True
5,Binding affinity to unilamellar vesicles of DPPC in D2O at 1:5 drug to lipid molar ratio at 323 K by 2D-NOESY spectroscopic analysis,,323 K,,,unilamellar vesicles of DPPC in D2O,False
6,Mutagenicity in Salmonella typhimurium by Ames assay,,,,,Salmonella typhimurium,True
7,Binding affinity to POPC large unilamellar vesicles assessed as change in ellipticity by measuring fluorescence intensity at 50 uM in presence of phosphatidylglycerol and Ca2+ ions by circular dichroism spectroscopy,50 uM,,,,POPC large unilamellar vesicles,False
8,"Induction of endogenous ROS accumulation in Candida albicans CAI4 at 100 ug/ml after 3 hrs by 2',7'-dichlorofluorescein diacetate staining",100 ug/ml,,after 3 hrs,,Candida albicans CAI4,False
9,Genotoxicity in human HL7702 cells assessed as induction of DNA damage at 50 uM after 24 hrs in combination of teniposide by alkaline comet assay,50 uM,,after 24 hrs,,human HL7702 cells,True
10,"Toxicity in BALB/cByJ mouse assessed as biochemical parameters at 50 mg/kg, ip daily for 3 weeks measured 2 hrs after final injection","50 mg/kg, ip",,daily for 3 weeks measured 2 hrs after final injection,,BALB/cByJ mouse,False
11,Antifungal activity against Candida albicans DSY654 assessed as reduction in filamentous growth,,,,,Candida albicans DSY654,False
12,Analgesic activity against capsaicin-induced nocifensive behavior in mouse assessed as paw withdrawal latency to von Frey filament-induced pain at 32 mg/kg administered 30 mins before and measured 15 mins after capsaicin challenge,32 mg/kg,,administered 30 mins before and measured 15 mins after challenge,,mouse,False
13,Genotoxicity in Salmonella typhimurium TA98 in absence of S9 fraction by Mini-Ames test,,,,absence of S9 fraction,Salmonella typhimurium TA98,True
14,Induction of circling behaviour in Sprague-Dawley rat administered into caudate putamen in presence of aceperone,,,,presence of aceperone,Sprague-Dawley rat,False
15,Mutagenic activity by measuring net reverent colonies per 10 ug of compound with Salmonella Typhimurium (TA1537 strain) in absence of S9 fraction; - indicates no mutagenic response,10 ug of compound,,,absence of S9 fraction,Salmonella Typhimurium (TA1537 strain),True
16,Induction of lysis of large unilamellar vesicles containing 95:5 egg yolk phosphatidylcholine and phosphatidylglycerol assessed as calcein release at 0.22 mM treated at 400 to 1600 secs by fluorometric analysis,0.22 mM,,treated at 400 to 1600 secs,,large unilamellar vesicles containing 95:5 egg yolk phosphatidylcholine and phosphatidylglycerol,False
17,Genotoxicity in human-derived p53-competent TK6 cells expressing GADD45a-dependent green fluorescent protein assessed as decrease in cell viability after 48 hrs in absence of Sprague-Dawley rat S9 fraction by FACS analysis,,,after 48 hrs,absence of Sprague-Dawley rat S9 fraction,human-derived p53-competent TK6 cells,False
18,"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-5,7,24-trien-3beta-ol level at 0.3 uM after 96 hrs by gas-liquid chromatography",0.3 uM,,after 96 hrs,,Leishmania mexicana amazonensis promastigotes,False
19,Genotoxicity in Salmonella typhimurium at 2 mM by mini Ames test,2 mM,,,,Salmonella typhimurium,True
20,Mutagenicity against mouse L5178Y cells at 25 ug/mL after 24 hrs by MOLY assay in absence of S9 fraction,25 ug/mL,,after 24 hrs,absence of S9 fraction,mouse L5178Y cells,True
