index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenic activity in Salmonella typhimurium TA102 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in presence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,presence of liver S9 mixture,Salmonella typhimurium TA102,False
2,Genotoxicity in Schizosaccharomyces pombe assessed as induction of DNA damage by measuring appearance of DNA smear DNA band at 2 to 10 ug/ml by agarose gel electrophoresis,2 to 10 ug/ml,,,,Schizosaccharomyces pombe,True
3,Mutagenic activity in Salmonella typhimurium TA100 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in absence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,absence of liver S9 mixture,Salmonella typhimurium TA100,True
4,Mutagenic activity in Salmonella typhimurium TA1535 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in presence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,presence of liver S9 mixture,Salmonella typhimurium TA1535,True
5,Mutagenic activity in Salmonella typhimurium TA98 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in presence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,presence of liver S9 mixture,Salmonella typhimurium TA98,True
6,Mutagenic activity in Salmonella typhimurium TA1537 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in presence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,presence of liver S9 mixture,Salmonella typhimurium TA1537,True
7,Mutagenic activity in Salmonella typhimurium TA1537 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in presence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,presence of liver S9 mixture,Salmonella typhimurium TA1537,True
8,Mutagenic activity in Salmonella typhimurium TA1535 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in absence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,absence of liver S9 mixture,Salmonella typhimurium TA1535,True
9,Mutagenic activity in Salmonella typhimurium TA98 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in absence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,absence of liver S9 mixture,Salmonella typhimurium TA98,True
10,Genotoxicity in rat assessed as chromosomal aberration,,,,,rat,False
11,Mutagenic activity in Salmonella typhimurium TA1537 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in absence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,absence of liver S9 mixture,Salmonella typhimurium TA1537,True
12,Mutagenic activity in Salmonella typhimurium TA100 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in presence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,presence of liver S9 mixture,Salmonella typhimurium TA100,True
13,Mutagenic activity in Salmonella typhimurium TA102 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in presence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,presence of liver S9 mixture,Salmonella typhimurium TA102,True
14,Antiviral activity against Camelpox virus CML14 infected in human PHK assessed as reduction in viral titer after 6 days postinfection by virus yield reduction assay,,,6 days postinfection,,human PHK,False
15,Induction of mutagenesis in Salmonella typhimurium TA100 up to 5000 ug/plate by Ames test in presence of rat liver S9 fraction,up to 5000 ug/plate,,,presence of rat liver S9 fraction,Salmonella typhimurium TA100,True
16,Antiviral activity against Camelpox virus CML14 infected in HEL299 cells assessed as reduction in viral titer after 6 days postinfection by virus yield reduction assay,,,6 days postinfection,,HEL299 cells,False
17,Genotoxicity in micronucleus,,,,,,False
18,Mutagenic activity in Salmonella typhimurium TA102 at 0.312 to 5 mg/plate measured after incubation of upside down for 48 hrs in absence of liver S9 mixture,0.312 to 5 mg/plate,,48 hrs,absence of liver S9 mixture,Salmonella typhimurium TA102,True
19,Antimicrofilament activity in human HCT116 cells assessed as loss of microfilament at 0.05 uM by rhodamine-phalloidin staining,0.05 uM,,,,human HCT116 cells,False
20,Mutagenic activity in Salmonella typhimurium TA98 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in absence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,absence of liver S9 mixture,Salmonella typhimurium TA98,True
