index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Binding affinity to thiol-bearing RNA2 aptamer assessed as RNA2-compound conjugate formation at 1 uM by MALDI-MS 123 analysis,1 uM,,,,thiol-bearing RNA2 aptamer,False
2,Induction of membrane disruption in PG/CL/PE unilamellar vesicles assessed as increase in carboxyfluorescein leakage at 6.25 uM by fluorescence assay,6.25 uM,,,,PG/CL/PE unilamellar vesicles,False
3,Genotoxicity in Salmonella typhimurium TA1535 harboring pSK1002 up to 1 mg/ml in presence of S9 fraction by SOS/umu assay,up to 1 mg/ml,,,presence of S9 fraction,Salmonella typhimurium TA1535,False
4,Mutagenicity in Salmonella typhimurium TA100 assessed as revertant colonies at 300 umol incubated under aerobic conditions in dark for 2 days by Ames test in presence of Sprague-Dawley rat liver S9 fraction,300 umol,,incubated under anaerobic conditions for 16 to 17 hrs followed by 48 hrs under aerobic conditions,presence of Sprague-Dawley rat liver S9 fraction,Salmonella typhimurium TA100,True
5,Genotoxicity in Salmonella typhimurium T104 expressing lux operon assessed as activation of SOS operon at 0.1 to 10 ug/ml measured for 4 hrs with 5 mins interval by vitotox assay in absence of S9 fraction,0.1 to 10 ug/ml,,measured for 4 hrs with 5 mins interval,absence of S9 fraction,Salmonella typhimurium T104,False
6,Increase in root diameter in Zea mays (maize) seedlings at 100 to 800 ug/L,100 to 800 ug/L,,,,Zea mays (maize),False
7,Mutagenicity in Salmonella typhimurium TA98 at 5 to 230 uM measured after 90 mins in presence of rat liver S9 fraction by Ames test,5 to 230 uM,,after 90 mins,presence of rat liver S9 fraction,Salmonella typhimurium TA98,True
8,Effect on endogenous p97 protein level in HEK293T cells up to 40 uM after 16 hrs by immunoblot analysis,up to 40 uM,,after 16 hrs,,HEK293T cells,False
9,Induction of human LNCAP cells growth containing endogenous ERalpha receptor at 1 uM by MTT assay relative to estradiol,1 uM,,,,human LNCAP cells,False
10,Antimicrobial activity against Pseudomonas aeruginosa PAO1 assessed as appearance of long filaments at 0.5 X MIC after 2 hrs by Live/dead cell viability assay,0.5 X MIC,,after 2 hrs,,Pseudomonas aeruginosa PAO1,False
11,Membrane permeabilization in DOPC/POPG large unilamellar vesicles in 3:1 ratio assessed as sulforhodamine B release at 16 to 64 uM by fluorescence assay,16 to 64 uM,,,,DOPC/POPG large unilamellar vesicles,False
12,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction of hyphae formation in SLAD medium at 1.3 uM incubated for 3 to 5 days by stereomicroscopic analysis,1.3 uM,,incubated for 3 to 5 days,,Candida albicans SC5314,False
13,Binding affinity to POPC large unilamellar vesicle at 100 uM by circular dichroism analysis,100 uM,,,,POPC large unilamellar vesicle,False
14,Mutagenicity in Salmonella typhimurium TA100 in presence of rat live S9 fraction by Ames test,,,,,Salmonella typhimurium TA100,True
15,Inhibition of Pleuronectes americanus NHE1 TM4 mutant containing TFFLF sequence of Amphiuma tridactylum expressed in chinese hamster AP1 cells assessed as intracellular pHi recovery by ammonium chloride prepulse protocol,,,,,Pleuronectes americanus NHE1 TM4 mutant,False
16,"Induction of TEMPO adduct formation after 24 hrs in presence of 2,2,6,6-tetramethyl-1-piperidine-1-oxyl and ferrous sulfate by LC/MS analysis",,,after 24 hrs,,,False
17,Induction of morphological changes in Escherichia coli ML35p assessed as thin filamentous phenotype at MIC concentration after 18 hrs using propidium iodide/Syto9 staining by microscopic analysis,MIC concentration,,after 18 hrs,,Escherichia coli ML35p,False
18,Genotoxicity in mouse L5178Y cells after 3 hrs in presence of S9 fraction by micronucleus test,,,after 3 hrs,presence of S9 fraction,mouse L5178Y cells,False
19,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction of hyphae formation in YPS medium at 1.3 uM incubated for 3 to 5 days by stereomicroscopic analysis,1.3 uM,,incubated for 3 to 5 days,,Candida albicans SC5314,False
20,Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous episterol level at 3 uM after 96 hrs by gas-liquid chromatography,3 uM,,after 96 hrs,,Leishmania mexicana amazonensis promastigotes,False
