index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Induction of mutagenesis in Salmonella typhimurium TA98 up to 5000 ug/plate by Ames test,up to 5000 ug/plate,,,,Salmonella typhimurium TA98,True
2,Genotoxicity in Salmonella typhimurium TA100 assessed as induction of mutagenicity by measuring revertant colonies at 0.3 to 1000 ug/well incubated for 48 hrs in presence of liver S9 fraction by mini Ames test,0.3 to 1000 ug/well,,48 hrs,liver S9 fraction,Salmonella typhimurium TA100,True
3,Effect on alpha-tublin parameters in Parkinson's disease patient derived human ONS cells at 10 uM after 24 hrs by anti-alphatubulin staining based fluorescence assay,10 uM,,24 hrs,,Parkinson's disease patient derived human ONS cells,False
4,Genotoxicity in Salmonella typhimurium TA98 assessed as induction of mutagenicity by measuring revertant colonies at 0.3 to 1000 ug/well incubated for 48 hrs in presence of liver S9 fraction by mini Ames test,0.3 to 1000 ug/well,,48 hrs,liver S9 fraction,Salmonella typhimurium TA98,True
5,Induction of mutagenesis in Salmonella typhimurium TA100 up to 5000 ug/plate by Ames test,up to 5000 ug/plate,,,,Salmonella typhimurium TA100,True
6,Mutagenicity in Salmonella typhimurium TA98 in presence of mouse liver S9 fraction by Ames test,,,,mouse liver S9 fraction,Salmonella typhimurium TA98,True
7,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test in presence of rat liver S9 fraction,,,44 hrs,rat liver S9 fraction,Salmonella Typhimurium TA98,True
8,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertants after 44 hrs by Ames test,,,44 hrs,,Salmonella Typhimurium TA100,True
9,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertants after 44 hrs by Ames test in presence of rat liver S9 fraction,,,44 hrs,rat liver S9 fraction,Salmonella Typhimurium TA100,True
10,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of revertants after 44 hrs by Ames test,,,44 hrs,,Salmonella Typhimurium TA98,True
11,Mutagenic activity in Salmonella Typhimurium by Ames test,,,,,Salmonella Typhimurium,True
12,Binding affinity to POPC large unilamellar vesicle at 0.2 mM by ITC method,0.2 mM,,,,POPC large unilamellar vesicle,False
13,Antiviral activity against Zika virus harboring subgenomic GFP replicon infected in African green monkey Vero cells assessed as reduction in viral infection at 100 uM preincubated for 30 mins followed by viral infection and measured after 72 hrs,100 uM,,72 hrs,,African green monkey Vero cells,False
14,Genotoxicity in Salmonella typhimurium TA104 harboring Pr1 lux operon fusion at 1.28 to 128 uM measured every 5 mins for 4 hrs in presence of S9 liver fraction by vitotox assay,1.28 to 128 uM,,4 hrs,S9 liver fraction,Salmonella typhimurium TA104 harboring Pr1 lux,True
15,Genotoxicity in Salmonella typhimurium TA104 harboring RecN2-4 lux operon fusion at 1.28 to 128 uM measured every 5 mins for 4 hrs in absence of S9 liver fraction by vitotox assay,1.28 to 128 uM,,4 hrs,absence of S9 liver fraction,Salmonella typhimurium TA104 harboring RecN2-4 lux,True
16,Antagonist activity at voltage dependent L-type calcium channel in nitric oxide synthase inhibitor L-NAME hydrochloride pretreated New Zealand white rabbit sigmoid colon circular smooth muscle strip assessed as effect on relaxation response,,,,,New Zealand white rabbit sigmoid colon circular smooth muscle strip,False
17,Induction of microfilament disruption in human HeLa cells at 20 ug/ml after 24 hrs by Hoechst staining-based fluorescence microscopic analysis,20 ug/ml,,24 hrs,,human HeLa cells,False
18,Genotoxicity in p53-competent human TK6 cells in presence of Sprague-Dawley rat S9 fraction by GADD45alpha GFP reporter assay,,,,Sprague-Dawley rat S9 fraction,p53-competent human TK6 cells,False
19,Genotoxicity in Salmonella typhimurium TA104 harboring Pr1 lux operon fusion at 1.28 to 128 uM measured every 5 mins for 4 hrs in absence of S9 liver fraction by vitotox assay,1.28 to 128 uM,,4 hrs,absence of S9 liver fraction,Salmonella typhimurium TA104 harboring Pr1 lux,True
20,Genotoxicity in Salmonella typhimurium TA104 harboring RecN2-4 lux operon fusion at 1.28 to 128 uM measured every 5 mins for 4 hrs in presence of S9 liver fraction by vitotox assay,1.28 to 128 uM,,4 hrs,S9 liver fraction,Salmonella typhimurium TA104 harboring RecN2-4 lux,True
