index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Genotoxicity in Salmonella typhimurium TA98 at 30 uM in absence of rat liver S9 fraction by Ames test,30 uM,,,absence of rat liver S9 fraction,Salmonella typhimurium TA98,True
2,Antifungal activity against Aspergillus niger assessed as diameter of the zone of inhibition at 20 ug/disk by disk diffusion method,20 ug/disk,,,,Aspergillus niger,False
3,Mutagenicity in Salmonella typhimurium TA98 up to 500 ug/ml in absence of rat liver S9 fraction by Ames 2 assay,up to 500 ug/ml,,,absence of rat liver S9 fraction,Salmonella typhimurium TA98,True
4,"Toxicity in Balb/c mouse assessed as changes in blood cell parameters at 150 mg/kg, ip dosed daily for 3 days using compound formulated in Solutol HS15 and ethyl alcohol measured after 48 hrs","150 mg/kg, ip",,daily for 3 days measured after 48 hrs,,Balb/c mouse,False
5,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of revertant colonies at 300 ng/plate after 48 hrs by Ames assay,300 ng/plate,,after 48 hrs,,Salmonella Typhimurium TA100,True
6,Mutagenic activity in Salmonella typhimurium TA100 assessed as crosslinking-associated increase in number of revertants after 2 days by Ames test,,,after 2 days,,Salmonella typhimurium TA100,True
7,Induction of hyperactivity in Sprague-Dawley rat administered into caudate putamen in presence of 0.2 to 0.8 mg/kg haloperidol,0.2 to 0.8 mg/kg haloperidol,,,presence of haloperidol,Sprague-Dawley rat,False
8,Induction of circling behaviour in Sprague-Dawley rat administered into caudate putamen,,,,,Sprague-Dawley rat administered into caudate putamen,False
9,"Antiviral activity against HBV genotype D in hydrodynamic injection-based C57BL/6 mouse model of HBV infection assessed as inhibition of liver HBV DNA level at 100 mg/kg, po dosed twice daily for 7 days by real-time PCR analysis","100 mg/kg, po",,dosed twice daily for 7 days,,HBV genotype D in hydrodynamic injection-based C57BL/6 mouse model of HBV infection,False
10,Antiinflammatory activity in human monocytes-derived macrophages assessed as inhibition of LPS-induced GM-CSF secretion at 30 uM pretreated for 1 hr followed by LPS stimulation and measured after 24 hrs by homogenous time-resolved fluorescence assay,30 uM,,pretreated for 1 hr followed by stimulation and measured after 24 hrs,,human monocytes-derived macrophages,False
11,"Photodynamic activity in New Zealand rabbit assessed as appearance of pallor area of one quarter-diameter disc shaped in left eye pretreated with compound at 6 mg/m2, iv followed by diode laser irradiation at 650 nm measured after 24 hrs by retinography","6 mg/m2, iv",,pretreated with compound followed by laser irradiation measured after 24 hrs,,New Zealand rabbit,False
12,Genotoxicity in Salmonella typhimurium TA102 at 3 to 3000 ug/plate in presence of rat liver S9 fraction after 72 hrs by Ames test,3 to 3000 ug/plate,,after 72 hrs,presence of rat liver S9 fraction,Salmonella typhimurium TA102,True
13,Binding affinity to Escherichia coli ATCC 25922 genomic DNA at 4 x MIC after 30 mins by agarose gel electrophoresis,4 x MIC,,after 30 mins,,Escherichia coli ATCC 25922,False
14,Genotoxicity in Salmonella typhimurium TA1535 in absence of S9 fraction by Ames test,,,,absence of S9 fraction,Salmonella typhimurium TA1535,True
15,Genotoxicity in Salmonella typhimurium TA100 at 0.03 to 2.25 ug/plate incubated for 48 hrs in absence of liver S9 fraction by Ames test,0.03 to 2.25 ug/plate,,incubated for 48 hrs,absence of liver S9 fraction,Salmonella typhimurium TA100,True
16,"Analgesic activity in rat model of spared nerve injury-induced neuropathic pain assessed as increase in paw withdrawal threshold at 10 mg/kg, po administered via gavage once daily for 3 days by Von Frey filament test","10 mg/kg, po",,administered once daily for 3 days by Von Frey filament test,,rat model of spared nerve injury-induced neuropathic pain,False
17,"Antifungal activity against Cunninghamella bertholletiae FMR-9598 infected in neutropenic OF1 mouse assessed as decreased fungal load in kidney at 60 mg/kg, po qd administered 1 day post infection measured after 4 to 5 days relative to untreated control","60 mg/kg, po qd",,administered 1 day post infection measured after 4 to 5 days,,Cunninghamella bertholletiae FMR-9598 infected in neutropenic OF1 mouse,False
18,Mutagenic activity against Salmonella typhi TA100 by Ames assay,,,,,Salmonella typhi TA100,True
19,"Antifungal activity against Cunninghamella bertholletiae UTHSC 03-2241 infected in neutropenic OF1 mouse assessed as decreased fungal load in brain at 60 mg/kg, po qd administered 1 day post infection measured after 4 to 5 days relative to untreated control","60 mg/kg, po qd",,administered 1 day post infection measured after 4 to 5 days,,Cunninghamella bertholletiae UTHSC 03-2241 infected in neutropenic OF1 mouse,False
20,Antimutagenic activity in Salmonella Typhimurium T98 assessed as inhibition of 2-aminoanthracene-induced mutation at 300 ug/plate,300 ug/plate,,,,Salmonella Typhimurium T98,False
