index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in Salmonella typhimurium TA98 up to 100 uM by Ames 2 assay,up to 100 uM,37 degC,,presence of S9 fraction,Salmonella typhimurium TA98,True
2,Mutagenicity in Salmonella typhimurium TA100 assessed as revertant colonies at 300 umol incubated under anaerobic conditions for 16 to 17 hrs followed by 48 hrs under aerobic conditions by Ames test,300 umol,,incubated for 16 to 17 hrs followed by 48 hrs,absence of liver S9 fraction,Salmonella typhimurium TA100,True
3,Binding affinity DPPC multilamellar vesicles assessed as chemical shift at 1:5 compound/lipid ratio at 333 K by nuclear magnetic resonance analysis,1:5 compound/lipid ratio,333 K,,,DPPC multilamellar vesicles,False
4,Genotoxicity in CHO cells by micronucleus assay,,,,,CHO cells,False
5,Binding affinity to Candida albicans PC31 DNA assessed as genomic DNA cleavage at 5 uM preincubated for 30 mins in dark followed by irradiation measured after 30 mins by agarose gel electrophoresis,5 uM,,preincubated for 30 mins followed by 30 mins,presence of light-induced activation,Candida albicans PC31 DNA,False
6,Binding affinity to 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl- 2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) large unilamellar vesicle in 40 mM phosphate buffer at pH 6.8 at 100 uM by Far-UV CD spectra analysis,100 uM,,,,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl-2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) LUV,False
7,"Antihypertensive activity in anesthetized SHR rat assessed as decrease in heart rate at 10 mg/kg, iv pretreated with hexamethonium for 10 mins",10 mg/kg,,,,anesthetized SHR rat,False
8,Genotoxicity in Salmonella typhimurium Cytox (pr1) expressing lux operon assessed as activation of SOS operon at 0.1 to 10 ug/ml measured for 4 hrs with 5 mins interval by vitotox assay in absence of S9 fraction,0.1 to 10 ug/ml,,measured for 4 hrs,absence of S9 fraction,Salmonella typhimurium Cytox (pr1) expressing lux operon,True
9,Binding affinity to zwitterionic DOPC/cholesterol large unilamellar vesicles assessed as transformation of peptide secondary structure to alpha-helical conformation by CD spectropolarimetry,,,,,DOPC/cholesterol LUV,False
10,"Antihypertensive activity in Wistar rat assessed as normalization of L-NAME-induced systolic blood pressure at 10 mg/kg/day, po for 4 weeks",10 mg/kg/day,,for 4 weeks,,Wistar rat,False
11,"Antifungal activity against Candida albicans infected in mouse assessed as reduction in fungal endogenous infection symptoms at 20 mg/kg, ip administered on days 2,4,6,8,10,12 and measured on day 14 by hematoxylin-eosin staining based analysis",20 mg/kg,,"administered on days 2,4,6,8,10,12 and measured on day 14",,Candida albicans SC5314,False
12,"Antinociceptive activity in carrageenan-induced Swiss mouse model of mechanical hyperalgesia at 100 umol/kg, po pretreated for 1 hr followed by carrageenan challenge measured at 3 hrs post dose by Von Frey filament assay",100 umol/kg,,pretreated for 1 hr followed by 3 hrs post dose,,Salmonella typhimurium TA98/TA100,True
13,Genotoxicity in Salmonella typhimurium TA98 in presence of S9 fraction by Ames test,,,,presence of S9 fraction,rabbit reticulocyte,False
14,"Antihypertensive activity in Wistar rat assessed as normalization of L-NAME-induced aorta thickness at 10 mg/kg/day, po for 4 weeks",10 mg/kg/day,,for 4 weeks,,Wistar rat,True
15,Binding affinity to POPC large unilamellar vesicle at 100 uM by pseudo titration based circular dichroism analysis,100 uM,,,,POPC LUV,False
16,Inhibition of IDO1 in human HeLa cells assessed as reduction in endogenous IDO1 protein stability at 1 uM incubated for 24 hrs by Western blot analysis,1 uM,,incubated for 24 hrs,,human HeLa cells,False
17,Genotoxicity in CHO cells assessed as chromosomal aberrations at 1.25 ppm after 60 mins in dark followed by 5 W/m'2 UV irradiation for 30 mins,1.25 ppm,,after 60 mins in dark followed by 30 mins UV,,CHO cells,False
18,Antimicrofilament activity in human HCT116 cells assessed as additional loss of microfilament at 5 uM by rhodamine-phalloidin staining,5 uM,,,,human HCT116 cells,False
19,"Toxicity in CD-1 albino mouse assessed as change in neurobehavioral physiological parameters at 300 mg/kg, po measured after 75 mins by Irwin test",300 mg/kg,,measured after 75 mins,,CD-1 albino mouse,False
20,Genotoxicity in Salmonella typhimurium TA100 assessed as number of revertant at 750 ug by AMES test (Rvb = 64.3 to 130.7 No_unit),750 ug,,after 90 mins,,Salmonella typhimurium TA100,True
