index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in Salmonella typhimurium TA100 in absence of S9 fraction by mini-Ames test,,,,absence of S9 fraction,Salmonella typhimurium TA100,True
2,Mutagenic activity in Salmonella Typhimurium TA102 assessed as number of spontaneous and drug-induced revertants after 48 hrs in absence of 4% S9 mixture by Ames test,,,after 48 hrs,absence of 4% S9 mixture,Salmonella Typhimurium TA102,True
3,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of spontaneous and drug-induced revertants after 48 hrs in presence of 4% S9 mixture by Ames test,,,after 48 hrs,presence of 4% S9 mixture,Salmonella Typhimurium TA100,True
4,Dopaminergic activity in Sprague-Dawley rat assessed as hyperactivity behavior administered into nucleus caudate-putamen measured up to 25 ug from 30 to 45 mins to persisted up to 3 hrs,up to 25 ug,,from 30 to 45 mins up to 3 hrs,,Sprague-Dawley rat,False
5,Mutagenicity in Salmonella typhimurium TA98 in presence of rat liver S9 fraction by Ames test,,,,presence of rat liver S9 fraction,Salmonella typhimurium TA98,True
6,Mutagenicity in Salmonella typhimurium TA98 at 0.3 to 25 ug/plate after 1 hr by Ames test in absence of S9 fraction,0.3 to 25 ug/plate,,after 1 hr,absence of S9 fraction,Salmonella typhimurium TA98,True
7,Mutagenicity in Salmonella typhimurium TA1535 in absence of S9 fraction by Ames test,,,,absence of S9 fraction,Salmonella typhimurium TA1535,True
8,Mutagenicity in Salmonella typhimurium TA100 at 500 uM by Ames test,500 uM,,,,Salmonella typhimurium TA100,True
9,Mutagenicity in Salmonella typhimurium TA102 at 500 uM by Ames test,500 uM,,,,Salmonella typhimurium TA102,True
10,Antifungal activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation in Spider medium at 100 uM incubated for 1 hr by microscopic analysis,100 uM,,incubated for 1 hr,,Candida albicans SC5314,False
11,Inhibition of heptamerization of Bacillus anthracis anthrax protective antigen in CMG2 expressing CHO cells,,,,,CMG2 expressing CHO cells,False
12,Antibacterial activity against Mycobacterium smegmatis ATCC 14468 assessed as inhibition zone diameter at 20 mg/mL after 24 hrs by Kirby-Bauer disk diffusion assay,20 mg/mL,,after 24 hrs,,Mycobacterium smegmatis ATCC 14468,False
13,"Toxicity in Sprague-Dawley rat model of complete freund's adjuvant-induced arthritis assessed as effect on autonomical parameters at 30 mg/kg, po measured for 24 hrs by Irwin test",30 mg/kg,,measured for 24 hrs,,Sprague-Dawley rat,False
14,Inhibition of Bacillus anthracis anthrax protective antigen heptamer pre-pore to pore conversion in TEM8-expressing CHO cell,,,,,TEM8-expressing CHO cell,False
15,Binding affinity to 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl- 2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) large unilamellar vesicle at 200 uM by isothermal titration calorimetry analysis,200 uM,,,,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl-2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) LUV,False
16,Mutagenicity in Salmonella typhimurium TA97 at 500 uM by Ames test,500 uM,,,,Salmonella typhimurium TA97,True
17,Antiviral activity against Hepatitis C virus (isolate Con1) genotype 1b in human Huh-7/3-1 cells assessed as inhibition of HCV replication after 72 hrs by luciferase assay,,,after 72 hrs,,human Huh-7/3-1 cells,False
18,Effect on cell morphology in human HeLa cells assessed as disorganization of actin filament at 25 uM after 24 hrs by confocal microscopy relative to control,25 uM,,after 24 hrs,,human HeLa cells,False
19,Genotoxicity in Salmonella typhimurium TA100 at 1.5 to 50000 ug/plate in absence of rat liver S9 fraction by Ames test,1.5 to 50000 ug/plate,,after 48 hrs,absence of rat liver S9 fraction,Salmonella typhimurium TA100,True
20,Genotoxicity in Salmonella typhimurium TA98 at 1.5 to 50000 ug/plate in presence of rat liver S9 fraction by Ames test,1.5 to 50000 ug/plate,,after 48 hrs,presence of rat liver S9 fraction,Salmonella typhimurium TA98,True
