index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA102NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA100NR,True
2,Mutagenicity in Salmonella typhimurium TA100 in presence of S9 fraction by Ames test,,,,presence of S9 fraction,Salmonella typhimurium TA100,True
3,Herbicidal activity against Cynodon dactylon assessed as diameter of leaf necrosis at 50 ug/ml measured after 2 days post compound treatment by leaf puncture assay,50 ug/ml,,after 2 days,,Cynodon dactylon,False
4,Genotoxicity in Salmonella typhimurium TA100 at 5 to 2490 uM after 90 mins by Ames test in presence of rat liver S9 fraction,5 to 2490 uM,,after 90 mins,presence of rat liver S9 fraction,Salmonella typhimurium TA100,True
5,Mutagenicity in Salmonella typhimurium TA97 at 0.5 to 500 ug/plate after 72 hrs in presence of S9 fraction by Ames test,0.5 to 500 ug/plate,,after 72 hrs,presence of S9 fraction,Salmonella typhimurium TA97,True
6,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of spontaneous and drug-induced revertants after 48 hrs in absence of 4% S9 mixture by Ames test,,,after 48 hrs,absence of 4% S9 mixture,Salmonella Typhimurium TA98,True
7,Transrepression activity at GR in human SW1353 cells assessed as inhibition of IL1-stimulated MMP13 production after 24 hrs by whole cell ELISA relative to Dexamethasone in presence of RU-486,,,after 24 hrs,,human SW1353 cells,False
8,Induction of mutagenesis in Salmonella Typhimurium TA100 by ames test,,,,,Salmonella Typhimurium TA100,False
9,Binding affinity to DOPC/DOPG large unilamellar vesicle assessed as release of calcein at 1 mg/mL measured for 1 min by spectrophotometric analysis,1 mg/mL,,measured for 1 min,,DOPC/DOPG large unilamellar vesicle,False
10,Genotoxicity in Salmonella typhimurium TA98 at 5000 ug/plate by Ames test in absence of S9 fraction,5000 ug/plate,,,absence of S9 fraction,Salmonella typhimurium TA98,True
11,Genotoxicity in Salmonella typhimurium TA100 at 5 to 2490 uM after 90 mins by Ames test in absence of rat liver S9 fraction,5 to 2490 uM,,after 90 mins,absence of rat liver S9 fraction,Salmonella typhimurium TA100,True
12,Genotoxicity in Salmonella typhimurium TA100 at 5000 ug/plate by Ames test in absence of S9 fraction,5000 ug/plate,,,absence of S9 fraction,Salmonella typhimurium TA100,True
13,Induction of ribosome to readthrough in-frame renilla/firefly TGA codon transfected in rabbit reticulocyte at 5 to 20 uM after 16 hrs dual-luciferase reporter gene assay,5 to 20 uM,,after 16 hrs,,rabbit reticulocyte,False
14,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in radicular weight at 50 mol/ha,50 mol/ha,,,,Triticum aestivum (wheat),False
15,Induction of nitric oxide production in HUVEC at 20 uM after 24 hrs by griess reaction in presence of L-NAME,20 uM,,after 24 hrs,presence of L-NAME,HUVEC,False
16,Genotoxicity in Salmonella typhimurium by Ames assay,,,,,Salmonella typhimurium,False
17,Genotoxicity in Salmonella typhimurium TA100 at 5000 ug/plate by Ames test in presence of S9 fraction,5000 ug/plate,,,presence of S9 fraction,Salmonella typhimurium TA100,True
18,Mutagenic activity in Salmonella Typhimurium TA98 assessed as number of spontaneous and drug-induced revertants after 48 hrs in presence of 4% S9 mixture by Ames test,,,after 48 hrs,presence of 4% S9 mixture,Salmonella Typhimurium TA98,True
19,Induction of calcein leakage in 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl- 2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) large unilamellar vesicle at 4 to 20 uM after 90 mins by fluorescence assay,4 to 20 uM,,after 90 mins,,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl-2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) LUV,False
20,Mutagenicity in Salmonella typhimurium TA102 at 0.5 to 500 ug/plate in absence of S9 fraction after 72 hrs by Ames test,0.5 to 500 ug/plate,,after 72 hrs,absence of S9 fraction,Salmonella typhimurium TA102,True
