index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Genotoxicity in Salmonella Typhimurium Genox T104(recN2-4) at 0.1 to 10 uM measured every 5 mins for 4 hrs by vitotox assay in presence of S9 liver extract,0.1 to 10 uM,,every 5 mins for 4 hrs,presence of S9 liver extract,Salmonella Typhimurium Genox T104(recN2-4),False
2,Mutagenecity in Salmonella typhimurium TA100 at 10 uM in presence of S9 liver homogenate after 2 to 3 days by mini-Ames test,10 uM,,2 to 3 days,presence of S9 liver homogenate,Salmonella typhimurium TA100,True
3,Mutagenic activity in Salmonella typhimurium TA98 at 6 to 500 ug/plate by Ames test,6 to 500 ug/plate,,,,Salmonella typhimurium TA98,True
4,Binding affinity DPPC multilamellar vesicles assessed as chemical shift at 1:5 compound/lipid ratio at 323 K by nuclear magnetic resonance analysis,,323 K,,,DPPC multilamellar vesicles,False
5,Mutagenic activity in Salmonella typhimurium TA98 at 0.005 to 0.4 ug/plate by Ames test in presence of mouse liver S9 fraction,0.005 to 0.4 ug/plate,,,presence of mouse liver S9 fraction,Salmonella typhimurium TA98,True
6,Mutagenic activity in Salmonella typhimurium TA 100 at 5 to 100 ug by Ames test in presence of Fischer-344 rat liver S9 fraction,5 to 100 ug,,,presence of Fischer-344 rat liver S9 fraction,Salmonella typhimurium TA 100,True
7,Mutagenicity in Salmonella typhimurium TA97 measured after 20 mins in presence of S9 fraction by microsome assay,,,20 mins,presence of S9 fraction,Salmonella typhimurium TA97,False
8,Neuroprotective activity against human SH-SY5Y cells assessed as inhibition of IFNgamma/LPS stimulated THP1 condition medium-induced cytotoxicity measured as cell viability at 100 uM for 1 hr followed by addition of THP1 conditioned medium for 24 hrs by LDH assay in presence of 1 uM dexamethasone,100 uM,,1 hr followed by 24 hrs,presence of 1 uM dexamethasone,human SH-SY5Y cells,False
9,DNA topoisomerase I mediated cleavage activity tested up to a concentration of 100 uM; Same activity as compound 1,up to 100 uM,,,,,False
10,Mutagenicity in Salmonella typhimurium TA98 at 62.5 to 625 uM preincubated for 1 hr followed by addition of molten top agar and measured 48 hrs post dark incubation by Ames test,62.5 to 625 uM,,preincubated for 1 hr followed by 48 hrs post dark incubation,,Salmonella typhimurium TA98,True
11,Genotoxicity in Salmonella typhimurium TA100 at 1.5 to 1000 ug/well in absence of rat liver S9 fraction by mini-Ames test,1.5 to 1000 ug/well,,,absence of rat liver S9 fraction,Salmonella typhimurium TA100,True
12,Mutagenicity in Salmonella typhimurium TA100 at 62.5 to 625 uM preincubated for 1 hr followed by addition of molten top agar and measured 48 hrs post dark incubation by Ames test,62.5 to 625 uM,,preincubated for 1 hr followed by 48 hrs post dark incubation,,Salmonella typhimurium TA100,True
13,Mutagenicity in Salmonella typhimurium TA102 in presence of S9 fraction by mini-Ames test,,,,presence of S9 fraction,Salmonella typhimurium TA102,True
14,Herbicidal activity against Cynodon dactylon assessed as diameter of leaf necrosis at 100 ug/ml measured after 2 days post compound treatment by leaf puncture assay,100 ug/ml,,measured after 2 days,,Cynodon dactylon,False
15,Genotoxicity in Escherichia coli WP2 uvrA at 5000 lg/plate in presence of liver S9 fraction by Ames test,5000 lg/plate,,,presence of liver S9 fraction,Escherichia coli WP2 uvrA,True
16,Displacement of [3H]-dexamethasone from human glucocorticoid receptor expressed in HEK293 cells at 10 uM by scintillation counting based radioligand competition binding assay,10 uM,,,,human glucocorticoid receptor expressed in HEK293 cells,False
17,Effect on male gamete formation in transgenic GFP-fused Plasmodium falciparum NF54 mature stage-5 gametocytes at 1 uM after 72 hrs under reduced oxygen tension by Mitotracker Red CMH2XRos staining based confocal microscopic method,1 uM,,72 hrs,,transgenic GFP-fused Plasmodium falciparum NF54 mature stage-5 gametocytes,False
18,Genotoxicity in mouse J774A1 cells assessed as ratio of genomic DNA present in tail and head at 0.1 to 10 ug/ml after 24 hrs by comet assay,0.1 to 10 ug/ml,,24 hrs,,mouse J774A1 cells,False
19,Mutagenic activity in Salmonella typhimurium TA98 at 0.005 to 0.4 ug/plate by Ames test,0.005 to 0.4 ug/plate,,,presence of mouse liver S9 fraction,Salmonella typhimurium TA98,True
20,Mutagenicity in Salmonella typhimurium TA98 assessed as revertant colonies at 6 to 500 ug/plate by Ames test in absence of mouse liver S9 fraction,6 to 500 ug/plate,,,absence of mouse liver S9 fraction,Salmonella typhimurium TA98,True
