index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Inhibition of Pleuronectes americanus NHE1 C-terminal mutant containing TM10 domain of Amphiuma tridactylum expressed in chinese hamster AP1 cells assessed as intracellular pHi recovery by ammonium chloride prepulse protocol,,,,,chinese hamster AP1 cells,False
2,Herbicidal activity against Convolvulus arvensis assessed as diameter of leaf necrosis at 100 ug/ml measured after 2 days post compound treatment by leaf puncture assay,100 ug/ml,,2 days,,Convolvulus arvensis,False
3,Mutagenicity in Salmonella typhimurium TA98 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,3 days,absence of rat liver S9 fraction,Salmonella typhimurium TA98,True
4,Phytotoxicity in Persea americana (avocado) assessed as induction of olfactory damage after compound application for 1 hr through two-tier reduced pressure fumigation at 30 mmHg for 0.5 hr and then 760 mmHg for 1.5 hr at 23 +/- 1 degC,,23 +/- 1 degC,1 hr (total 2 hrs),,Persea americana (avocado),False
5,Genotoxicity in Salmonella typhimurium TA1537 at 0.03 to 2.25 ug/plate incubated for 48 hrs in presence of liver S9 fraction by Ames test,0.03 to 2.25 ug/plate,,48 hrs,liver S9 fraction,Salmonella typhimurium TA1537,True
6,Binding affinity to GST-tagged HPV16 major capsid protein L1 assessed as increase in thermal stability by measuring melting temperature at 1:100 ratio of pentamer to compound by UV cloud point measurement assay,,,,,GST-tagged HPV16 major capsid protein L1,False
7,Mutagenicity against mouse L5178Y cells at 10 ug/mL after 4 hrs by MOLY assay in absence of S9 fraction,10 ug/mL,,4 hrs,absence of S9 fraction,mouse L5178Y cells,False
8,Mutagenicity in Salmonella typhimurium TA1535 at 0.2 to 16 ug/ml after 48 hrs by Ames test,0.2 to 16 ug/ml,,48 hrs,,Salmonella typhimurium TA1535,True
9,Mutagenic activity in Salmonella typhimurium TA 100 at 1 to 1000 ug/well after 48 hrs by Ames test in presence of rat liver S9 fraction,1 to 1000 ug/well,,48 hrs,rat liver S9 fraction,Salmonella typhimurium TA100,True
10,"Antifungal activity against Cunninghamella bertholletiae UTHSC 04-2581 infected in neutropenic OF1 mouse assessed as decreased fungal load in brain at 0.8 mg/kg, iv qd administered 1 day post infection measured after 4 to 5 days relative to untreated control",0.8 mg/kg,,4 to 5 days,,Cunninghamella bertholletiae UTHSC 04-2581 in neutropenic OF1 mouse,False
11,Photodynamic inactivation of Escherichia coli ATCC 25922 assessed as reduction in genomic DNA level at 5 uM preincubated for 10 mins followed by visible light irradiation for 15 mins by agarose gel electrophoresis,5 uM,,"10 mins prepulse, 15 mins light irradiation",,Escherichia coli ATCC 25922,False
12,Cardiovascular activity in spontaneously beating rat right atria assessed as change in rate of contraction at 20 to 80 uM by microdynameter relative to control,20 to 80 uM,,,,rat right atria,False
13,"Antifungal activity against Cunninghamella bertholletiae UTHSC 05-2275 infected in neutropenic OF1 mouse assessed as increase in mouse survival rate at 20 mg/kg, po qd administered 1 day after infection for 7 days relative to untreated control",20 mg/kg,,7 days,,Cunninghamella bertholletiae UTHSC 05-2275 in neutropenic OF1 mouse,False
14,Herbicidal activity against Chenopodium album assessed as diameter of leaf necrosis at 50 ug/ml measured after 2 days post compound treatment by leaf puncture assay,50 ug/ml,,2 days,,Chenopodium album,False
15,"Antiviral activity against HBV genotype D in hydrodynamic injection-based C57BL/6 mouse model of HBV infection assessed as inhibition of liver HBV DNA level at 50 mg/kg, po dosed twice daily for 7 days by real-time PCR analysis",50 mg/kg,,7 days,,HBV genotype D in C57BL/6 mouse,False
16,Mutagenicity in Salmonella typhimurium TA98 up to 500 ug/ml in presence of rat liver S9 fraction by Ames 2 assay,up to 500 ug/ml,,,rat liver S9 fraction,Salmonella typhimurium TA98,True
17,Antiviral activity against Hepatitis C virus (isolate Con1) genotype 1b in human Huh-7/3-1 cells assessed as reduction in NS5B protein level in golgi-derived detergent-resistant membrane at 1 uM after 72 hrs by immunoblotting analysis,1 uM,,72 hrs,,Hepatitis C virus in human Huh-7/3-1 cells,False
18,"Antifungal activity against Cunninghamella bertholletiae FMR-9598 infected in neutropenic OF1 mouse assessed as decreased fungal load in brain at 0.8 mg/kg, iv qd administered 1 day post infection measured after 4 to 5 days relative to untreated control",0.8 mg/kg,,4 to 5 days,,Cunninghamella bertholletiae FMR-9598 in neutropenic OF1 mouse,False
19,Induction of hyperactivity in Sprague-Dawley rat administered into caudate putamen in presence of 5 mg/kg propranolol,5 mg/kg,,,,Sprague-Dawley rat,False
20,Genotoxicity in Salmonella typhimurium TA1537 in absence of S9 fraction by Ames test,,,,absence of S9 fraction,Salmonella typhimurium TA1537,True
