index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,"Inhibition of sterol biosynthesis in Leishmania mexicana amazonensis promastigotes assessed as reduction in endogenous cholesta-7,24-dien-3beta-ol level at 10 uM after 96 hrs by gas-liquid chromatography",10 uM,,96 hrs,,Leishmania mexicana amazonensis promastigotes,False
2,Genotoxicity in Salmonella typhimurium TA1537 by Ames test,,,,,Salmonella typhimurium TA1537,True
3,Genotoxicity in Salmonella typhimurium TA1535 by Ames test,,,,,Salmonella typhimurium TA1535,True
4,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in hyphae formation in Spider medium at 5 uM incubated for 3 to 5 days by stereomicroscopic analysis,5 uM,,3 to 5 days,,Candida albicans SC5314,False
5,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in hyphae formation in Lee medium at 5 uM incubated for 3 to 5 days by stereomicroscopic analysis,5 uM,,3 to 5 days,,Candida albicans SC5314,False
6,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in hyphae formation in YPS medium at 5 uM incubated for 3 to 5 days by stereomicroscopic analysis,5 uM,,3 to 5 days,,Candida albicans SC5314,False
7,Induction of Escherichia coli genomic DNA cleavage after 1 hr by agarose gel electrophoresis method,,,1 hr,,Escherichia coli,False
8,Mutagenicity in Salmonella enterica subsp. enterica serovar Typhimurium,,,,,Salmonella enterica subsp. enterica serovar Typhimurium,False
9,Mutagenic activity in Salmonella enterica subsp. enterica serovar Typhimurium,,,,,Salmonella enterica subsp. enterica serovar Typhimurium,False
10,Induction of DNA intercalation with Candida albicans genomic DNA at 25 ug/ml after 12 hrs by ethidium bromide staining based gel electrophoresis method,25 ug/ml,,12 hrs,,Candida albicans,False
11,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in hyphae formation in YPS plus uridine medium at 5 uM incubated for 3 to 5 days by stereomicroscopic analysis,5 uM,,3 to 5 days,,Candida albicans SC5314,False
12,Anti-virulence activity against Candida albicans SC5314 assessed as inhibition of fungal filamentation by measuring reduction in hyphae formation in RPMI medium at 5 uM incubated for 3 to 5 days by stereomicroscopic analysis,5 uM,,3 to 5 days,,Candida albicans SC5314,False
13,"Antiparasitic activity Toxoplasma gondii RH infected Swiss albino mouse assessed as extramedullary hematopoiesis in host spleen at 0.25 mg, po administered 48 hr post-infection measured after 3 days by haematoxylin and eosin staining relative to control",0.25 mg,,"administered 48 hr post-infection, measured after 3 days",,Toxoplasma gondii RH infected Swiss albino mouse,False
14,Mutagenic activity in Salmonella typhimurium TA1537 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in absence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,absence of liver S9 mixture,Salmonella typhimurium TA1537,True
15,Mutagenic activity in Salmonella typhimurium TA98 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in presence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,presence of liver S9 mixture,Salmonella typhimurium TA98,True
16,Mutagenic activity in Salmonella typhimurium TA102 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in absence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,absence of liver S9 mixture,Salmonella typhimurium TA102,True
17,Antiviral activity against HCV genotype 1b Con-1 infected in human HuH7 cells after 72 hrs by luciferase based replicon assay,,,72 hrs,,human HuH7 cells,False
18,Genotoxicity in Salmonella typhimurium TA97 in presence of rat liver S9 fraction by Ames test,,,,presence of rat liver S9 fraction,Salmonella typhimurium TA97,True
19,Antiviral activity against Camelpox virus CML1 infected in human PHK assessed as reduction in viral titer after 6 days postinfection by virus yield reduction assay,,,6 days postinfection,,human PHK,False
20,Mutagenic activity in Salmonella typhimurium TA1535 at 0.312 to 5 mg/plate preincubated for 20 mins before addition in presence of liver S9 mixture,0.312 to 5 mg/plate,,preincubated for 20 mins,presence of liver S9 mixture,Salmonella typhimurium TA1535,True
