index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA100NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA100NR,True
2,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA98NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA98NR,True
3,Stimulation of plant growth parameters in Triticum aestivum (wheat) assessed as increase in length of the first leaf at 50 mol/ha,50 mol/ha,,,,Triticum aestivum (wheat),False
4,Genotoxicity in mouse L5178Ytk+/- cells assessed as occurrence of micronucleation event measured with metabolic activation at 70 ug/ml after 24 hrs by fluorescence/light microscopy with phase contrast,70 ug/ml,,after 24 hrs,with metabolic activation,mouse L5178Ytk+/- cells,False
5,Mutagenicity in Salmonella typhimurium by mini Ames test,,,,,Salmonella typhimurium,True
6,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA1537NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA1537NR,True
7,Mutagenicity in Salmonella typhimurium TA98 at 0.3 to 25 ug/plate after 1 hr by Ames test in presence of S9 fraction,0.3 to 25 ug/plate,37 degC,after 1 hr,presence of S9 fraction,Salmonella typhimurium TA98,True
8,Mutagenicity in Salmonella typhimurium TA100 in absence of liver S9 fraction by AMES test,,,,absence of liver S9 fraction,Salmonella typhimurium TA100,True
9,Activity at human glucocorticoid receptor in human HepG2 cells assessed as tyrosine amino transferase activity relative to Dexamethasone,10 uM,,after 4 hrs,,human HepG2 cells,False
10,Antimicrobial activity against Cunninghamella sp. after 24 hrs,,,after 24 hrs,,Cunninghamella sp.,False
11,Induction of membrane permeabilization in calcein loaded LPS/PC/PG large unilamellar vesicles assessed as calcein leakage after 15 mins by fluorescence assay,,,after 15 mins,,LPS/PC/PG large unilamellar vesicles,False
12,Mutagenicity in Salmonella typhimurium TA1535 in absence of liver S9 fraction by AMES test,,,,absence of liver S9 fraction,Salmonella typhimurium TA1535,True
13,Inhibition of heptamerization of Bacillus anthracis anthrax protective antigen in TEM2 expressing CHO cells,,,,,TEM2 expressing CHO cells,False
14,Mutagenic activity in Salmonella Typhimurium TA97a assessed as number of spontaneous and drug-induced revertants after 48 hrs in absence of 4% S9 mixture by Ames test,,,after 48 hrs,absence of 4% S9 mixture,Salmonella Typhimurium TA97a,True
15,Antiallodynic activity in carrageenan-induced Kunming mouse model of mechanical hyperalgesia administered as intrathecal injection after 10 to 90 mins by Von Frey filament assay,,,after 10 to 90 mins,,Kunming mouse,False
16,Mutagenicity in Salmonella typhimurium TA1535 at 0.5 to 500 ug/plate in absence of S9 fraction after 72 hrs by Ames test,0.5 to 500 ug/plate,37 degC,after 72 hrs,absence of S9 fraction,Salmonella typhimurium TA1535,True
17,Antiallodynic activity in carrageenan-induced Kunming mouse model of mechanical hyperalgesia administered as intrathecal injection after 10 to 90 mins in presence of opioid receptor antagonist naloxone by Von Frey filament assay,,,after 10 to 90 mins,,Kunming mouse,False
18,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA1535NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,presence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA1535NR,True
19,Mutagenic activity in Salmonella Typhimurium TA100 assessed as number of spontaneous and drug-induced revertants after 48 hrs in absence of 4% S9 mixture by Ames test,,,after 48 hrs,absence of 4% S9 mixture,Salmonella Typhimurium TA100,True
20,Mutagenicity in nitroreductase deficient Salmonella typhimurium TA102NR assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in absence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,for 3 days,absence of rat liver S9 fraction,nitroreductase deficient Salmonella typhimurium TA102NR,True
