index,original sentence,Concentration/Dosage Levels,Temperature Range,Time Duration,Metabolic Activation Presence,Cell/Tissue Type or Organism Used,Ames experiment
1,Mutagenicity in Salmonella typhimurium TA97a at 30 to 5000 ug/plate after 48 hrs by Ames test in presence of Wistar HAN rat liver S9 fraction,30 to 5000 ug/plate,,measured every 5 mins for 4 hrs,presence of S9 liver extract,Salmonella Typhimurium Genox T104(recN2-4),False
2,"Toxicity in ICR mouse assessed as change in renal function parameters at 30 mg/kg/day, po for 7 days",30 mg/kg/day,,after 2 to 3 days,presence of S9 liver homogenate,Salmonella typhimurium TA100,True
3,Mutagenic activity in Salmonella Typhimurium TA 100 assessed by AMES test after 48 hrs,,,,,ICR mouse,False
4,Mutagenicity in Salmonella typhimurium TA98 assessed as revertant colonies at 6 to 500 ug/plate by Ames test in presence of mouse liver S9 fraction,6 to 500 ug/plate,,after 20 mins,presence of mouse liver S9 fraction,Salmonella typhimurium TA1537,True
5,Binding affinity to 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine/1-palmitoyl- 2-oleoyl-sn-glycero-3-[phospho-rac-(1-glycerol)] (sodium salt) small unilamellar vesicle in 40 mM phosphate buffer at pH 6.8 at 100 uM by Far-UV CD spectra analysis,100 uM,323 K,,presence of Fischer-344 rat liver S9 fraction,Salmonella typhimurium TA98,False
6,Genotoxicity in Salmonella typhimurium TA100 assessed as number of revertant at 500 ug by AMES test (Rvb = 64.3 to 130.7 No_unit),500 ug,,,presence of S9 fraction,DPPC multilamellar vesicles,True
7,Antiinflammatory activity in human monocytes-derived macrophages assessed as inhibition of LPS-induced IL-1alpha secretion at 30 uM pretreated for 1 hr followed by LPS stimulation and measured after 24 hrs by homogenous time-resolved fluorescence assay,30 uM,,measured after 24 hrs,,Salmonella typhimurium TA98,False
8,"Antifungal activity against Cunninghamella bertholletiae UTHSC 06-1945 infected in neutropenic OF1 mouse assessed as decreased fungal load in lung at 60 mg/kg, po qd administered 1 day post infection measured after 4 to 5 days relative to untreated control",60 mg/kg,,,presence of S9 mixture,human SH-SY5Y cells,False
9,Mutagenicity in Salmonella typhimurium TA98 assessed as lowest compound concentration causing mutagenic effect incubated at 16 to 5000 ug/plate at 37 degC for 3 days in presence of rat liver S9 fraction by Ames test,16 to 5000 ug/plate,37 degC,after 2 to 3 days,presence of S9 fraction,,False
10,Genotoxicity in Salmonella typhimurium TA102 at 0.03 to 2.25 ug/plate incubated for 48 hrs in absence of liver S9 fraction by Ames test,0.03 to 2.25 ug/plate,,after 48 hrs,presence of mouse liver S9 fraction,Salmonella typhimurium TA98,True
11,Antiviral activity against Camelpox virus CML14 infected in HEL299 cells assessed as suppression of viral replication at 73 uM after 6 days postinfection by virus yield reduction assay,73 uM,,after 6 days postinfection,absence of liver S9 fraction,Salmonella typhimurium TA100,True
12,Genotoxicity in Salmonella typhimurium TA97 at 3 to 3000 ug/plate in presence of rat liver S9 fraction after 72 hrs by Ames test,3 to 3000 ug/plate,,after 72 hrs,,,False
13,Mutagenicity in Salmonella typhimurium TA98 after 96 hrs in presence of rat liver S9 fraction by Ames test,,,,presence of S9 fraction,Salmonella typhimurium TA97,True
14,"Antialzheimer activity in APP-PS1 transgenic 7 month old mouse hippocampus assessed as reduction of dodecamer of amyloid beta level at 2 mg/kg, ip administered 3 times in a week for 4 weeks by immunoblot analysis",2 mg/kg,,administered 3 times in a week for 4 weeks,presence of S9 liver extract,,False
15,Mutagenicity in Salmonella typhimurium TA98 after 96 hrs in absence of rat liver S9 fraction by Ames test,,,,,Salmonella typhimurium TA98,True
16,Genotoxicity in human MDA-MB-435 cells assessed as DNA strand breaks at 5 uM after 24 hrs by comet assay in presence of N-acetylcytosine,5 uM,,after 24 hrs,,human MDA-MB-435 cells,False
17,Induction of tetramer formation in human nuclease hypersensitive region of c-MYC gene NHE-27 G-rich ssDNA,,,,presence of S9 fraction,,False
18,Mutagenicity against mouse L5178Y cells at 100 ug/mL after 4 hrs by MOLY assay in presence of S9 fraction,100 ug/mL,,after 4 hrs,,mouse L5178Y cells,False
19,"Antifungal activity against Cunninghamella bertholletiae UTHSC 04-2581 infected in neutropenic OF1 mouse assessed as decreased fungal load in brain at 60 mg/kg, po qd administered 1 day post infection measured after 4 to 5 days relative to untreated control",60 mg/kg,,"administered 1 day post infection, measured after 4 to 5 days",presence of S9 liver extract,Cunninghamella bertholletiae,False
20,Antimutagenic activity in Salmonella Typhimurium TA1535 carrying pSK1002 containing umuC'-lacZ fused gene assessed as suppression of 0.1 j/M2 UV light-induced SOS response to alteration in DNA synthesis measured by beta-galactosidase activity by Umu test,,,,,Salmonella Typhimurium TA1535,False
