index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
404,Inhibition of Cyp2D6,Cyp2D6,,,,,,,,,,True
405,Fluorescent High Throughput P450 Assays: The interaction of SC12 with cytochrome P450 enzymes was tested using Fluorescent High Throughput P450 assays (Gentest)... plates read on a Fluoroskan Ascent at the appropriate emission/excitation wavelengths.,"CYP isoforms (CYP1A2, CYP2C9, CYP2C19, etc.)",,37° C,,specific fluorogenic substrates,,,Fluorescent High Throughput P450 assay,,multiple cytochrome P450 enzymes,True
406,Inhibition of human CYP24 hydroxylase expressed in V79 cells,CYP24,,,,,,,,recombinant human expressed in V79 cells,human,True
407,Inhibition of CYP26A1 in human MCF7 cell microsomes using [3H]ATRA after 1 hr by scintillation counting,CYP26A1,after 1 hr,,,[3H]ATRA,,NADPH,scintillation counting,human MCF7 cell microsomes,human,True
408,Inhibition of CYP1B1,CYP1B1,,,,,,,,,human,True
409,Inhibition of CYP1A2 (unknown origin) after 20 mins by fluorescence assay,CYP1A2,after 20 mins,,,,,NADPH regeneration system,fluorescence assay,unknown origin,unknown origin,True
410,Inhibition of human recombinant CYP3A4 using diethoxyfluorescein substrate,CYP3A4,,,,diethoxyfluorescein,,NADPH,fluorometry,recombinant human,human,True
411,"CYP Inhibition Assay: Incubation of phenacetin, diclofenac, dextromethorphan, mephenotoin, albendazole and testosterone with human liver microsomes... analyzed by LC-MS/MS.",Various human CYP isoforms,,37° C,,"phenacetin, diclofenac, etc.",,NADPH regeneration system,LC-MS/MS,human liver microsomes,various,True
412,Inhibition of CYP2D6 in human liver microsomes using dextromethorphan as substrate after 8 mins by LC-MS/MS analysis,CYP2D6,after 8 mins,,,dextromethorphan,,NADPH,,human liver microsomes,human,True
413,Inhibition of CYP3A4 (unknown origin) after 5 mins,CYP3A4,after 5 mins,,,,,,fluorometry,recombinant human,unknown origin,True
414,Inhibition of human recombinant CYP1A1 after 15 mins by 7-ethoxyresorufin-O-deethylation-based spectrofluorimetry,CYP1A1,after 15 mins,,,7-ethoxyresorufin,,,spectrofluorimetry,recombinant human,recombinant human,True
415,Inhibition of CYP2C19 in human liver microsomes using omeprazole as substrate preincubated for 5 mins followed by addition of NADPH-regenerating system and measured after 15 mins by UPLC-MS analysis,CYP2C19,"preincubated for 5 mins, measured after 15 mins",,,omeprazole,,NADPH-regenerating system,UPLC-MS analysis,human liver microsomes,human,True
416,Inhibition of mouse CYP27B1 by cell-free assay,mouse CYP27B1,,,,,,,,,mouse,True
417,"Inhibition of human recombinant CYP1B1 using 7-ethoxyresorufin as substrate in presence of glucose-6-phosphate, glucose-6-phosphate dehydrogenase and NADPH-generating system incubated for 35 mins by fluorometry",CYP1B1,incubated for 35 mins,,,7-ethoxyresorufin,,"glucose-6-phosphate, glucose-6-phosphate dehydrogenase, NADPH",fluorometry,recombinant human,human,True
418,Inhibition of CYP3A4 after 30 mins by fluorometric assay,CYP3A4,after 30 mins,,,,,,fluorometric assay,human liver microsomes,human,True
419,Inhibition of human CYP1A1 expressed in yeast microsomal membranes using 7-ethoxyresorufin as substrate measured after 10 mins by fluorescence assay,CYP1A1,after 10 mins,,,7-ethoxyresorufin,,,fluorescence assay,yeast microsomal membranes,human expressed in yeast,True
420,Inhibition of human CYP11B1 expressed in HEK293A cells,CYP11B1,,,,,,,,HEK293A cells,human expressed in HEK293A cells,True
421,Inhibition of CYP2C8 in human liver microsomes using amodiaquine as substrate preincubated for 5 mins followed by addition of NADPH-regenerating system and measured after 15 mins by UPLC-MS analysis,CYP2C8,"preincubated for 5 mins, measured after 15 mins",,,amodiaquine,,NADPH-regenerating system,UPLC-MS analysis,human liver microsomes,human,True
422,Inhibition of C-terminal 4His-tagged CYP3A4 (unknown origin) expressed in Escherichia coli by spectrophotometric analysis,CYP3A4,,,,,,,spectrophotometric analysis,expressed in Escherichia coli,C-terminal 4His-tagged CYP3A4,True
423,Inhibition of human CYP3A4 by microtiter plate assays using PPR substrate,CYP3A4,,,,PPR,,,microtiter plate assays,human liver microsomes,human,True
