index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
304,Inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 30 mins followed by substrate/NADPH addition measured after 10 mins by LC-MS/MS analysis,CYP3A4,"preincubated for 30 mins, measured after 10 mins",,,testosterone,,NADPH,LC-MS/MS,expressed in baculovirus-infected insect microsomes,recombinant human,True
305,Inhibition of human CYP2C9 assessed as reduction in specific vivid-blue substrate O-dealkylation by modified PanVera vivid assay protocol based method,CYP2C9,,,,vivid-blue substrate,in presence of NADPH regeneration system,NADPH,modified PanVera vivid assay,unknown origin,unknown origin,True
306,Inhibition Assay: Solutions of each test compound were separately prepared at concentrations... Pooled human liver microsome suspension (20 mg/mL) was diluted with phosphate buffer to obtain a 5 mg/mL suspension.,,,,,,,,,expressed in Escherichia coli co-expressing CYP-reductase,recombinant human,True
307,Inhibition of CYP2C19 (unknown origin) using CEC as substrate after 30 mins,CYP2C19,after 30 mins,,,CEC,,,,unknown origin,unknown origin,True
308,Inhibition of CYP3A4 using BFC as a substrate,CYP3A4,,,,BFC,,,,unknown origin,unknown origin,True
309,Antiproliferative activity against ER negative human MDA-MB-468 cells expressing CYP1A1 and CYP1B1 assessed as reduction in cell viability measured after 96 hrs by MTT assay,"CYP1A1, CYP1B1",after 96 hrs,,,,,,MTT assay,expressed in human MDA-MB-468 cells,human,True
310,Inhibition of human CYP1B1 expressed in yeast microsomal membranes using 7-ethoxyresorufin as substrate measured after 10 mins by fluorescence assay,CYP1B1,after 10 mins,,,7-ethoxyresorufin,,,fluorescence assay,expressed in yeast microsomal membranes,recombinant human,True
311,Inhibition of CYP3A4/5 in human liver microsomes,CYP3A4/5,,,,,,,,human liver microsomes,human liver,True
312,Inhibition of recombinant CYP21 (unknown origin) overexpressed in human AD293 cells assessed as reduction in 11-deoxycortisol formation preincubated for 60 mins followed by addition of 17-alpha-hydroxyprogesterone as substrate measured after 45 mins by LC-MS/MS analysis,CYP21,"preincubated for 60 mins, measured after 45 mins",,,17-alpha-hydroxyprogesterone,,NADPH,LC-MS/MS,overexpressed in human AD293 cells,recombinant (unknown origin),True
313,Fluorescent High Throughput P450 Assay: The interaction of SC12 with cytochrome P450 enzymes was tested using Fluorescent High Throughput P450 assays (Gentest)... Concentration-response curves performed in duplicate for known inhibitors for each isoenzyme were tested in every assay and used to validate the assay.,,,,,,,NADPH,Fluorescent High Throughput P450 assay,,,True
314,Inhibition of CYP3A4 (unknown origin) using BFC as substrate by fluorescence assay,CYP3A4,,,,BFC,,,fluorescence assay,unknown origin,unknown origin,True
315,Inhibition of recombinant human CYP1B1 expressed in HEK293 cells using 7-ethoxyresorufin as substrate pretreated for 30 mins followed by substrate addition measured for 60 mins by fluorescence assay,CYP1B1,"pretreated for 30 mins, measured for 60 mins",,,7-ethoxyresorufin,,,fluorescence assay,expressed in HEK293 cells,recombinant human,True
316,Inhibition of human CYP2D6 bound to yeast microsomal membrane using 7-ethoxy-methyloxy-3-cyanocoumarin as substrate after 10 mins by fluorescence assay,CYP2D6,after 10 mins,,,7-ethoxy-methyloxy-3-cyanocoumarin,,,fluorescence assay,bound to yeast microsomal membrane,human liver,True
317,"Inhibition of human CYP26A1 assessed using [11,12-3H]ATRA as substrate by scintillation counting",CYP26A1,,,,"[11,12-3H]ATRA",,NADPH,scintillation counting,,,True
318,"Inhibition of MBP-tagged human CYP24A1 expressed Escherichia coli BL21-Gold(DE3) incubated for 25 mins in presence of Adx, AdR 1,25(OH)2D3 and NADPH by HPLC method",CYP24A1,incubated for 25 mins,,,"1,25(OH)2D3","in presence of Adx, AdR",NADPH,HPLC,expressed in Escherichia coli BL21-Gold(DE3),recombinant human,True
319,Inhibition of human CYP1A2 expressed in Escherichia coli assessed as changes in ethoxyresorufin O-deethylation activity after 3 mins by spectrofluorometer analysis,CYP1A2,after 3 mins,,,ethoxyresorufin,,,spectrofluorometer analysis,expressed in Escherichia coli,recombinant human,True
320,Inhibition of CYP2C9 in microsomes,CYP2C9,,,,,,,,in microsomes,human liver,True
321,"Inhibition of 17,20-lyase activity of Sprague-Dawley rat testicular microsomal CYP17A1 using [1,2-3H]-17a-hydroxyprogesterone as substrate after 15 mins by TLC analysis",CYP17A1,after 15 mins,,,"[1,2-3H]-17alpha-hydroxyprogesterone",,,TLC analysis,,,True
322,"Inhibition of human recombinant CYP2D6 using 3-[2-(N,N-diethyl-N-methylamino)ethyl]-7-methoxy- 4-methylcoumarin after 45 mins by fluorescence spectrophotometric analysis",CYP2D6,after 45 mins,,,"3-[2-(N,N-diethyl-N-methylamino)ethyl]-7-methoxy- 4-methylcoumarin",,,fluorescence spectrophotometric analysis,expressed in insect cells microsomes,recombinant human,True
323,Inhibition of CYP450 2C9,CYP2C9,,,,,,,,,,True
