index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
324,Inhibition of recombinant CYP3A4 expressed in baculo-virus infected insect microsomes using benzyloxyresorufin as substrate after 45 mins by fluorescence detection assay,CYP3A4,after 45 mins,,,benzyloxyresorufin,,,fluorescence detection assay,expressed in baculo-virus infected insect microsomes,recombinant human,True
325,Inhibition of human CYP1A2 expressed in Escherichia coli DH5-alpha,CYP1A2,,,,,,,,expressed in Escherichia coli DH5-alpha,human,True
326,Inhibition of CYP2C9 in human liver microsomes using diclofenac as substrate preincubated for 5 mins followed by NADPH addition measured after 8 mins by LC/MS/MS analysis,CYP2C9,"preincubated for 5 mins, measured after 8 mins",,,diclofenac,,NADPH,LC/MS/MS,human liver microsomes,human liver,True
327,Inhibition Assay (Testosterone Hydroxylase): To gain insight into the selectivity of the synthetic compounds... That the CYP2A6 inhibitors showed low or no inhibitory activity against CYP3A4 suggests that the inhibitors examined selectively inhibited CYP2A6.,CYP3A4,,,,,,,,,CYP3A4,False
328,Inhibition of human recombinant CYP1A1 expressed in HEK293 cells using 7-ethoxyresorufin substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins by fluorescence assay relative to control,CYP1A1,"preincubated for 30 mins, measured after 60 mins",,,7-ethoxyresorufin,,,fluorescence assay,recombinant human expressed in HEK293 cells,recombinant human,True
329,Inhibition of human CYP1A2 expressed in yeast microsomal membranes using 3-cyano-7-ethoxycoumarin as substrate measured after 10 mins by fluorescence assay,CYP1A2,after 10 mins,,,3-cyano-7-ethoxycoumarin,,,fluorescence assay,expressed in yeast microsomal membranes,human,True
330,Inhibition of human recombinant CYP17 hydroxylase activity by HPLC/MS/MS method,CYP17,,,,,,,HPLC/MS/MS,recombinant human,recombinant human,True
331,Inhibition of CYP3A4 using BFC fluorogenic substrate,CYP3A4,,,,BFC,,,,,human,True
332,Inhibition of human liver CYP3A4 expressed in Saccharomyces cerevisiae YY7 microsomal membranes using DBF as substrate after 10 mins by fluorescence assay,CYP3A4,after 10 mins,,,DBF,,,fluorescence assay,expressed in Saccharomyces cerevisiae YY7 microsomal membranes,human liver,True
333,Inhibition of human recombinant CYP2D6-mediated 7-methoxy-4(aminomethyl)-coumarine degradation,CYP2D6,,,,,,,,recombinant human,recombinant human,True
334,Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs by FRET assay,Bacillus anthracis lethal factor protease,"preincubated for 30 mins, measured every 2 mins for 3 hrs",,,,,,FRET assay,,,False
335,Inhibitory activity against CYP3A4,CYP3A4,,,,,,,,,,True
336,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 5 mins followed by addition of NADPH-regenerating system and measured after 15 mins by UPLC-MS analysis,CYP3A4,"preincubated for 5 mins, measured after 15 mins",,,midazolam,,NADPH-regenerating system,UPLC-MS,human liver microsomes,human liver,True
337,Inhibition of CYP3A4 (unknown origin) using BFC as substrate,CYP3A4,,,,BFC,,,,unknown origin,unknown origin,True
338,Inhibition of human CYP11B2 expressed in human renal leiomyoblastoma cells using 11-deoxycorticosterone as substrate assessed as formation of aldosterone after 16 hrs by HTRF assay,CYP11B2,after 16 hrs,,,11-deoxycorticosterone,,,HTRF assay,expressed in human renal leiomyoblastoma cells,human,True
339,Inhibition of human truncated CYP17A1 expressed in Escherichia coli,CYP17A1,,,,,,,,truncated human expressed in Escherichia coli,human truncated,True
340,Inhibition Assay: Solutions of each test compound were separately prepared... Pooled human liver microsome suspension (20 mg/mL) was determined.,,,,,,,,,,,False
341,Antagonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs in presence of 5 uM rifampicin by luciferase reporter assay,human PXR,,,,rifampicin,,,luciferase reporter assay,expressed in HepG2 cells,human,True
342,Inhibition of CYP3A4 in human liver microsomes preincubated for 30 mins after 30 secs by LC/MS/MS analysis,CYP3A4,preincubated for 30 mins,,,,,,LC/MS/MS,human liver microsomes,human liver,True
343,Inhibition of CYP17 transfected in human HEK2 cells using [3H]pregnenolone as substrate by SPA assay,CYP17,,,,[3H]pregnenolone,,,SPA assay,transfected in human HEK2 cells,human recombinant,True
