index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
181,Inhibition of CYP3A4/5 in human liver microsomes assessed as reduction in testosterone-beta-hydroxylation,CYP3A4/5,,,,testosterone-beta-hydroxylation,,,,expressed in hamster V79MZ cells,human liver,True
182,Inhibition of human CYP11B2 expressed in hamster V79MZ cells using 11-deoxycorticosterone substrate,CYP11B2,,,,11-deoxycorticosterone,,,,,human,True
183,Inhibition of human recombinant CYP3A4 expressed in Saccharomyces cerevisiae by fluorescence assay,CYP3A4,,,,7-benzyloxy-trifluoromethylcoumarin,,,fluorescence assay,expressed in Saccharomyces cerevisiae,recombinant human,True
184,Inhibition of CYP1A2 in human liver microsomes using phenacetin as substrate preincubated for 5 mins followed by addition of NADPH-regenerating system and measured after 15 mins by UPLC-MS analysis,CYP1A2,"preincubated for 5 mins, measured after 15 mins",,,phenacetin,,NADPH-regenerating system,UPLC-MS,human liver microsomes,human liver,True
185,Inhibition of human CYP1B1 expressed in Escherichia coli assessed as changes in ethoxyresorufin O-deethylation activity after 3 mins by spectrofluorometer analysis,CYP1B1,after 3 mins,,,ethoxyresorufin,,,spectrofluorometer,expressed in Escherichia coli,recombinant human,True
186,Inhibition of human CYP2C19 assessed as reduction in specific vivid-blue substrate O-dealkylation by modified PanVera vivid assay protocol based method,CYP2C19,,,,specific vivid-blue substrate,,,modified PanVera vivid assay protocol,,human,True
187,Inhibition of CYP3A4 (unknown origin) using 7-benzyloxy-resorufin as substrate,CYP3A4,,,,7-benzyloxy-resorufin,,,,unknown origin,unknown origin,True
188,Inhibition of CYP26A1-mediated retinoic acid metabolism in human MCF7 cell microsomes using [3H]ATRA as substrate after 1 hr by scintillation counting,CYP26A1,after 1 hr,,,[3H]ATRA,,,scintillation counting,human MCF7 cell microsomes,human,True
189,Inhibition of CYP3A4 in human liver microsomes using 7-benzyloxy-4-(trifluoromethyl)-coumarin as substrate after 30 mins by LC/MS/MS analysis,CYP3A4,after 30 mins,,,7-benzyloxy-4-(trifluoromethyl)-coumarin,,,LC/MS/MS,human liver microsomes,human liver,True
190,Inhibition of CYP2C19 in human liver microsomes using 7-ethoxy-3-cyanocoumarin as substrate after 45 mins by LC/MS/MS analysis,CYP2C19,after 45 mins,,,7-ethoxy-3-cyanocoumarin,,,LC/MS/MS,human liver microsomes,human liver,True
191,Inhibition of CYP2C8 in human liver microsomes using paclitaxel as substrate preincubated for 5 mins by LC-MS/MS analysis,CYP2C8,preincubated for 5 mins,,,paclitaxel,,,LC-MS/MS,human liver microsomes,human liver,True
192,Inhibition of recombinant CYP17 (unknown origin) expressed in human AD293 cells assessed as reduction in [3H]-acetic acid level preincubated for 60 mins followed by [21-3H]17alpha-hydroxyl-Pregnenolone substrate addition measured after 4 hrs by TopCount method,CYP17,"preincubated for 60 mins, measured after 4 hrs",,,[21-3H]17alpha-hydroxyl-Pregnenolone,,,TopCount,recombinant (unknown origin) expressed in human AD293 cells,recombinant (unknown origin),True
193,"Inhibition of human CYP17 expressed in Escherichia coli using 1,2[3H]-progesterone as substrate in presence of NADPH",CYP17,,,,"1,2[3H]-progesterone",in presence of NADPH,NADPH,,expressed in Escherichia coli,human,True
194,Inhibition of human CYP11B2 expressed in Chinese hamster V79 cell mitochondria assessed as reduction in aldosterone production using deoxycorticosterone as substrate after 1.5 hrs in presence of NADPH by HTRF assay,CYP11B2,after 1.5 hrs,,,deoxycorticosterone,in presence of NADPH,NADPH,HTRF assay,expressed in Chinese hamster V79 cell mitochondria,human,True
195,"Inhibition of CMV-VDR expressed in human HEK293T cells assessed as inhibition of 1,25-(OH)2D3-induced CYP24A1 promoter transcription after 16 hrs by luciferase reporter assay",VDR (CYP24A1 transcription),after 16 hrs,,,"1,25-(OH)2D3",,,luciferase reporter assay,expressed in human HEK293T cells,human HEK293T,True
196,Inhibition of CYP3A4 in presence of the substrate 7-bezyloxy-4-trifluoromethyl coumarin,CYP3A4,,,,7-bezyloxy-4-trifluoromethyl coumarin,,,,,,False
197,Inhibition of CYP3A4 (unknown origin) using 7-benzyloxy-4-trifluoromethylcoumarin as substrate,CYP3A4,,,,7-benzyloxy-4-trifluoromethylcoumarin,,,,unknown origin,unknown origin,True
198,Inhibition of human CYP3A4 in human liver microsomes preincubated with NADPH,CYP3A4,preincubated with NADPH,,,,,NADPH,,human liver microsomes,human liver,True
199,Inhibition of human CYP3A4 after 30 mins,CYP3A4,,,,,,,,,human liver,True
200,"Inhibition of human MBP-tagged CYP24A1 expressed in Escherichia coli using 1,25(OH)2D3 substrate in presence of bovine adrenodoxin, adrenodoxin reductase and NADPH incubated at 37 degC for 25 mins by HPLC method",CYP24A1,incubated at 37 degC for 25 mins,37 degC,,"1,25(OH)2D3",,"bovine adrenodoxin, adrenodoxin reductase, NADPH",HPLC,expressed in Escherichia coli,recombinant human,True
