index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
424,Inhibition of CYP2C9 in human liver microsomes using diclofenac as substrate preincubated for 5 mins followed by NADPH addition measured after 10 mins by LC-MS/MS analysis,CYP2C9,"preincubated for 5 mins, measured after 10 mins",,,diclofenac,,NADPH,LC-MS/MS,human liver microsomes,human,True
425,Inhibition of human CYP11B1 expressed in hamster V79MZh11B1 cells,CYP11B1,,,,[14C]-deoxycorticosterone,,NADPH,,hamster V79MZh11B1 cells,human,True
426,CYP19 Inhibition Assay: The enzyme was obtained from the microsome fraction of fresh human placenta... The protein concentration should be about 35 mg/ml after the processing.,CYP19,,,,,,"NADPH, DTT, EDTA",scintillation proximity assay,fresh human placenta,human,True
427,Inhibition of human recombinant CYP11B2 using 11-deoxycorticosterone as substrate after 2 hrs by scintillation proximity assay,CYP11B2,after 2 hrs,,,11-deoxycorticosterone,,NADPH,scintillation proximity assay,recombinant human,human,True
428,Inhibition of human recombinant CYP1B1 expressed in HEK293 cells using 7-ethoxyresorufin substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins by fluorescence assay relative to control,CYP1B1,"preincubated for 30 mins, measured after 60 mins",,,7-ethoxyresorufin,,NADPH,fluorescence assay,recombinant human expressed in HEK293 cells,human,True
429,Inhibition of recombinant CYP2C9 by fluorescence inhibition assay,CYP2C9,,,,,,NADPH,fluorescence inhibition assay,,human,True
430,Inhibition of CYP2C9 in human liver microsomes using tolbutamide as substrate after 20 mins by LC-MS analysis,CYP2C9,after 20 mins,,,tolbutamide,,NADPH,LC-MS,human liver microsomes,human,True
431,Inhibition of recombinant human CYP3A4 expressed in baculovirus infected insect cells preincubated for 30 mins using fluorescent substrate,CYP3A4,preincubated for 30 mins,,,,,NADPH,,baculovirus infected insect cells,recombinant human,True
432,Inhibition of CYP3A4 in presence of 7-benzyloxyresorufin substrate,CYP3A4,,,,7-benzyloxy-4-trifluoromethylcoumarin,,NADPH,,,human,True
433,"Inhibition of CYP2D6 in human liver microsomes using 3-[2-(N,N-diethyl-N-methylamino)ethyl]-7- methoxy-4-methylcoumarin as substrate after 45 mins by LC/MS/MS analysis",CYP2D6,after 45 mins,,,"3-[2-(N,N-diethyl-N-methylamino)ethyl]-7- methoxy-4-methylcoumarin",,NADPH,LC/MS/MS,human liver microsomes,human,True
434,Cytotoxicity against drug-resistant TCCD-induced human MCF7 cells overexpressing CYP1B1 assessed as reduction in cell viability after 48 hrs by MTT assay,CYP1B1,after 48 hrs,,,,,,MTT assay,MCF7 cells,recombinant human,True
435,"Inhibition of human recombinant CYP1A2 using 7-ethoxyresorufin as substrate in presence of glucose-6-phosphate, glucose-6-phosphate dehydrogenase and NADPH-generating system incubated for 50 mins by fluorometry",CYP1A2,incubated for 50 mins,,,7-ethoxyresorufin,,"glucose-6-phosphate, glucose-6-phosphate dehydrogenase, NADPH",fluorometry,,human,True
436,Inhibition of ATRA-induced CYP26 in human T47D cells assessed as ATRA metabolism using [11.12-3H]-ATRA,CYP26,,,,[11.12-3H]-ATRA,,,scintillation counting,human T47D cells,human,True
437,Inhibition of recombinant human CYP2D6 expressed in insect microsomes using AMMC as substrate preincubated for 30 mins followed by NADPH addition measured after 45 mins by fluorescence assay,CYP2D6,"preincubated for 30 mins, measured after 45 mins",,,AMMC,,NADPH,fluorescence assay,recombinant human expressed in insect microsomes,recombinant human,True
438,Inhibition of CYP3A4 (unknown origin) using benzyloxyresorufin as substrate,CYP3A4,,,,benzyloxyresorufin,,NADPH,,,unknown origin,True
439,Inhibition of CYP2C19 in human liver microsomes using S-mephenytoin as substrate after 8 mins by LC-MS/MS analysis,CYP2C19,after 8 mins,,,S-mephenytoin,,NADPH,LC-MS/MS,human liver microsomes,human,True
440,Inhibition of human CYP1A1 bound to yeast microsomal membrane using 7-ethoxyresorufin as substrate after 10 mins by fluorescence assay,CYP1A1,after 10 mins,,,7-ethoxyresorufin,,NADPH,fluorescence assay,yeast microsomal membranes,human,True
441,Inhibition of human CYP17 expressed in Escherichia coli co-expressing rat NADPH-P450-reductase using progesterone as substrate,CYP17,,,,progesterone,,NADPH-P450 reductase,HPLC,expressed in Escherichia coli co-expressing rat NADPH-P450-reductase,human,True
442,Inhibition of human recombinant CYP1A2 incubated for 5 mins by fluorescence assay,CYP1A2,incubated for 5 mins,,,7-ethoxyresorufin,,NADPH,fluorescence assay,recombinant human,human,True
443,Inhibition of CYP2C8 in human liver microsomes using paclitaxel as substrate after 8 mins by LC-MS/MS analysis,CYP2C8,after 8 mins,,,paclitaxel,,NADPH,LC-MS/MS,human liver microsomes,human,True
