index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
224,Inhibition of human CYP2C8,CYP2C8,,,,,,,,,human,True
225,Inhibition of CYP2A6 in human liver microsomes using coumarin as substrate preincubated for 5 mins followed by addition of NADPH-regenerating system and measured after 15 mins by UPLC-MS analysis,CYP2A6,"preincubated for 5 mins, measured after 15 mins",,,coumarin,,NADPH-regenerating system,UPLC-MS,human liver microsomes,human liver,True
226,Inhibition of human CYP11B1 expressed in Chinese hamster V79 cells assessed as reduction in corticosterone production using deoxycorticosterone as substrate after 1.5 to 2 hrs in presence of NADPH by HTRF assay,CYP11B1,after 1.5 to 2 hrs,,,deoxycorticosterone,in presence of NADPH,NADPH,HTRF assay,expressed in Chinese hamster V79 cells,human,True
227,"Inhibition of human CYP11B2 expressed in V79 MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate for 30 mins by HPTLC analysis",CYP11B2,for 30 mins,,,"[1,2-3H]-11-deoxycorticosterone",,NADPH,HPTLC,expressed in V79 MZh cells,human,True
228,Inhibition of CYP3A4 using midazolam as substrate,CYP3A4,,,,midazolam,,NADPH,,,human,True
229,SPA Assay: The assays were performed in U-bottom 384-well optiplates... read on a TOPCOUNT® (Perkin-Elmer) plate reader.,CYP17,"incubated at room temperature for 45 minutes, overnight shaking at 4° C",room temperature,pH 7.2,3H-Pregnenolone,,NADPH,SPA assay with TOPCOUNT® plate reader,expressed in HEK2 cells,human HEK2 transfected with CYP17,True
230,Inhibition of human CYP11B2-CLE9 expressed in chinese hamster V79 cells using 11-deoxycorticosterone as substrate preincubated for 1 hr followed by substrate addition measured for 3 hrs by HTRF assay,CYP11B2-CLE9,"preincubated for 1 hr, measured for 3 hrs",,,11-deoxycorticosterone,,NADPH,HTRF assay,expressed in chinese hamster V79 cells,human,True
231,Antiproliferative activity against CYP1A1 expressing human MCF7 cells after 72 hrs by SRB assay,CYP1A1,after 72 hrs,,,,,,SRB assay,expressing human MCF7 cells,human MCF7 cells,False
232,Inhibition of human CYP11B2 expressed in HEK293A cells using deoxycorticosterone as substrate pretreated for 1 hr followed by substrate addition measured after 1 hr by HTRF assay,CYP11B2,"pretreated for 1 hr, measured after 1 hr",,,deoxycorticosterone,,NADPH,HTRF assay,expressed in HEK293A cells,human,True
233,Inhibition of human recombinant CYP2D6 by luminescence assay,CYP2D6,,,,,,,luminescence assay,recombinant human,human recombinant,True
234,Inhibition of CYP3A4 (unknown origin) using BFC as substrate after 30 mins,CYP3A4,after 30 mins,,,BFC,,,,unknown origin,unknown origin,True
235,Inhibition of recombinant CYP11 (unknown origin) expressed in human AD293 cells assessed as reduction in cortisol level preincubated for 60 mins followed by 11-deoxy cortisol substrate addition and measured after 12 hrs by LC-MS method,CYP11,"preincubated for 60 mins, measured after 12 hrs",,,11-deoxycortisol,,,LC-MS,recombinant human expressed in human AD293 cells,recombinant human,True
236,Inhibition of CYP2D6 in human liver microsomes using dextromethorphan as substrate after 12 mins by LC-MS/MS analysis in presence of NADPH regeneration system,CYP2D6,after 12 mins,,,dextromethorphan,in presence of NADPH regeneration system,NADPH regeneration system,LC-MS/MS,human liver microsomes,human liver,True
237,Inhibition of CYP2C19 in microsomes,CYP2C19,,,,,,,,,human liver,True
238,Inhibition of CYP3A4 in human liver microsomes using midazolam as substrate after 2 mins by LC-MS/MS analysis in presence of NADPH regeneration system,CYP3A4,after 2 mins,,,midazolam,in presence of NADPH regeneration system,NADPH regeneration system,LC-MS/MS,human liver microsomes,human liver,True
239,Inhibition of CYP3A4 in human liver microsomes assessed as 6-beta-hydroxytestosterone metabolite formation using testosterone as substrate incubated for 30 mins by HPLC-MS method,CYP3A4,incubated for 30 mins,,,testosterone,,,HPLC-MS method,,,True
240,Inhibition of CYP2C9 (unknown origin) by fluorescence assay,CYP2C9,,,,,,,fluorescence assay,,unknown origin,True
241,Inhibitory activity against CYP450 3A4 isozyme,CYP450 3A4,,,,,,,,,human liver,True
242,Inhibition of CYP2C8,CYP2C8,,,,,,,,,human liver,True
243,Inhibition of recombinant human CYP2D6 expressed in microsomes of insect cells using AMMC as substrate preincubated for 30 mins followed by NADP addition after 45 mins by fluorescence analysis,CYP2D6,"preincubated for 30 mins, after 45 mins",,,AMMC,,NADP,fluorescence analysis,expressed in insect cells microsomes,recombinant human,True
