index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
444,"Inhibition Assay: Mixtures of isozyme inhibitors (sulfaphenazole, tranylcypromine, and ketoconazole as specific inhibitors of isozymes 2C9, 2C19, and 3A4, respectively) were prepared containing each inhibitor at concentrations of 6000, 2000, 600, 200, 60, 20, 6, and 2 uM by serial dilution with DMSO:ACN... Pooled human liver microsome suspension (20 mg/mL) was diluted with phosphate buffer to obtain a 5 mg/mL suspension.",Various CYP isoforms,,,,,"sulfaphenazole, tranylcypromine, ketoconazole",,modified PanVera vivid assay protocol,,,True
445,Inhibition of recombinant human CYP1A1 using 7-ethoxyresorufin as substrate after 15 mins in presence of NADP+ by EROD assay,CYP1A1,after 15 mins,,,7-ethoxyresorufin,,NADP+,EROD assay,recombinant human,recombinant human,True
446,Inhibition of CYP2C9 in human liver microsomes using diclofenac as substrate after 8 mins by LC-MS/MS analysis,CYP2C9,after 8 mins,,,diclofenac,,NADPH,LC-MS/MS,human liver microsomes,human,True
447,Inhibition of human CYP2D6 by fluorescence assay,CYP2D6,,,,,,,,,,True
448,Inhibition of CYP2C9 in human liver microsomes using tolbutamide substrate by LC-MS/MS method,CYP2C9,,,,tolbutamide,,NADPH,LC-MS/MS method,human liver microsomes,human,True
449,Inhibition of human recombinant CYP2C9 expressed in Escherichia coli cells,CYP2C9,,,,,,,,recombinant human expressed in Escherichia coli cells,recombinant human,True
450,Inhibition of human CYP2D6 using bufuralol as substrate by LC/MS/MS analysis,CYP2D6,,,,bufuralol,,NADPH,LC/MS/MS analysis,human liver microsomes,human,True
451,Inhibition of recombinant CYP3A4 after 30 mins by fluorescence assay,CYP3A4,after 30 mins,,,,,,fluorescence assay,recombinant human expressed in baculovirus infected insect cells,recombinant human,True
452,Inhibition of recombinant CYP3A4 (unknown origin) by fluorescence-based assay,CYP3A4,,,,,,,fluorescence-based assay,,recombinant (unknown origin),True
453,Inhibition of human recombinant CYP1A2 expressed in insect microsomes,CYP1A2,,,,,,,,recombinant human expressed in insect microsomes,recombinant human,True
454,Inhibition of CYP17 in human testicular microsomes using 17alpha-hydroxypregnenolone as substrate assessed as decrease in DHEA levels at 1 nM after 90 mins by ELISA relative to control,CYP17,after 90 mins,,,17alpha-hydroxypregnenolone,,,ELISA,human testicular microsomes,human,True
455,Inhibition of human recombinant CYP2B6,CYP2B6,,,,,,,,,recombinant human,True
456,Inhibition of CYP3A4 (unknown origin) using testosterone as substrate,CYP3A4,,,,testosterone,,,,,unknown origin,True
457,Inhibition of human CYP2CD6 by fluorescence assay,CYP2CD6,,,,,,,fluorescence assay,,,True
458,Inhibition of CYP19 in human placental microsomes using [1beta-3H]-androstendione as a substrate,CYP19,,,,[1beta-3H]-androstendione,,,HPLC,human placental microsomes,human,True
459,Inhibition of human CYP19 expressed in hamster fibroblast using 500 nM [1beta-3H] androstenedione as substrate by HPLC analysis,CYP19,,,,[1beta-3H] androstenedione,,,LC-MS/MS,expressed in hamster fibroblast,human,True
460,Inhibition of CYP2C19 in human liver microsomes using omeprazole substrate by LC-MS/MS method,CYP2C19,,,,omeprazole,,,fluorescence assay,human liver microsomes,human,True
461,Inhibition of CYP2D6 (unknown origin) by luciferase reporter assay in presence of NADPH regeneration system,CYP2D6,,,,,,NADPH regeneration system,luciferase reporter assay,,,True
462,"CYP450 Inhibition Assay: The ability of the R and S enantiomers of (4-fluorophenyl)(4-((5-methyl-1H-pyrazol-3-yl)amino)quinazolin-2-yl)methanol to inhibit the common drug metabolizing isoforms of cytochrome P450 (CYP) was evaluated against the following isoforms: CYP1A2, CYP2B6, CYP2C8, CYP2C9, CYP2C19, CYP2D6, and CYP3A4... analyzed by LC-MS/MS.",Various CYP isoforms,,37° C,,,,NADPH,LC-MS/MS,,,True
463,Inhibition of CYP27A1 expressed in CHO cells,CYP27A1,,,,,,,,expressed in CHO cells,recombinant human,True
