index,original sentence,Enzyme Source,Incubation Time,Temperature Range,pH Level,Substrate Concentration,Inhibitor Concentration,Cofactors,Detection Method,Protein Expression System,CYP sources,Cytochrome_P450_enzymes
244,Inhibition of human CYP11B1 expressed in hamster fibroblast,CYP11B1,,,,,,,,expressed in hamster fibroblast,human,True
245,Inhibition of human CYP17A1 expressed in HEK293 cell microsomes using [3H]-pregnenolone as substrate incubated for 45 mins by scintillation proximity assay in presence of NADPH,CYP17A1,incubated for 45 mins,at 37°C,,[3H]-pregnenolone,in presence of NADPH,NADPH,scintillation proximity assay,expressed in HEK293 cell microsomes,human,True
246,Inhibition of human recombinant CYP17 expressed in Escherichia coli coexpressing NADPH-P450 reductase,CYP17,,,,,,NADPH-P450 reductase,,expressed in Escherichia coli coexpressing NADPH-P450 reductase,human recombinant,True
247,Inhibition of CYP26A1 in ATRA-induced human HL60 cell microsomes incubated for 30 mins in dark condition with NADPH and ATRA by HPLC method,CYP26A1,incubated for 30 mins,,,ATRA,in presence of NADPH,NADPH,HPLC,induced in human HL60 cell microsomes,human,True
248,Inhibition of recombinant GST-tagged CypA (unknown origin)/HCV Con1 NS5A-His interaction after 16 hrs by ELISA,CypA/HCV Con1 NS5A interaction,after 16 hrs,,,,,,ELISA,recombinant GST-tagged CypA,recombinant GST-tagged (unknown origin),True
249,Inhibition of CYP2C9 in human liver microsomes after 10 mins by LC/MS/MS analysis,CYP2C9,after 10 mins,,,,,,LC/MS/MS,human liver microsomes,human liver,True
250,Inhibition of recombinant human CYP1B1 expressed in supersomes using 7-ethoxyresorufin as substrate after 35 mins in presence of NADP+ by EROD assay,CYP1B1,after 35 mins,,,7-ethoxyresorufin,in presence of NADP+,NADP+,EROD assay,recombinant human expressed in supersomes,recombinant human,True
251,Inhibition of recombinant human CYP1A1 expressed in supersomes using 7-ethoxyresorufin as substrate after 15 mins in presence of NADP+ by EROD assay,CYP1A1,after 15 mins,,,7-ethoxyresorufin,in presence of NADP+,NADP+,EROD assay,recombinant human expressed in supersomes,recombinant human,True
252,Inhibition of CYP2C9 in human liver microsomes after 15 mins,CYP2C9,after 15 mins,,,,,,,human liver microsomes,human liver,True
253,Time-dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate compound preincubated for 30 mins with NADPH before substrate addition by LC-MS/MS analysis,CYP3A4,preincubated for 30 mins,,,midazolam,in presence of NADPH,NADPH,LC-MS/MS,human liver microsomes,human liver,True
254,Inhibition of human recombinant CYP1A2 expressed in HEK293 cells using 3-cyano-7-ethoxycoumarin substrate preincubated for 30 mins followed by substrate addition and measured after 60 mins by fluorescence assay relative to control,CYP1A2,"preincubated for 30 mins, measured after 60 mins",,,3-cyano-7-ethoxycoumarin,,,fluorescence assay,recombinant human expressed in HEK293 cells,human recombinant,True
255,Inhibition of human CYP11B1 expressed in V79 cells assessed as cortisol level after 3 hrs by HTRF assay in presence of 250 nM 11-deoxycortisol,CYP11B1,after 3 hrs,,,11-deoxycortisol,in presence of 250 nM 11-deoxycortisol,NADPH,HTRF assay,expressed in V79 cells,human,True
256,Inhibition of CYP26A1 in human MCF7 cells,CYP26A1,,,,,,,,human MCF7 cells,human,True
257,Inhibition of CYP3A4 after 20 mins by BFC fluorescence assay,CYP3A4,after 20 mins,,,,,,BFC fluorescence assay,human liver microsomes,human liver,True
258,Inhibition of human recombinant CYP24A1 expressed in chinese hamster V79 cells using [3H-1-beta]calcitriol after 60 mins by scintillation counting,CYP24A1,after 60 mins,,,[3H-1-beta]calcitriol,,,scintillation counting,recombinant human expressed in chinese hamster V79 cells,human recombinant,True
259,Time dependent inhibition of CYP3A4,CYP3A4,,,,,,,,human liver microsomes,human liver,True
260,Displacement of fluorescein labelled cyclosporine A derivative from human recombinant CypD (30 to 207 residues) expressed in Escherichia coli cells incubated for 90 mins by fluorescence polarization assay,CypD,incubated for 90 mins,,,fluorescein labelled cyclosporine A derivative,,,fluorescence polarization assay,recombinant human CypD expressed in Escherichia coli,recombinant human,True
261,Inhibition of human CYP11B2 expressed in V79MZh cells using [14C]-11-deoxycorticosterone as substrate by HPTLC/phosphoimaging method,CYP11B2,,,,[14C]-11-deoxycorticosterone,,,HPTLC/phosphoimaging method,expressed in V79MZh cells,human,True
262,Inhibition of human CYP1A1 expressed in Escherichia coli assessed as changes in ethoxyresorufin O-deethylation activity after 3 mins by spectrofluorometer analysis,CYP1A1,after 3 mins,,,ethoxyresorufin,,,spectrofluorometer,expressed in Escherichia coli,human,True
263,Inhibition of CYP3A4 in human liver microsomes using testosterone substrate by LC-MS/MS method,CYP3A4,,,,testosterone,,,LC-MS/MS,human liver microsomes,human liver,True
