index,original sentence,pH Level,Solvent/System Composition,Time Period,Measurement Technique,Temperature Range,water_solubility
740,Aqueous solubility of compound in universal buffer at pH 3 at 100 uM incubated for 1.5 hrs under shaking condition by LC-MS/MS analysis,3.0,universal buffer,1.5 hrs,LC-MS/MS analysis,,True
741,Aqueous solubility of compound in universal buffer at pH 7.4 at 100 uM incubated for 1.5 hrs under shaking condition by LC-MS/MS analysis,7.4,universal buffer,1.5 hrs,LC-MS/MS analysis,,True
742,Solubility of compound in fasted simulated intestinal fluid at 1 mg after 4 hrs by HPLC-UV analysis,,fasted simulated intestinal fluid,4 hrs,HPLC-UV analysis,,True
743,Aqueous solubility of the compound in pH 1.2 JP1 fluid measured after 4 hrs by HPLC-UV analysis,1.2,JP1 fluid,4 hrs,HPLC-UV analysis,,True
744,Aqueous solubility by lyophilization solubility assay,,None,,lyophilization solubility assay,,True
745,Solubility of the compound in water at pH 2,2.0,water,,,,True
746,Aqueous solubility of the compound in PBS of pH 7.4 at 3.90 to 500 uM after 24 hrs,7.4,PBS,24 hrs,,,True
747,Solubility of the compound in simulated gastric fluid at upto 200 uM by HPLC-UV analysis,,simulated gastric fluid,,HPLC-UV analysis,,True
748,Aqueous solubility of the compound in PBS at pH 7.4 measured after 1 hr by chemiluminescent nitrogen detection method,7.4,PBS,1 hr,chemiluminescent nitrogen detection method,,True
749,Aqueous solubility at pH 7.4 under thermodynamic conditions,7.4,,,,,True
750,Kinetic solubility of the compound at 10 mg/ml at pH 6.5 by nephelometry,6.5,None,,nephelometry,,True
751,Aqueous solubility of the compound at pH 7.4 after 30 mins by nephelometric analysis,7.4,,30 mins,nephelometric analysis,,True
752,Kinetic solubility of the compound in pH 7.4 PBS by nephelometric method,7.4,PBS,,nephelometric method,,True
753,Thermodynamic solubility of the compound in aqueous buffer containing 20 mmol/L sodium glycochenodeoxycholate at pH 6.8 by HPLC analysis,6.8,aqueous buffer containing sodium glycochenodeoxycholate,,HPLC analysis,,True
754,Solubility of the compound in phosphate buffer at pH 7.4 using liquid sample at 20 degreeC,7.4,phosphate buffer,,,20 degreeC,True
755,Thermodynamic solubility of the compound at pH 6.5 after 24 hrs by LC-MS analysis,6.5,,24 hrs,LC-MS analysis,,True
756,Thermodynamic solubility of the compound after 2 hrs by equilibrium shake flask method at pH 6.5,6.5,,2 hrs,equilibrium shake flask method,,True
757,Aqueous solubility of the compound at pH 6.8 by HPLC analysis,6.8,,,HPLC analysis,,True
758,Kinetic solubility of the compound in 10 mM of phosphate buffer at pH 7.2 by CLND method,7.2,phosphate buffer,,CLND method,,True
759,Solubility of the compound in simulated intestinal fluid at upto 200 uM by HPLC-UV analysis,,simulated intestinal fluid,,HPLC-UV analysis,,True
