index,original sentence,pH Level,Solvent/System Composition,Time Period,Measurement Technique,Temperature Range,Water Solubility
0,Aqueous solubility of the compound,,aqueous,,,,True
1,"ASTRAZENECA: Solubility in pH7.4 buffer using solid starting material using the method described in J. Assoc. Lab. Autom. 2011, 16, 276-284. Experimental range 0.10 to 1500 uM",7.4,pH7.4 buffer,,"J. Assoc. Lab. Autom. 2011, 16, 276-284",,True
2,Solubility of the compound,,,,,,True
3,Aqueous solubility of the compound at pH 7.4,7.4,aqueous,,,,True
4,Kinetic solubility of the compound,,,,kinetic,,True
5,Solubility in water,,water,,,,True
6,Aqueous solubility at pH 7.4,7.4,aqueous,,,,True
7,Solubility at pH 7.4,7.4,,,,,True
8,SUPPLEMENTARY: Lyophilisation Solubility Assay (LYSA),,,,Lyophilisation Solubility Assay (LYSA),,True
9,Aqueous solubility of compound,,aqueous,,,,True
10,Kinetic aqueous solubility of the compound,,aqueous,,kinetic,,True
11,Solubility of the compound at pH 7.4,7.4,,,,,True
12,Kinetic solubility of compound,,,,kinetic,,True
13,Solubility of the compound in water,,water,,,,True
14,Solubility of the compound at pH 7,7.0,,,,,True
15,Aqueous solubility,,aqueous,,,,True
16,Kinetic solubility of the compound at pH 7.4,7.4,,,kinetic,,True
17,Solubility of the compound at pH 6.8,6.8,,,,,True
18,Aqueous solubility of compound at pH 7.4,7.4,aqueous,,,,True
19,Solubility of compound in PBS pH 7.4 incubated for 2 hrs by spectrophotometry,7.4,PBS,2 hrs,spectrophotometry,,True
